  Lines        Copies      Function name
  -----        ------      -------------
  4912 (100%)  225 (100%)  (TOTAL)
   203 (4.1%)    1 (0.4%)  <polyval::backend::soft::U64x2 as core::ops::arith::Mul>::mul
   158 (3.2%)    1 (0.4%)  polyval::backend::soft::bmul64
   119 (2.4%)    1 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
   102 (2.1%)    3 (1.3%)  core::ptr::read
    99 (2.0%)    1 (0.4%)  <polyval::backend::soft::Polyval as universal_hash::UniversalHash>::finalize
    97 (2.0%)    1 (0.4%)  <core::slice::iter::ChunksMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    86 (1.8%)    4 (1.8%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    86 (1.8%)    1 (0.4%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate
    81 (1.6%)    1 (0.4%)  <polyval::backend::soft::U64x2 as core::convert::From<&generic_array::GenericArray<u8,<polyval::backend::autodetect::Polyval as universal_hash::UniversalHash>::BlockSize>>>::from
    76 (1.5%)    1 (0.4%)  <polyval::backend::autodetect::Polyval as universal_hash::UniversalHash>::finalize
    76 (1.5%)    1 (0.4%)  polyval::backend::autodetect::mul_intrinsics::init_get
    72 (1.5%)    2 (0.9%)  generic_array::transmute
    70 (1.4%)    1 (0.4%)  core::cmp::min_by
    68 (1.4%)    5 (2.2%)  core::mem::manually_drop::ManuallyDrop<T>::new
    68 (1.4%)    1 (0.4%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold::enumerate::{{closure}}
    68 (1.4%)    1 (0.4%)  polyval::mulx::mulx
    67 (1.4%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    64 (1.3%)    1 (0.4%)  core::iter::traits::iterator::Iterator::fold
    61 (1.2%)    6 (2.7%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    61 (1.2%)    1 (0.4%)  polyval::backend::soft::rev64
    59 (1.2%)    1 (0.4%)  core::fmt::Arguments::new_v1
    58 (1.2%)    3 (1.3%)  <T as core::convert::Into<U>>::into
    58 (1.2%)    1 (0.4%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    57 (1.2%)    1 (0.4%)  core::result::Result<T,E>::map
    56 (1.1%)    1 (0.4%)  generic_array::ArrayBuilder<T,N>::into_inner
    54 (1.1%)    1 (0.4%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::fold
    50 (1.0%)    1 (0.4%)  <generic_array::ArrayBuilder<T,N> as core::ops::drop::Drop>::drop
    50 (1.0%)    1 (0.4%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate::{{closure}}
    50 (1.0%)    1 (0.4%)  core::slice::iter::IterMut<T>::post_inc_start
    48 (1.0%)    1 (0.4%)  <core::slice::iter::ChunksMut<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
    48 (1.0%)    1 (0.4%)  <polyval::backend::autodetect::Polyval as core::clone::Clone>::clone
    47 (1.0%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    46 (0.9%)    1 (0.4%)  core::result::Result<T,E>::unwrap
    45 (0.9%)    1 (0.4%)  <polyval::backend::autodetect::Polyval as universal_hash::NewUniversalHash>::new
    45 (0.9%)    1 (0.4%)  core::slice::iter::IterMut<T>::new
    43 (0.9%)    1 (0.4%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
    41 (0.8%)    1 (0.4%)  core::iter::traits::iterator::Iterator::for_each
    40 (0.8%)    1 (0.4%)  <polyval::backend::soft::Polyval as universal_hash::UniversalHash>::update
    40 (0.8%)    1 (0.4%)  core::core_arch::x86::cpuid::__cpuid_count
    40 (0.8%)    1 (0.4%)  core::slice::<impl [T]>::chunks_mut
    38 (0.8%)    2 (0.9%)  universal_hash::Output<U>::new
    38 (0.8%)    1 (0.4%)  core::iter::traits::iterator::Iterator::zip
    36 (0.7%)    1 (0.4%)  core::sync::atomic::atomic_load
    34 (0.7%)    1 (0.4%)  core::sync::atomic::atomic_store
    33 (0.7%)    1 (0.4%)  <polyval::backend::soft::U64x2 as core::fmt::Debug>::fmt
    32 (0.7%)    2 (0.9%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
