  Lines         Copies      Function name
  -----         ------      -------------
  19615 (100%)  589 (100%)  (TOTAL)
   2044 (10.4%)   1 (0.2%)  postgres_types::type_gen::Inner::from_oid
    878 (4.5%)    1 (0.2%)  postgres_types::type_gen::Inner::name
    752 (3.8%)   16 (2.7%)  postgres_types::WrongType::new
    718 (3.7%)    1 (0.2%)  <postgres_types::type_gen::Inner as core::fmt::Debug>::fmt
    708 (3.6%)   22 (3.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    592 (3.0%)   16 (2.7%)  postgres_types::__to_sql_checked
    557 (2.8%)   12 (2.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    543 (2.8%)    1 (0.2%)  <postgres_types::type_gen::Inner as core::clone::Clone>::clone
    415 (2.1%)    1 (0.2%)  postgres_protocol::types::inet_from_sql
    360 (1.8%)    1 (0.2%)  postgres_types::type_gen::Inner::oid
    359 (1.8%)    1 (0.2%)  postgres_types::type_gen::Inner::kind
    261 (1.3%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    229 (1.2%)    1 (0.2%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    216 (1.1%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    208 (1.1%)   16 (2.7%)  core::any::type_name
    163 (0.8%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    148 (0.8%)    1 (0.2%)  <postgres_types::pg_lsn::PgLsn as core::str::traits::FromStr>::from_str
    145 (0.7%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    138 (0.7%)    1 (0.2%)  <postgres_types::Kind as core::fmt::Debug>::fmt
    134 (0.7%)    2 (0.3%)  core::fmt::builders::DebugList::entries
    129 (0.7%)    2 (0.3%)  core::result::Result<T,E>::map
    120 (0.6%)    2 (0.3%)  core::result::Result<T,E>::map_err
    119 (0.6%)    1 (0.2%)  <std::time::SystemTime as postgres_types::FromSql>::from_sql
    118 (0.6%)    1 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    117 (0.6%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    111 (0.6%)    3 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    108 (0.6%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    106 (0.5%)    1 (0.2%)  <std::time::SystemTime as postgres_types::ToSql>::to_sql
     97 (0.5%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     96 (0.5%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     92 (0.5%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     92 (0.5%)    1 (0.2%)  std::io::impls::<impl std::io::Read for &[u8]>::read_exact
     91 (0.5%)    1 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
     88 (0.4%)    1 (0.2%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.4%)    3 (0.5%)  core::fmt::ArgumentV1::new
     87 (0.4%)    3 (0.5%)  core::ptr::metadata::from_raw_parts
     87 (0.4%)    3 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     86 (0.4%)    1 (0.2%)  core::str::iter::SplitInternal<P>::next
     77 (0.4%)    1 (0.2%)  core::ptr::drop_in_place<[alloc::string::String]>
     77 (0.4%)    1 (0.2%)  core::ptr::drop_in_place<[postgres_types::Field]>
     76 (0.4%)    1 (0.2%)  alloc::sync::Arc<T>::new
     73 (0.4%)    1 (0.2%)  postgres_protocol::types::inet_to_sql
     72 (0.4%)    1 (0.2%)  postgres_protocol::types::char_from_sql
     71 (0.4%)    1 (0.2%)  postgres_protocol::types::float4_from_sql
     71 (0.4%)    1 (0.2%)  postgres_protocol::types::int2_from_sql
     71 (0.4%)    1 (0.2%)  postgres_protocol::types::int4_from_sql
     71 (0.4%)    1 (0.2%)  postgres_protocol::types::oid_from_sql
     70 (0.4%)    7 (1.2%)  <&T as core::fmt::Debug>::fmt
     70 (0.4%)    1 (0.2%)  postgres_protocol::types::float8_from_sql
     70 (0.4%)    1 (0.2%)  postgres_protocol::types::int8_from_sql
     70 (0.4%)    1 (0.2%)  postgres_protocol::types::lsn_from_sql
     70 (0.4%)    1 (0.2%)  postgres_protocol::types::timestamp_from_sql
     70 (0.4%)    1 (0.2%)  postgres_types::private::read_be_i32
     69 (0.4%)    1 (0.2%)  <postgres_types::Type as core::fmt::Display>::fmt
     63 (0.3%)    1 (0.2%)  core::option::Option<T>::map
     62 (0.3%)    1 (0.2%)  byteorder::io::ReadBytesExt::read_f32
