  Lines         Copies      Function name
  -----         ------      -------------
  16828 (100%)  538 (100%)  (TOTAL)
   1940 (11.5%)   5 (0.9%)  <toml::value::Value as serde::de::Deserializer>::deserialize_any
    493 (2.9%)    1 (0.2%)  <<toml::value::Value as serde::de::Deserialize>::deserialize::ValueVisitor as serde::de::Visitor>::visit_map
    434 (2.6%)    1 (0.2%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::clone::Clone>::clone::clone_subtree
    407 (2.4%)    7 (1.3%)  core::result::Result<T,E>::map_err
    394 (2.3%)    2 (0.4%)  serde::de::MapAccess::next_entry_seed
    344 (2.0%)    2 (0.4%)  <toml::value::MapDeserializer as serde::de::MapAccess>::next_key_seed
    310 (1.8%)    7 (1.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    304 (1.8%)    2 (0.4%)  <toml::value::MapDeserializer as serde::de::MapAccess>::next_value_seed
    279 (1.7%)    1 (0.2%)  proc_macro_crate::extract_crate_name
    248 (1.5%)    6 (1.1%)  core::option::Option<T>::and_then
    215 (1.3%)    1 (0.2%)  proc_macro_crate::crate_name
    205 (1.2%)    1 (0.2%)  <&mut toml::de::Deserializer as serde::de::Deserializer>::deserialize_any
    198 (1.2%)    4 (0.7%)  core::option::Option<T>::map
    162 (1.0%)    2 (0.4%)  core::iter::adapters::filter_map::filter_map_try_fold::{{closure}}
    155 (0.9%)    1 (0.2%)  hashbrown::raw::RawTableInner<A>::resize_inner
    151 (0.9%)    1 (0.2%)  <proc_macro_crate::Error as core::fmt::Debug>::fmt
    148 (0.9%)    4 (0.7%)  serde::de::Visitor::visit_seq
    143 (0.8%)    1 (0.2%)  <serde::de::impls::<impl serde::de::Deserialize for std::collections::hash::map::HashMap<K,V,S>>::deserialize::MapVisitor<K,V,S> as serde::de::Visitor>::visit_map
    143 (0.8%)    1 (0.2%)  proc_macro_crate::open_cargo_toml
    138 (0.8%)    1 (0.2%)  <proc_macro_crate::Error as core::fmt::Display>::fmt
    136 (0.8%)    7 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    135 (0.8%)    1 (0.2%)  proc_macro_crate::extract_crate_name_from_deps
    133 (0.8%)    1 (0.2%)  <toml::value::Value as core::clone::Clone>::clone
    132 (0.8%)    1 (0.2%)  <<toml::map::Map<alloc::string::String,toml::value::Value> as serde::de::Deserialize>::deserialize::Visitor as serde::de::Visitor>::visit_map
    130 (0.8%)    1 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    128 (0.8%)    2 (0.4%)  alloc::alloc::box_free
    125 (0.7%)    1 (0.2%)  <<toml::value::Value as serde::de::Deserialize>::deserialize::ValueVisitor as serde::de::Visitor>::visit_seq
    122 (0.7%)    1 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    121 (0.7%)    3 (0.6%)  proc_macro_crate::open_cargo_toml::{{closure}}
    121 (0.7%)    3 (0.6%)  serde::de::Visitor::visit_bool
    121 (0.7%)    2 (0.4%)  hashbrown::raw::RawTable<T,A>::find
    117 (0.7%)    5 (0.9%)  core::ops::function::FnOnce::call_once
    115 (0.7%)    3 (0.6%)  serde::de::Visitor::visit_f64
    115 (0.7%)    3 (0.6%)  serde::de::Visitor::visit_i64
    112 (0.7%)    3 (0.6%)  serde::de::Visitor::visit_map
    111 (0.7%)    3 (0.6%)  <core::option::Option<T> as core::clone::Clone>::clone
    102 (0.6%)    1 (0.2%)  toml::de::from_str
    101 (0.6%)    1 (0.2%)  hashbrown::raw::RawTable<T,A>::insert
     92 (0.5%)    2 (0.4%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Immut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::into_kv
     89 (0.5%)    1 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
     87 (0.5%)    1 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     87 (0.5%)    1 (0.2%)  hashbrown::raw::RawTable<T,A>::fallible_with_capacity
     87 (0.5%)    1 (0.2%)  hashbrown::raw::RawTableInner<A>::reserve_rehash_inner
     85 (0.5%)    1 (0.2%)  hashbrown::raw::RawTableInner<A>::erase
     83 (0.5%)    2 (0.4%)  core::hash::BuildHasher::hash_one
     82 (0.5%)    3 (0.6%)  proc_macro_crate::extract_crate_name::{{closure}}
     82 (0.5%)    2 (0.4%)  <core::iter::adapters::filter_map::FilterMap<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     81 (0.5%)    1 (0.2%)  core::core_arch::simd::i8x16::new
     80 (0.5%)    1 (0.2%)  <toml::value::SeqDeserializer as serde::de::SeqAccess>::next_element_seed
     78 (0.5%)    2 (0.4%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::right_kv
     77 (0.5%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find_map
     74 (0.4%)    1 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>::push
     72 (0.4%)    1 (0.2%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     69 (0.4%)    2 (0.4%)  proc_macro_crate::extract_crate_name_from_deps::{{closure}}
     66 (0.4%)    2 (0.4%)  <toml::value::MapDeserializer as serde::de::MapAccess>::next_value_seed::{{closure}}
     66 (0.4%)    2 (0.4%)  hashbrown::raw::RawTable<T,A>::find::{{closure}}
