  Lines          Copies       Function name
  -----          ------       -------------
  236827 (100%)  9409 (100%)  (TOTAL)
    5575 (2.4%)    75 (0.8%)  alloc::sync::Arc<T>::new
    5060 (2.1%)    94 (1.0%)  alloc::alloc::box_free
    3880 (1.6%)    64 (0.7%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    2881 (1.2%)    64 (0.7%)  alloc::sync::Weak<T>::inner
    2750 (1.2%)    55 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    2693 (1.1%)    18 (0.2%)  proptest::strategy::lazy::LazyValueTree<S>::maybe_init
    2404 (1.0%)    36 (0.4%)  core::result::Result<T,E>::map
    2282 (1.0%)    14 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1885 (0.8%)    13 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1871 (0.8%)    64 (0.7%)  core::alloc::layout::Layout::for_value_raw
    1830 (0.8%)     3 (0.0%)  <proptest::strategy::unions::TupleUnion<((u32,alloc::sync::Arc<A>),(u32,alloc::sync::Arc<B>),(u32,alloc::sync::Arc<C>),(u32,alloc::sync::Arc<D>),(u32,alloc::sync::Arc<E>),(u32,alloc::sync::Arc<F>))> as proptest::strategy::traits::Strategy>::new_tree
    1767 (0.7%)    37 (0.4%)  core::mem::replace
    1605 (0.7%)    44 (0.5%)  core::option::Option<T>::unwrap_or_else
    1482 (0.6%)    64 (0.7%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    1450 (0.6%)    29 (0.3%)  core::option::Option<T>::map
    1374 (0.6%)    69 (0.7%)  core::ptr::read
    1270 (0.5%)    13 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    1245 (0.5%)   123 (1.3%)  <&T as core::fmt::Debug>::fmt
    1216 (0.5%)     8 (0.1%)  proptest::tuple::<impl proptest::strategy::traits::Strategy for (A,B)>::new_tree
    1102 (0.5%)     4 (0.0%)  <proptest::strategy::flatten::FlattenValueTree<S> as proptest::strategy::traits::ValueTree>::complicate
    1095 (0.5%)    10 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    1086 (0.5%)    48 (0.5%)  core::ops::function::FnOnce::call_once
    1080 (0.5%)    49 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1080 (0.5%)    15 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1001 (0.4%)   115 (1.2%)  core::mem::manually_drop::ManuallyDrop<T>::new
    1000 (0.4%)   109 (1.2%)  core::ptr::unique::Unique<T>::cast
     987 (0.4%)    13 (0.1%)  core::iter::traits::iterator::Iterator::fold
     960 (0.4%)    20 (0.2%)  proptest::strategy::lazy::LazyValueTree<S>::new
     936 (0.4%)     6 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
     935 (0.4%)    90 (1.0%)  core::ptr::non_null::NonNull<T>::cast
     914 (0.4%)    64 (0.7%)  alloc::sync::Arc<T>::drop_slow
     912 (0.4%)    17 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
     911 (0.4%)     1 (0.0%)  proptest::arbitrary::_std::string::gen_el_bytes
     888 (0.4%)    62 (0.7%)  alloc::boxed::Box<T,A>::leak
     861 (0.4%)     2 (0.0%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::clone::Clone>::clone::clone_subtree
     858 (0.4%)     2 (0.0%)  <proptest::strategy::unions::TupleUnionValueTree<(proptest::strategy::lazy::LazyValueTree<A>,core::option::Option<proptest::strategy::lazy::LazyValueTree<B>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<C>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<D>>)> as proptest::strategy::traits::ValueTree>::simplify
     855 (0.4%)     3 (0.0%)  <proptest::strategy::unions::TupleUnionValueTree<(proptest::strategy::lazy::LazyValueTree<A>,core::option::Option<proptest::strategy::lazy::LazyValueTree<B>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<C>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<D>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<E>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<F>>)> as proptest::strategy::traits::ValueTree>::current
     845 (0.4%)    38 (0.4%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
     837 (0.4%)    17 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     830 (0.4%)     3 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
     828 (0.3%)     2 (0.0%)  <proptest::strategy::unions::TupleUnion<((u32,alloc::sync::Arc<A>),(u32,alloc::sync::Arc<B>),(u32,alloc::sync::Arc<C>),(u32,alloc::sync::Arc<D>))> as proptest::strategy::traits::Strategy>::new_tree
     784 (0.3%)    14 (0.1%)  core::alloc::layout::Layout::array
     768 (0.3%)     9 (0.1%)  alloc::collections::btree::mem::replace
     758 (0.3%)    70 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     752 (0.3%)     8 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     750 (0.3%)    10 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
     732 (0.3%)    18 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
     732 (0.3%)    18 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
     732 (0.3%)     4 (0.0%)  proptest::strategy::flatten::FlattenValueTree<S>::new
     729 (0.3%)    27 (0.3%)  <(T10,T11) as core::fmt::Debug>::fmt
     713 (0.3%)     9 (0.1%)  alloc::collections::btree::node::slice_insert
     712 (0.3%)     8 (0.1%)  <proptest::tuple::TupleValueTree<(A,B)> as proptest::strategy::traits::ValueTree>::simplify
     696 (0.3%)    24 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     672 (0.3%)    84 (0.9%)  <core::ptr::non_null::NonNull<T> as core::convert::From<&mut T>>::from
     670 (0.3%)     4 (0.0%)  <proptest::strategy::flatten::FlattenValueTree<S> as proptest::strategy::traits::ValueTree>::simplify
     666 (0.3%)     2 (0.0%)  std::thread::Builder::spawn_unchecked_
     655 (0.3%)    64 (0.7%)  alloc::rc::is_dangling
     646 (0.3%)    95 (1.0%)  <T as core::convert::Into<U>>::into
     638 (0.3%)    11 (0.1%)  <proptest::strategy::traits::BoxedStrategyWrapper<T> as proptest::strategy::traits::Strategy>::new_tree
     634 (0.3%)    43 (0.5%)  proptest::strategy::statics::Map<S,F>::new
     623 (0.3%)    65 (0.7%)  core::ptr::write
     602 (0.3%)    14 (0.1%)  <core::ops::range::Range<Idx> as core::clone::Clone>::clone
     591 (0.2%)     1 (0.0%)  <proptest::strategy::unions::TupleUnionValueTree<(proptest::strategy::lazy::LazyValueTree<A>,core::option::Option<proptest::strategy::lazy::LazyValueTree<B>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<C>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<D>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<E>>,core::option::Option<proptest::strategy::lazy::LazyValueTree<F>>)> as proptest::strategy::traits::ValueTree>::simplify
     583 (0.2%)    64 (0.7%)  core::mem::align_of_val_raw
     583 (0.2%)    64 (0.7%)  core::mem::size_of_val_raw
     581 (0.2%)    13 (0.1%)  core::result::Result<T,E>::unwrap_err
     576 (0.2%)     8 (0.1%)  <proptest::tuple::TupleValueTree<(A,B)> as proptest::strategy::traits::ValueTree>::complicate
     576 (0.2%)     4 (0.0%)  proptest::arbitrary::_std::string::gen_el_bytes::{{closure}}
     572 (0.2%)     1 (0.0%)  <proptest::num::FloatTypes as core::fmt::Debug>::fmt
     565 (0.2%)    13 (0.1%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     557 (0.2%)    78 (0.8%)  alloc::sync::Arc<T>::from_inner
     557 (0.2%)     3 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert
     557 (0.2%)     3 (0.0%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
     555 (0.2%)    15 (0.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     534 (0.2%)    11 (0.1%)  core::option::Option<T>::ok_or
     534 (0.2%)     2 (0.0%)  <proptest::strategy::unions::TupleUnionValueTree<(proptest::strategy::lazy::LazyValueTree<A>,core::option::Option<proptest::strategy::lazy::LazyValueTree<B>>)> as proptest::strategy::traits::ValueTree>::simplify
     532 (0.2%)    37 (0.4%)  src/arbitrary/_std/string.rs:188:52: 199:6]>>, fn
     532 (0.2%)    10 (0.1%)  core::slice::iter::Iter<T>::post_inc_start
     532 (0.2%)     3 (0.0%)  proptest::test_runner::config::contextualize_config::parse_or_warn
     527 (0.2%)     1 (0.0%)  <proptest::num::f32::Any as proptest::strategy::traits::Strategy>::new_tree
     505 (0.2%)     1 (0.0%)  <proptest::num::f64::Any as proptest::strategy::traits::Strategy>::new_tree
     502 (0.2%)    12 (0.1%)  proptest::bits::BitSetStrategy<T>::masked
     500 (0.2%)     1 (0.0%)  proptest::string::bytes_regex_parsed
     498 (0.2%)     6 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     497 (0.2%)    67 (0.7%)  core::ptr::unique::Unique<T>::as_ref
     494 (0.2%)    14 (0.1%)  proptest::num::sample_uniform
     494 (0.2%)    14 (0.1%)  proptest::num::sample_uniform_incl
     493 (0.2%)     4 (0.0%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
     476 (0.2%)    32 (0.3%)  src/arbitrary/_std/string.rs:204:55: 215:6]>>, fn
     474 (0.2%)    12 (0.1%)  <proptest::strategy::statics::Map<S,F> as proptest::strategy::traits::Strategy>::new_tree::{{closure}}
     474 (0.2%)    10 (0.1%)  core::slice::iter::Iter<T>::new
     468 (0.2%)    10 (0.1%)  core::result::Result<T,E>::unwrap
     465 (0.2%)    72 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     464 (0.2%)    20 (0.2%)  proptest::strategy::lazy::LazyValueTree<S>::as_inner
     464 (0.2%)    16 (0.2%)  core::ptr::metadata::from_raw_parts
     463 (0.2%)     4 (0.0%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     460 (0.2%)     2 (0.0%)  <proptest::strategy::unions::TupleUnion<((u32,alloc::sync::Arc<A>),(u32,alloc::sync::Arc<B>))> as proptest::strategy::traits::Strategy>::new_tree
     459 (0.2%)    39 (0.4%)  proptest::strategy::statics::static_map
     459 (0.2%)    27 (0.3%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::new_edge
