  Lines         Copies       Function name
  -----         ------       -------------
  49870 (100%)  2437 (100%)  (TOTAL)
   3469 (7.0%)    89 (3.7%)  core::option::Option<T>::map
   1584 (3.2%)    22 (0.9%)  alloc::raw_vec::RawVec<T,A>::current_memory
   1540 (3.1%)    23 (0.9%)  core::fmt::builders::DebugList::entries
   1386 (2.8%)    28 (1.1%)  <core::option::Option<T> as core::fmt::Debug>::fmt
   1294 (2.6%)    24 (1.0%)  core::slice::iter::Iter<T>::post_inc_start
   1151 (2.3%)    24 (1.0%)  core::slice::iter::Iter<T>::new
   1101 (2.2%)    24 (1.0%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
   1029 (2.1%)    24 (1.0%)  alloc::vec::Vec<T,A>::truncate
    990 (2.0%)    99 (4.1%)  <&T as core::fmt::Debug>::fmt
    915 (1.8%)    93 (3.8%)  core::ops::function::FnOnce::call_once
    814 (1.6%)    22 (0.9%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    696 (1.4%)    24 (1.0%)  core::ptr::metadata::from_raw_parts
    696 (1.4%)    24 (1.0%)  core::ptr::metadata::from_raw_parts_mut
    598 (1.2%)    23 (0.9%)  <[T] as core::fmt::Debug>::fmt
    360 (0.7%)    24 (1.0%)  alloc::vec::Vec<T,A>::as_mut_ptr
    360 (0.7%)    24 (1.0%)  alloc::vec::Vec<T,A>::as_ptr
    360 (0.7%)    24 (1.0%)  core::ptr::slice_from_raw_parts
    360 (0.7%)    24 (1.0%)  core::ptr::slice_from_raw_parts_mut
    360 (0.7%)    24 (1.0%)  core::slice::raw::from_raw_parts
    336 (0.7%)    24 (1.0%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    331 (0.7%)    20 (0.8%)  <<prost_types::FileOptions as core::fmt::Debug>::fmt::ScalarWrapper as core::fmt::Debug>::fmt
    324 (0.6%)    27 (1.1%)  core::ptr::const_ptr::<impl *const T>::offset
    312 (0.6%)    26 (1.1%)  core::ptr::mut_ptr::<impl *mut T>::offset
    312 (0.6%)    24 (1.0%)  core::slice::<impl [T]>::iter
    305 (0.6%)    22 (0.9%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    299 (0.6%)    23 (0.9%)  <alloc::vec::Vec<T,A> as core::fmt::Debug>::fmt
    292 (0.6%)     1 (0.0%)  <prost_types::FileOptions as prost::message::Message>::clear
    285 (0.6%)     9 (0.4%)  core::option::Option<T>::unwrap_or
    285 (0.6%)     7 (0.3%)  core::option::Option<T>::and_then
    250 (0.5%)    25 (1.0%)  alloc::vec::Vec<T>::new
    243 (0.5%)    27 (1.1%)  core::ptr::const_ptr::<impl *const T>::add
    239 (0.5%)     1 (0.0%)  <prost_types::FileOptions as core::fmt::Debug>::fmt
    234 (0.5%)    26 (1.1%)  core::ptr::mut_ptr::<impl *mut T>::add
    230 (0.5%)     1 (0.0%)  prost_types::Duration::normalize
    216 (0.4%)    24 (1.0%)  core::ptr::const_ptr::<impl *const T>::is_null
    216 (0.4%)    24 (1.0%)  core::ptr::mut_ptr::<impl *mut T>::is_null
    211 (0.4%)     6 (0.2%)  <<prost_types::FileDescriptorProto as core::fmt::Debug>::fmt::ScalarWrapper as core::fmt::Debug>::fmt
    207 (0.4%)    23 (0.9%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    199 (0.4%)    25 (1.0%)  core::ptr::non_null::NonNull<T>::new_unchecked
    198 (0.4%)    22 (0.9%)  core::ptr::unique::Unique<T>::cast
    197 (0.4%)     1 (0.0%)  <prost_types::FieldDescriptorProto as prost::message::Message>::clear
    194 (0.4%)     5 (0.2%)  <<prost_types::source_code_info::Location as core::fmt::Debug>::fmt::ScalarWrapper as core::fmt::Debug>::fmt
    192 (0.4%)    24 (1.0%)  alloc::raw_vec::RawVec<T,A>::ptr
    192 (0.4%)    24 (1.0%)  core::slice::<impl [T]>::as_ptr
    184 (0.4%)     9 (0.4%)  core::ptr::read
    177 (0.4%)     8 (0.3%)  core::option::Option<T>::as_ref
    176 (0.4%)     1 (0.0%)  <prost_types::FileDescriptorProto as core::default::Default>::default
    174 (0.3%)     2 (0.1%)  alloc::collections::btree::mem::replace
    169 (0.3%)    10 (0.4%)  <<prost_types::FieldDescriptorProto as core::fmt::Debug>::fmt::ScalarWrapper as core::fmt::Debug>::fmt
    168 (0.3%)    24 (1.0%)  core::slice::raw::debug_check_data_len
    166 (0.3%)     2 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
    160 (0.3%)     1 (0.0%)  <prost_types::DescriptorProto as core::default::Default>::default
    158 (0.3%)     1 (0.0%)  core::ptr::drop_in_place<prost_types::FileDescriptorProto>
    153 (0.3%)     3 (0.1%)  core::option::Option<T>::ok_or
    150 (0.3%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    145 (0.3%)     1 (0.0%)  core::ptr::drop_in_place<prost_types::FileOptions>
    144 (0.3%)    24 (1.0%)  alloc::vec::Vec<T,A>::clear
    144 (0.3%)     1 (0.0%)  <prost_types::FileDescriptorProto as core::fmt::Debug>::fmt
    143 (0.3%)     1 (0.0%)  <prost_types::FileDescriptorProto as prost::message::Message>::clear
    143 (0.3%)     1 (0.0%)  <prost_types::FileOptions as core::default::Default>::default
    141 (0.3%)     1 (0.0%)  prost_types::Timestamp::normalize
    140 (0.3%)     1 (0.0%)  <prost_types::Timestamp as core::convert::From<std::time::SystemTime>>::from
    137 (0.3%)     1 (0.0%)  <prost_types::FieldDescriptorProto as core::fmt::Debug>::fmt
    132 (0.3%)     1 (0.0%)  <prost_types::Field as core::fmt::Debug>::fmt
    132 (0.3%)     1 (0.0%)  core::ptr::drop_in_place<prost_types::DescriptorProto>
    130 (0.3%)     1 (0.0%)  <prost_types::value::Kind as core::fmt::Debug>::fmt
    129 (0.3%)    26 (1.1%)  core::ptr::non_null::NonNull<T>::as_ptr
    128 (0.3%)     2 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::first_leaf_edge
    120 (0.2%)    24 (1.0%)  core::ptr::const_ptr::<impl *const T>::cast
    120 (0.2%)    24 (1.0%)  core::ptr::mut_ptr::<impl *mut T>::cast
    120 (0.2%)     1 (0.0%)  <prost_types::DescriptorProto as core::fmt::Debug>::fmt
    119 (0.2%)    24 (1.0%)  core::ptr::unique::Unique<T>::as_ptr
    117 (0.2%)     1 (0.0%)  <prost_types::UninterpretedOption as prost::message::Message>::clear
    116 (0.2%)     1 (0.0%)  <prost_types::FieldDescriptorProto as core::default::Default>::default
    111 (0.2%)     1 (0.0%)  <prost_types::Api as core::default::Default>::default
    110 (0.2%)    10 (0.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    110 (0.2%)     1 (0.0%)  <prost_types::MethodDescriptorProto as prost::message::Message>::clear
    108 (0.2%)     2 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
    104 (0.2%)     4 (0.2%)  <<prost_types::generated_code_info::Annotation as core::fmt::Debug>::fmt::ScalarWrapper as core::fmt::Debug>::fmt
    104 (0.2%)     1 (0.0%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::next_kv
    102 (0.2%)     6 (0.2%)  <<prost_types::UninterpretedOption as core::fmt::Debug>::fmt::ScalarWrapper as core::fmt::Debug>::fmt
    102 (0.2%)     6 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::new_edge
    102 (0.2%)     2 (0.1%)  alloc::collections::btree::navigate::full_range
    101 (0.2%)     1 (0.0%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    100 (0.2%)     2 (0.1%)  core::mem::replace
    100 (0.2%)     1 (0.0%)  <prost_types::compiler::code_generator_response::File as prost::message::Message>::clear
     98 (0.2%)     6 (0.2%)  <<prost_types::FieldOptions as core::fmt::Debug>::fmt::ScalarWrapper as core::fmt::Debug>::fmt
     98 (0.2%)     1 (0.0%)  <prost_types::Field as core::default::Default>::default
     98 (0.2%)     1 (0.0%)  <prost_types::Method as core::fmt::Debug>::fmt
     95 (0.2%)     1 (0.0%)  <prost_types::Type as core::default::Default>::default
     94 (0.2%)     1 (0.0%)  <prost_types::UninterpretedOption as core::fmt::Debug>::fmt
     93 (0.2%)     1 (0.0%)  <prost_types::field::Kind as core::fmt::Debug>::fmt
     92 (0.2%)     1 (0.0%)  <prost_types::Api as core::fmt::Debug>::fmt
     90 (0.2%)     2 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend::{{closure}}
     90 (0.2%)     2 (0.1%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::force
