  Lines        Copies     Function name
  -----        ------     -------------
  1519 (100%)  84 (100%)  (TOTAL)
    96 (6.3%)   1 (1.2%)  hashbrown::raw::RawIterRange<T>::new
    94 (6.2%)   1 (1.2%)  <publicsuffix::error::Error as core::fmt::Debug>::fmt
    90 (5.9%)   9 (10.7%) <&T as core::fmt::Debug>::fmt
    75 (4.9%)   1 (1.2%)  core::fmt::builders::DebugMap::entries
    66 (4.3%)   1 (1.2%)  <hashbrown::raw::RawIter<T> as core::iter::traits::iterator::Iterator>::next
    64 (4.2%)   1 (1.2%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    53 (3.5%)   1 (1.2%)  <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
    51 (3.4%)   1 (1.2%)  hashbrown::raw::sse2::Group::load_aligned
    49 (3.2%)   1 (1.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    39 (2.6%)   1 (1.2%)  hashbrown::raw::Bucket<T>::next_n
    38 (2.5%)   1 (1.2%)  <publicsuffix::Leaf as core::fmt::Debug>::fmt
    38 (2.5%)   1 (1.2%)  <publicsuffix::List as core::fmt::Debug>::fmt
    38 (2.5%)   1 (1.2%)  <publicsuffix::Node as core::fmt::Debug>::fmt
    34 (2.2%)   1 (1.2%)  hashbrown::raw::Bucket<T>::from_base_index
    32 (2.1%)   1 (1.2%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
    32 (2.1%)   1 (1.2%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
    31 (2.0%)   1 (1.2%)  hashbrown::raw::RawTable<T,A>::iter
    28 (1.8%)   1 (1.2%)  <publicsuffix::fxhash::FxHasher as core::fmt::Debug>::fmt
    28 (1.8%)   1 (1.2%)  <publicsuffix::fxhash::FxHasher32 as core::fmt::Debug>::fmt
    28 (1.8%)   1 (1.2%)  <publicsuffix::fxhash::FxHasher64 as core::fmt::Debug>::fmt
    24 (1.6%)   1 (1.2%)  <publicsuffix::IcannList as core::fmt::Debug>::fmt
    24 (1.6%)   1 (1.2%)  <publicsuffix::PrivateList as core::fmt::Debug>::fmt
    24 (1.6%)   1 (1.2%)  hashbrown::raw::bitmask::BitMask::lowest_set_bit
    22 (1.4%)   1 (1.2%)  <hashbrown::map::HashMap<K,V,S,A> as core::fmt::Debug>::fmt
    21 (1.4%)   1 (1.2%)  hashbrown::raw::Bucket<T>::as_ptr
    19 (1.3%)   1 (1.2%)  core::str::converts::from_utf8_unchecked
    15 (1.0%)   1 (1.2%)  <alloc::string::String as core::ops::deref::Deref>::deref
    15 (1.0%)   1 (1.2%)  <u64 as publicsuffix::fxhash::HashWord>::hash_word
    15 (1.0%)   1 (1.2%)  hashbrown::raw::bitmask::BitMask::remove_lowest_bit
    13 (0.9%)   1 (1.2%)  <alloc::string::String as core::fmt::Debug>::fmt
    13 (0.9%)   1 (1.2%)  <alloc::vec::Vec<T,A> as core::fmt::Debug>::fmt
    13 (0.9%)   1 (1.2%)  core::num::<impl u64>::rotate_left
    13 (0.9%)   1 (1.2%)  hashbrown::raw::RawTable<T,A>::data_end
    13 (0.9%)   1 (1.2%)  hashbrown::raw::RawTableInner<A>::buckets
    12 (0.8%)   1 (1.2%)  core::core_arch::x86::m128iExt::as_i8x16
    12 (0.8%)   1 (1.2%)  core::ptr::const_ptr::<impl *const T>::offset
    12 (0.8%)   1 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::offset
    12 (0.8%)   1 (1.2%)  hashbrown::map::HashMap<K,V,S,A>::iter
    11 (0.7%)   1 (1.2%)  core::core_arch::x86::sse2::_mm_movemask_epi8
    11 (0.7%)   1 (1.2%)  core::ptr::mut_ptr::<impl *mut T>::sub
    11 (0.7%)   1 (1.2%)  hashbrown::raw::sse2::Group::match_empty_or_deleted
