  Lines         Copies      Function name
  -----         ------      -------------
  13178 (100%)  416 (100%)  (TOTAL)
   1512 (11.5%)   7 (1.7%)  <F as syn::parse::Parser>::parse2
    892 (6.8%)    8 (1.9%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    572 (4.3%)    8 (1.9%)  std::thread::local::LocalKey<T>::try_with
    387 (2.9%)    1 (0.2%)  pyo3_macros::pymodule
    336 (2.5%)    2 (0.5%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    328 (2.5%)    7 (1.7%)  core::result::Result<T,E>::unwrap_or_else
    308 (2.3%)    7 (1.7%)  syn::parse::Parser::parse
    287 (2.2%)   16 (3.8%)  core::ops::function::FnOnce::call_once
    280 (2.1%)    6 (1.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    278 (2.1%)    6 (1.4%)  core::mem::replace
    254 (1.9%)    2 (0.5%)  std::panicking::update_hook
    245 (1.9%)    1 (0.2%)  pyo3_macros::pyfunction
    238 (1.8%)    4 (1.0%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    237 (1.8%)    1 (0.2%)  pyo3_macros::pyclass_impl
    234 (1.8%)    6 (1.4%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    204 (1.5%)    2 (0.5%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    163 (1.2%)    2 (0.5%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    152 (1.2%)    1 (0.2%)  pyo3_macros::pyproto
    150 (1.1%)    4 (1.0%)  proc_macro::bridge::client::run_client::{{closure}}
    150 (1.1%)    2 (0.5%)  proc_macro::bridge::client::run_client
    148 (1.1%)    8 (1.9%)  core::ptr::read
    130 (1.0%)    1 (0.2%)  pyo3_macros::pymethods_impl
    129 (1.0%)    3 (0.7%)  core::result::Result<T,E>::expect
    126 (1.0%)    2 (0.5%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::enter
    125 (0.9%)    1 (0.2%)  pyo3_macros::derive_from_py_object
    112 (0.8%)    9 (2.2%)  core::mem::manually_drop::ManuallyDrop<T>::new
    112 (0.8%)    7 (1.7%)  syn::parse_macro_input::parse
    110 (0.8%)    2 (0.5%)  std::panicking::try
    106 (0.8%)    2 (0.5%)  std::sync::once::Once::call_once
     97 (0.7%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     96 (0.7%)    4 (1.0%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}::{{closure}}
     92 (0.7%)    8 (1.9%)  std::thread::local::LocalKey<T>::with
     88 (0.7%)    6 (1.4%)  proc_macro::bridge::client::BridgeState::with::{{closure}}
     86 (0.7%)    5 (1.2%)  core::option::Option<T>::unwrap
     80 (0.6%)    4 (1.0%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::enter::{{closure}}
     78 (0.6%)    6 (1.4%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
     75 (0.6%)    1 (0.2%)  alloc::alloc::box_free
     74 (0.6%)    8 (1.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     73 (0.6%)    1 (0.2%)  proc_macro::bridge::client::Client<fn(proc_macro::TokenStream,proc_macro::TokenStream) .> proc_macro::TokenStream>::expand2::run::{{closure}}
