  Lines          Copies       Function name
  -----          ------       -------------
  172839 (100%)  5009 (100%)  (TOTAL)
    6821 (3.9%)    34 (0.7%)  <F as syn::parse::Parser>::parse2
    4401 (2.5%)    27 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    3958 (2.3%)    82 (1.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    3039 (1.8%)     1 (0.0%)  pyo3_macros_backend::pyclass::impl_class
    2742 (1.6%)    45 (0.9%)  core::result::Result<T,E>::map
    2175 (1.3%)    15 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    1944 (1.1%)    36 (0.7%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    1944 (1.1%)    27 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1777 (1.0%)     1 (0.0%)  pyo3_macros_backend::method::FnSpec::get_wrapper_function
    1755 (1.0%)    15 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    1677 (1.0%)    38 (0.8%)  core::option::Option<T>::map
    1638 (0.9%)    21 (0.4%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    1597 (0.9%)     1 (0.0%)  pyo3_macros_backend::params::impl_arg_params
    1587 (0.9%)    17 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    1566 (0.9%)     1 (0.0%)  pyo3_macros_backend::params::impl_arg_param
    1562 (0.9%)    13 (0.3%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
    1545 (0.9%)     9 (0.2%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
    1522 (0.9%)    16 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    1512 (0.9%)    27 (0.5%)  core::alloc::layout::Layout::array
    1494 (0.9%)    19 (0.4%)  core::iter::traits::iterator::Iterator::fold
    1450 (0.8%)    25 (0.5%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1265 (0.7%)    26 (0.5%)  core::mem::replace
    1243 (0.7%)    11 (0.2%)  syn::parse::ParseBuffer::step
    1211 (0.7%)    57 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1183 (0.7%)     1 (0.0%)  pyo3_macros_backend::method::parse_method_attributes
    1155 (0.7%)     1 (0.0%)  pyo3_macros_backend::pyimpl::add_shared_proto_slots
    1139 (0.7%)     1 (0.0%)  pyo3_macros_backend::pyimpl::impl_methods
    1096 (0.6%)    19 (0.4%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    1029 (0.6%)    21 (0.4%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    1002 (0.6%)    16 (0.3%)  alloc::alloc::box_free
     999 (0.6%)    27 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     987 (0.6%)    21 (0.4%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     979 (0.6%)     1 (0.0%)  pyo3_macros_backend::pymethod::gen_py_method
     958 (0.6%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::Container::build_struct
     929 (0.5%)    13 (0.3%)  core::iter::adapters::process_results
     915 (0.5%)     1 (0.0%)  pyo3_macros_backend::pyfunction::impl_wrap_pyfunction
     910 (0.5%)    49 (1.0%)  core::ptr::read
     891 (0.5%)    14 (0.3%)  alloc::vec::Vec<T,A>::push
     876 (0.5%)    18 (0.4%)  syn::parse_quote::parse
     870 (0.5%)    69 (1.4%)  core::ops::function::FnOnce::call_once
     837 (0.5%)     9 (0.2%)  syn::attr::Attribute::parse_args_with::{{closure}}
     832 (0.5%)    32 (0.6%)  quote::to_tokens::ToTokens::to_token_stream
     818 (0.5%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::Container::build_newtype_struct
     783 (0.5%)    27 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     780 (0.5%)    20 (0.4%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     771 (0.4%)    19 (0.4%)  core::iter::traits::iterator::Iterator::for_each
     770 (0.4%)    22 (0.4%)  core::ptr::const_ptr::<impl *const T>::offset_from
     768 (0.4%)     1 (0.0%)  pyo3_macros_backend::pymethod::impl_py_setter_def
     765 (0.4%)     9 (0.2%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::IntoIterator>::into_iter
     741 (0.4%)    13 (0.3%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
     723 (0.4%)     1 (0.0%)  pyo3_macros_backend::pyproto::impl_proto_methods
     714 (0.4%)    21 (0.4%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     713 (0.4%)    31 (0.6%)  quote::to_tokens::ToTokens::into_token_stream
     694 (0.4%)    13 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
     685 (0.4%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::Container::build_tuple_struct
     685 (0.4%)     1 (0.0%)  pyo3_macros_backend::pyclass::impl_class::{{closure}}
     678 (0.4%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::build_derive_from_pyobject
     673 (0.4%)     1 (0.0%)  pyo3_macros_backend::pymethod::impl_py_getter_def
     672 (0.4%)    14 (0.3%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     651 (0.4%)     7 (0.1%)  pyo3_macros_backend::attributes::take_attributes
     650 (0.4%)    13 (0.3%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::size_hint
     644 (0.4%)     7 (0.1%)  core::iter::adapters::filter_map::filter_map_try_fold::{{closure}}
     626 (0.4%)     2 (0.0%)  pyo3_macros_backend::method::FnSpec::get_methoddef
     621 (0.4%)    27 (0.5%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     618 (0.4%)    13 (0.3%)  core::slice::iter::Iter<T>::new
     606 (0.4%)     9 (0.2%)  syn::punctuated::Punctuated<T,P>::push_punct
     598 (0.3%)     1 (0.0%)  pyo3_macros_backend::proto_method::impl_method_proto
     592 (0.3%)    13 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     585 (0.3%)    13 (0.3%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold
     581 (0.3%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::Enum::build
     575 (0.3%)    10 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
     568 (0.3%)     1 (0.0%)  pyo3_macros_backend::pyclass::impl_methods_inventory
     552 (0.3%)     2 (0.0%)  pyo3_macros_backend::pyfunction::PyFunctionOptions::add_attributes
     551 (0.3%)     1 (0.0%)  <pyo3_macros_backend::from_pyobject::FieldPyO3Attribute as syn::parse::Parse>::parse
     549 (0.3%)     1 (0.0%)  pyo3_macros_backend::method::FnSpec::parse
     538 (0.3%)     9 (0.2%)  syn::punctuated::Punctuated<T,P>::push_value
     519 (0.3%)    10 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     513 (0.3%)     1 (0.0%)  pyo3_macros_backend::method::SelfType::receiver
     509 (0.3%)     1 (0.0%)  pyo3_macros_backend::module::py_init
     505 (0.3%)    19 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
     499 (0.3%)     1 (0.0%)  pyo3_macros_backend::method::FnSpec::parse_fn_type
     496 (0.3%)    31 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
     495 (0.3%)    15 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     492 (0.3%)     1 (0.0%)  <pyo3_macros_backend::module::PyFnArgs as syn::parse::Parse>::parse
     489 (0.3%)    51 (1.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     484 (0.3%)     1 (0.0%)  pyo3_macros_backend::pyproto::impl_proto_impl
     475 (0.3%)     5 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
     471 (0.3%)     1 (0.0%)  pyo3_macros_backend::pyfunction::PyFunctionOptions::take_pyo3_options::{{closure}}
     470 (0.3%)     1 (0.0%)  pyo3_macros_backend::pymethod::SlotFragmentDef::generate_pyproto_fragment
     468 (0.3%)    39 (0.8%)  core::ptr::const_ptr::<impl *const T>::offset
     466 (0.3%)     1 (0.0%)  pyo3_macros_backend::pymethod::Ty::extract
     465 (0.3%)    52 (1.0%)  core::ptr::write
     450 (0.3%)     1 (0.0%)  pyo3_macros_backend::pyproto::build_py_proto
     444 (0.3%)    37 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
     435 (0.3%)     1 (0.0%)  pyo3_macros_backend::pymethod::SlotDef::generate_type_slot
     429 (0.2%)    25 (0.5%)  core::option::Option<T>::is_some
     426 (0.2%)     1 (0.0%)  pyo3_macros_backend::utils::get_doc::{{closure}}
     425 (0.2%)     1 (0.0%)  pyo3_macros_backend::module::process_functions_in_module
     407 (0.2%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::Container::new
     405 (0.2%)    27 (0.5%)  alloc::vec::Vec<T,A>::as_mut_ptr
     405 (0.2%)    27 (0.5%)  core::ptr::slice_from_raw_parts_mut
     401 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyclass::build_py_class
     400 (0.2%)    40 (0.8%)  <&T as quote::to_tokens::ToTokens>::to_tokens
     398 (0.2%)    19 (0.4%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     397 (0.2%)     1 (0.0%)  pyo3_macros_backend::konst::ConstAttributes::from_attrs::{{closure}}
     395 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyclass::PyClassArgs::add_assign
     392 (0.2%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::FieldPyO3Attributes::from_attrs
     389 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyclass::impl_descriptors
     388 (0.2%)    10 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     380 (0.2%)     4 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     379 (0.2%)     1 (0.0%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
     379 (0.2%)     1 (0.0%)  pyo3_macros_backend::attributes::get_deprecated_name_attribute
     378 (0.2%)    27 (0.5%)  core::ptr::non_null::NonNull<T>::cast
     378 (0.2%)     9 (0.2%)  syn::attr::Attribute::parse_args_with
     376 (0.2%)    27 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     352 (0.2%)     2 (0.0%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::size_hint
     351 (0.2%)     6 (0.1%)  core::iter::adapters::map::map_try_fold::{{closure}}
     350 (0.2%)     7 (0.1%)  pyo3_macros_backend::attributes::take_attributes::{{closure}}
     348 (0.2%)     1 (0.0%)  pyo3_macros_backend::pymethod::extract_proto_arguments
     346 (0.2%)     4 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     343 (0.2%)    34 (0.7%)  <&T as core::fmt::Debug>::fmt
     340 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyimpl::submit_methods_inventory
     337 (0.2%)    57 (1.1%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     336 (0.2%)     1 (0.0%)  pyo3_macros_backend::attributes::get_deprecated_text_signature_attribute
     331 (0.2%)    33 (0.7%)  core::ptr::unique::Unique<T>::cast
     331 (0.2%)     1 (0.0%)  pyo3_macros_backend::pymethod::generate_method_body
     329 (0.2%)     9 (0.2%)  core::option::Option<T>::or_else
     323 (0.2%)    13 (0.3%)  alloc::boxed::Box<T>::new
     323 (0.2%)     1 (0.0%)  <pyo3_macros_backend::pyfunction::PyFunctionOptions as syn::parse::Parse>::parse
     321 (0.2%)    23 (0.5%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::Extend<T>>::extend
     320 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyfunction::PyFunctionSignature::add_name_value
     315 (0.2%)    21 (0.4%)  alloc::vec::into_iter::IntoIter<T,A>::as_raw_mut_slice
     312 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyproto::impl_normal_methods
     310 (0.2%)     2 (0.0%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::try_fold
     308 (0.2%)     1 (0.0%)  pyo3_macros_backend::pymethod::impl_py_method_def
     306 (0.2%)     3 (0.1%)  pyo3_macros_backend::attributes::take_pyo3_options::{{closure}}
     298 (0.2%)     1 (0.0%)  pyo3_macros_backend::from_pyobject::ContainerOptions::from_attrs
     297 (0.2%)     1 (0.0%)  pyo3_macros_backend::attributes::take_deprecated_text_signature_attribute
     294 (0.2%)     7 (0.1%)  <core::iter::adapters::filter_map::FilterMap<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     293 (0.2%)     4 (0.1%)  core::option::Option<T>::map_or_else
     290 (0.2%)     2 (0.0%)  syn::lit::LitStr::parse_with
     288 (0.2%)    32 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::add
     288 (0.2%)    18 (0.4%)  alloc::raw_vec::RawVec<T,A>::reserve
     281 (0.2%)     1 (0.0%)  pyo3_macros_backend::pymethod::impl_py_class_attribute
     280 (0.2%)    18 (0.4%)  core::iter::adapters::map::Map<I,F>::new
     279 (0.2%)    51 (1.0%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     279 (0.2%)    31 (0.6%)  <T as quote::spanned::Spanned>::__span
     277 (0.2%)    31 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     277 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyimpl::gen_py_const
     274 (0.2%)     1 (0.0%)  pyo3_macros_backend::pymethod::impl_py_method_def_new
     272 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyimpl::impl_py_methods
     270 (0.2%)    18 (0.4%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
     270 (0.2%)    18 (0.4%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
     268 (0.2%)     4 (0.1%)  core::fmt::builders::DebugList::entries
     266 (0.2%)    19 (0.4%)  core::intrinsics::write_bytes
     265 (0.2%)     1 (0.0%)  pyo3_macros_backend::pyclass::FieldPyO3Options::take_pyo3_options
     264 (0.2%)    11 (0.2%)  syn::punctuated::Punctuated<T,P>::len
