  Lines         Copies      Function name
  -----         ------      -------------
  14438 (100%)  455 (100%)  (TOTAL)
    710 (4.9%)    9 (2.0%)  core::iter::traits::iterator::Iterator::fold
    441 (3.1%)    7 (1.5%)  core::iter::adapters::map::map_fold::{{closure}}
    400 (2.8%)    4 (0.9%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::Extend<proc_macro2::TokenTree>>::extend
    379 (2.6%)    1 (0.2%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    356 (2.5%)    1 (0.2%)  quote::__private::mk_ident
    355 (2.5%)    7 (1.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    257 (1.8%)    7 (1.5%)  core::iter::traits::iterator::Iterator::for_each
    204 (1.4%)    1 (0.2%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    171 (1.2%)    1 (0.2%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::fold
    168 (1.2%)    2 (0.4%)  <proc_macro::TokenStream as core::iter::traits::collect::FromIterator<proc_macro::TokenStream>>::from_iter
    163 (1.1%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    156 (1.1%)    7 (1.5%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    150 (1.0%)    3 (0.7%)  core::option::Option<T>::map
    149 (1.0%)    3 (0.7%)  quote::spanned::join_spans::{{closure}}
    125 (0.9%)    1 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    121 (0.8%)    1 (0.2%)  quote::spanned::join_spans
    120 (0.8%)    1 (0.2%)  core::iter::adapters::filter_map::filter_map_fold::{{closure}}
    113 (0.8%)    1 (0.2%)  quote::__private::respan_token_tree
     98 (0.7%)    1 (0.2%)  quote::__private::push_dot3_spanned
     98 (0.7%)    1 (0.2%)  quote::__private::push_dot_dot_eq_spanned
     98 (0.7%)    1 (0.2%)  quote::__private::push_shl_eq_spanned
     98 (0.7%)    1 (0.2%)  quote::__private::push_shr_eq_spanned
     95 (0.7%)    7 (1.5%)  core::iter::adapters::map::Map<I,F>::new
     94 (0.7%)    7 (1.5%)  core::iter::adapters::map::map_fold
     94 (0.7%)    2 (0.4%)  core::mem::replace
     94 (0.7%)    1 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
     93 (0.6%)    5 (1.1%)  <proc_macro2::TokenStream as quote::ext::TokenStreamExt>::append
     92 (0.6%)    1 (0.2%)  <proc_macro2::TokenTree as core::clone::Clone>::clone
     90 (0.6%)    5 (1.1%)  <proc_macro2::fallback::TokenStream as core::iter::traits::collect::Extend<proc_macro2::TokenTree>>::extend
