  Lines        Copies      Function name
  -----        ------      -------------
  9756 (100%)  366 (100%)  (TOTAL)
   568 (5.8%)    1 (0.3%)  rand_distr::hypergeometric::Hypergeometric::new
   352 (3.6%)    7 (1.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   240 (2.5%)    4 (1.1%)  core::result::Result<T,E>::map_err
   193 (2.0%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   182 (1.9%)    1 (0.3%)  <rand_distr::hypergeometric::SamplingMethod as core::fmt::Debug>::fmt
   180 (1.8%)    1 (0.3%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   163 (1.7%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   156 (1.6%)    2 (0.5%)  core::iter::traits::iterator::Iterator::fold
   152 (1.6%)    1 (0.3%)  alloc::raw_vec::finish_grow
   145 (1.5%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   141 (1.4%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::shrink
   140 (1.4%)    2 (0.5%)  core::cmp::max_by
   134 (1.4%)    5 (1.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   116 (1.2%)    2 (0.5%)  rand_distr::weighted_alias::pairwise_sum
   116 (1.2%)    1 (0.3%)  rand_distr::geometric::Geometric::new
   109 (1.1%)    1 (0.3%)  rand_distr::hypergeometric::fraction_of_products_of_factorials
   108 (1.1%)    2 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
   104 (1.1%)    1 (0.3%)  alloc::vec::Vec<T,A>::extend_with
    97 (1.0%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    96 (1.0%)    2 (0.5%)  <core::iter::adapters::copied::Copied<I> as core::iter::traits::iterator::Iterator>::fold
    96 (1.0%)    2 (0.5%)  core::slice::iter::Iter<T>::new
    93 (1.0%)    2 (0.5%)  core::option::Option<T>::ok_or
    92 (0.9%)    2 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    84 (0.9%)    2 (0.5%)  alloc::boxed::Box<T,A>::from_raw_in
    77 (0.8%)    1 (0.3%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    76 (0.8%)    1 (0.3%)  alloc::vec::Vec<T,A>::into_boxed_slice
    74 (0.8%)    1 (0.3%)  <rand_distr::hypergeometric::Hypergeometric as core::fmt::Debug>::fmt
    72 (0.7%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    70 (0.7%)    1 (0.3%)  core::cmp::min_by
    69 (0.7%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_unique
    68 (0.7%)    2 (0.5%)  core::slice::<impl [T]>::split_at_unchecked
    65 (0.7%)    1 (0.3%)  alloc::alloc::box_free
    64 (0.7%)    4 (1.1%)  core::slice::<impl [T]>::get_unchecked
    62 (0.6%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::into_box
    60 (0.6%)    2 (0.5%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    59 (0.6%)    1 (0.3%)  core::fmt::Arguments::new_v1
    58 (0.6%)    2 (0.5%)  core::ptr::metadata::from_raw_parts
    58 (0.6%)    2 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    56 (0.6%)    3 (0.8%)  core::ptr::read
    56 (0.6%)    2 (0.5%)  core::iter::adapters::copied::copy_fold::{{closure}}
    56 (0.6%)    1 (0.3%)  core::alloc::layout::Layout::array
    54 (0.6%)    2 (0.5%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    54 (0.6%)    1 (0.3%)  <core::ops::range::RangeInclusive<T> as core::iter::range::RangeInclusiveIteratorImpl>::spec_next
    54 (0.6%)    1 (0.3%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    50 (0.5%)    2 (0.5%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
    48 (0.5%)    4 (1.1%)  core::ptr::mut_ptr::<impl *mut T>::offset
    48 (0.5%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    47 (0.5%)    3 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
