  Lines       Copies     Function name
  -----       ------     -------------
  633 (100%)  27 (100%)  (TOTAL)
  118 (18.6%)  1 (3.7%)  rand_jitter::JitterRng<F>::lfsr_time::lfsr
   59 (9.3%)   1 (3.7%)  core::fmt::Arguments::new_v1
   56 (8.8%)   1 (3.7%)  rand_jitter::EcState::stuck
   45 (7.1%)   1 (3.7%)  core::mem::replace
   42 (6.6%)   1 (3.7%)  rand_jitter::error::TimerError::description
   41 (6.5%)   1 (3.7%)  <rand_jitter::error::TimerError as core::fmt::Debug>::fmt
   36 (5.7%)   1 (3.7%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
   29 (4.6%)   1 (3.7%)  core::fmt::ArgumentV1::new
   27 (4.3%)   1 (3.7%)  <rand_jitter::error::TimerError as core::fmt::Display>::fmt
   17 (2.7%)   1 (3.7%)  core::ptr::read
   16 (2.5%)   1 (3.7%)  core::option::Option<T>::unwrap
   15 (2.4%)   1 (3.7%)  core::num::nonzero::NonZeroU32::new
   14 (2.2%)   1 (3.7%)  rand_jitter::error::<impl core::convert::From<rand_jitter::error::TimerError> for rand_core::error::Error>::from
   13 (2.1%)   1 (3.7%)  <&T as core::fmt::Display>::fmt
   13 (2.1%)   1 (3.7%)  core::num::<impl u64>::rotate_left
   12 (1.9%)   1 (3.7%)  core::num::<impl i32>::unchecked_add
   10 (1.6%)   1 (3.7%)  <i32 as core::iter::range::Step>::forward_unchecked
   10 (1.6%)   1 (3.7%)  core::cmp::impls::<impl core::cmp::PartialOrd for i32>::lt
   10 (1.6%)   1 (3.7%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next
   10 (1.6%)   1 (3.7%)  core::ptr::write
    9 (1.4%)   1 (3.7%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    7 (1.1%)   1 (3.7%)  <rand_core::error::Error as core::convert::From<core::num::nonzero::NonZeroU32>>::from
    7 (1.1%)   1 (3.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    5 (0.8%)   1 (3.7%)  core::clone::impls::<impl core::clone::Clone for i32>::clone
    4 (0.6%)   1 (3.7%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    4 (0.6%)   1 (3.7%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    4 (0.6%)   1 (3.7%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
