  Lines         Copies      Function name
  -----         ------      -------------
  13346 (100%)  380 (100%)  (TOTAL)
   1189 (8.9%)   14 (3.7%)  rand_core::SeedableRng::from_rng
    714 (5.3%)   14 (3.7%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::all
    713 (5.3%)   16 (4.2%)  core::result::Result<T,E>::unwrap
    385 (2.9%)    1 (0.3%)  core::array::<impl core::default::Default for [T; 32]>::default
    296 (2.2%)    2 (0.5%)  core::array::<impl core::default::Default for [T; _]>::default
    234 (1.8%)    2 (0.5%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    216 (1.6%)   14 (3.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    198 (1.5%)    3 (0.8%)  core::fmt::builders::DebugList::entries
    159 (1.2%)    1 (0.3%)  rand_xoshiro::xoshiro512plus::Xoshiro512Plus::jump
    159 (1.2%)    1 (0.3%)  rand_xoshiro::xoshiro512plus::Xoshiro512Plus::long_jump
    159 (1.2%)    1 (0.3%)  rand_xoshiro::xoshiro512plusplus::Xoshiro512PlusPlus::jump
    159 (1.2%)    1 (0.3%)  rand_xoshiro::xoshiro512plusplus::Xoshiro512PlusPlus::long_jump
    159 (1.2%)    1 (0.3%)  rand_xoshiro::xoshiro512starstar::Xoshiro512StarStar::jump
    159 (1.2%)    1 (0.3%)  rand_xoshiro::xoshiro512starstar::Xoshiro512StarStar::long_jump
    154 (1.2%)    3 (0.8%)  core::slice::iter::Iter<T>::post_inc_start
    139 (1.0%)    3 (0.8%)  core::slice::iter::Iter<T>::new
    134 (1.0%)    2 (0.5%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    134 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro256plus::Xoshiro256Plus::jump
    134 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro256plus::Xoshiro256Plus::long_jump
    134 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro256plusplus::Xoshiro256PlusPlus::jump
    134 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro256plusplus::Xoshiro256PlusPlus::long_jump
    134 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro256starstar::Xoshiro256StarStar::jump
    134 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro256starstar::Xoshiro256StarStar::long_jump
    133 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro128plus::Xoshiro128Plus::jump
    133 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro128plusplus::Xoshiro128PlusPlus::jump
    133 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro128plusplus::Xoshiro128PlusPlus::long_jump
    133 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro128starstar::Xoshiro128StarStar::jump
    133 (1.0%)    1 (0.3%)  rand_xoshiro::xoshiro128starstar::Xoshiro128StarStar::long_jump
    129 (1.0%)    3 (0.8%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    129 (1.0%)    1 (0.3%)  rand_core::impls::fill_bytes_via_next
    125 (0.9%)    1 (0.3%)  <rand_xoshiro::xoshiro512plusplus::Xoshiro512PlusPlus as rand_core::RngCore>::next_u64
    119 (0.9%)    1 (0.3%)  <rand_xoshiro::xoshiro512starstar::Xoshiro512StarStar as rand_core::RngCore>::next_u64
    118 (0.9%)    1 (0.3%)  <rand_xoshiro::xoshiro512plus::Xoshiro512Plus as rand_core::RngCore>::next_u64
    116 (0.9%)    2 (0.5%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    114 (0.9%)    2 (0.5%)  core::result::Result<T,E>::map
    104 (0.8%)    1 (0.3%)  rand_xoshiro::xoroshiro128plus::Xoroshiro128Plus::jump
    104 (0.8%)    1 (0.3%)  rand_xoshiro::xoroshiro128plus::Xoroshiro128Plus::long_jump
    104 (0.8%)    1 (0.3%)  rand_xoshiro::xoroshiro128plusplus::Xoroshiro128PlusPlus::jump
    104 (0.8%)    1 (0.3%)  rand_xoshiro::xoroshiro128plusplus::Xoroshiro128PlusPlus::long_jump
    104 (0.8%)    1 (0.3%)  rand_xoshiro::xoroshiro128starstar::Xoroshiro128StarStar::jump
    104 (0.8%)    1 (0.3%)  rand_xoshiro::xoroshiro128starstar::Xoroshiro128StarStar::long_jump
     98 (0.7%)    1 (0.3%)  rand_core::le::read_u32_into
     98 (0.7%)    1 (0.3%)  rand_core::le::read_u64_into
     96 (0.7%)    9 (2.4%)  <&T as core::fmt::Debug>::fmt
     94 (0.7%)    2 (0.5%)  core::slice::iter::IterMut<T>::new
     85 (0.6%)    1 (0.3%)  <rand_xoshiro::xoshiro128plusplus::Xoshiro128PlusPlus as rand_core::RngCore>::next_u32
     85 (0.6%)    1 (0.3%)  <rand_xoshiro::xoshiro256plusplus::Xoshiro256PlusPlus as rand_core::RngCore>::next_u64
     80 (0.6%)    6 (1.6%)  core::array::<impl core::ops::index::Index<I> for [T; N]>::index
     80 (0.6%)    2 (0.5%)  core::iter::traits::iterator::Iterator::zip
     79 (0.6%)    1 (0.3%)  <rand_xoshiro::xoshiro128starstar::Xoshiro128StarStar as rand_core::RngCore>::next_u32
     79 (0.6%)    1 (0.3%)  <rand_xoshiro::xoshiro256starstar::Xoshiro256StarStar as rand_core::RngCore>::next_u64
     78 (0.6%)    3 (0.8%)  <[T] as core::fmt::Debug>::fmt
     78 (0.6%)    1 (0.3%)  <rand_xoshiro::xoshiro128plus::Xoshiro128Plus as rand_core::RngCore>::next_u32
     78 (0.6%)    1 (0.3%)  <rand_xoshiro::xoshiro256plus::Xoshiro256Plus as rand_core::RngCore>::next_u64
     66 (0.5%)    1 (0.3%)  core::slice::iter::ChunksExact<T>::new
     61 (0.5%)    4 (1.1%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
     54 (0.4%)    3 (0.8%)  core::array::<impl core::fmt::Debug for [T; N]>::fmt
     51 (0.4%)    7 (1.8%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     46 (0.3%)    2 (0.5%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
     46 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128plusplus::Xoroshiro128PlusPlus as rand_core::RngCore>::next_u64
     45 (0.3%)    1 (0.3%)  core::mem::replace
     45 (0.3%)    1 (0.3%)  core::slice::<impl [T]>::split_at_mut_unchecked
     44 (0.3%)    4 (1.1%)  core::array::<impl core::iter::traits::collect::IntoIterator for &[T; N]>::into_iter
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128plus::Xoroshiro128Plus as rand_core::SeedableRng>::from_seed
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128plusplus::Xoroshiro128PlusPlus as rand_core::SeedableRng>::from_seed
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128starstar::Xoroshiro128StarStar as rand_core::SeedableRng>::from_seed
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro64star::Xoroshiro64Star as rand_core::SeedableRng>::from_seed
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro64starstar::Xoroshiro64StarStar as rand_core::SeedableRng>::from_seed
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoshiro128plus::Xoshiro128Plus as rand_core::SeedableRng>::from_seed
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoshiro128plusplus::Xoshiro128PlusPlus as rand_core::SeedableRng>::from_seed
     44 (0.3%)    1 (0.3%)  <rand_xoshiro::xoshiro128starstar::Xoshiro128StarStar as rand_core::SeedableRng>::from_seed
     42 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128starstar::Xoroshiro128StarStar as rand_core::RngCore>::next_u64
     40 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128plus::Xoroshiro128Plus as rand_core::RngCore>::next_u64
     40 (0.3%)    1 (0.3%)  core::slice::<impl [T]>::chunks_exact
     39 (0.3%)    3 (0.8%)  core::array::<impl core::ops::index::IndexMut<I> for [T; N]>::index_mut
     39 (0.3%)    3 (0.8%)  core::slice::<impl [T]>::iter
     38 (0.3%)    2 (0.5%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
     38 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128plus::Xoroshiro128Plus as core::fmt::Debug>::fmt
     38 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128plusplus::Xoroshiro128PlusPlus as core::fmt::Debug>::fmt
     38 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro128starstar::Xoroshiro128StarStar as core::fmt::Debug>::fmt
     38 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro64star::Xoroshiro64Star as core::fmt::Debug>::fmt
     38 (0.3%)    1 (0.3%)  <rand_xoshiro::xoroshiro64starstar::Xoroshiro64StarStar as core::fmt::Debug>::fmt
     37 (0.3%)    1 (0.3%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::size_hint
     36 (0.3%)    3 (0.8%)  core::ptr::const_ptr::<impl *const T>::offset
     36 (0.3%)    3 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::offset
     36 (0.3%)    1 (0.3%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     36 (0.3%)    1 (0.3%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
     34 (0.3%)    2 (0.5%)  <T as core::convert::TryInto<U>>::try_into
     34 (0.3%)    1 (0.3%)  core::slice::<impl [T]>::split_at_unchecked
     33 (0.2%)    3 (0.8%)  <core::ops::range::RangeFull as core::slice::index::SliceIndex<[T]>>::index
     33 (0.2%)    1 (0.3%)  <rand_xoshiro::splitmix64::SplitMix64 as rand_core::RngCore>::next_u64
     32 (0.2%)    2 (0.5%)  core::slice::<impl [T]>::get_unchecked
     32 (0.2%)    1 (0.3%)  <rand_xoshiro::splitmix64::SplitMix64 as rand_core::RngCore>::next_u32
     32 (0.2%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
     32 (0.2%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
     32 (0.2%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
     32 (0.2%)    1 (0.3%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
     30 (0.2%)    3 (0.8%)  core::array::<impl core::convert::AsMut<[T]> for [T; N]>::as_mut
     30 (0.2%)    1 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
     30 (0.2%)    1 (0.3%)  <rand_xoshiro::xoshiro256plus::Xoshiro256Plus as rand_core::SeedableRng>::from_seed
     30 (0.2%)    1 (0.3%)  <rand_xoshiro::xoshiro256plusplus::Xoshiro256PlusPlus as rand_core::SeedableRng>::from_seed
     30 (0.2%)    1 (0.3%)  <rand_xoshiro::xoshiro256starstar::Xoshiro256StarStar as rand_core::SeedableRng>::from_seed
     30 (0.2%)    1 (0.3%)  <rand_xoshiro::xoshiro512plus::Xoshiro512Plus as rand_core::SeedableRng>::from_seed
     30 (0.2%)    1 (0.3%)  <rand_xoshiro::xoshiro512plusplus::Xoshiro512PlusPlus as rand_core::SeedableRng>::from_seed
     30 (0.2%)    1 (0.3%)  <rand_xoshiro::xoshiro512starstar::Xoshiro512StarStar as rand_core::SeedableRng>::from_seed
     29 (0.2%)    1 (0.3%)  <rand_xoshiro::xoshiro128plus::Xoshiro128Plus as core::fmt::Debug>::fmt
