  Lines         Copies      Function name
  -----         ------      -------------
  13638 (100%)  452 (100%)  (TOTAL)
   1104 (8.1%)    1 (0.2%)  ref_cast_impl::expand
    619 (4.5%)    3 (0.7%)  <F as syn::parse::Parser>::parse2
    481 (3.5%)    2 (0.4%)  ref_cast_impl::check_repr::{{closure}}
    446 (3.3%)    4 (0.9%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    397 (2.9%)    9 (2.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    286 (2.1%)    4 (0.9%)  std::thread::local::LocalKey<T>::try_with
    278 (2.0%)    6 (1.3%)  core::mem::replace
    278 (2.0%)    4 (0.9%)  alloc::alloc::box_free
    263 (1.9%)    1 (0.2%)  ref_cast_impl::check_repr
    204 (1.5%)    2 (0.4%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    199 (1.5%)   11 (2.4%)  core::ops::function::FnOnce::call_once
    168 (1.2%)    1 (0.2%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    163 (1.2%)    2 (0.4%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    163 (1.2%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    155 (1.1%)    1 (0.2%)  ref_cast_impl::trivial_fields
    150 (1.1%)    1 (0.2%)  syn::error::Error::new_spanned
    147 (1.1%)    1 (0.2%)  ref_cast_impl::only_field_ty
    129 (0.9%)    3 (0.7%)  core::result::Result<T,E>::expect
    127 (0.9%)    7 (1.5%)  core::ptr::read
    127 (0.9%)    1 (0.2%)  std::panicking::update_hook
    122 (0.9%)    7 (1.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    119 (0.9%)    2 (0.4%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    117 (0.9%)    3 (0.7%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    108 (0.8%)    1 (0.2%)  ref_cast_impl::fields
    107 (0.8%)    1 (0.2%)  ref_cast_impl::derive_ref_cast
    106 (0.8%)    1 (0.2%)  ref_cast_impl::decide_trivial
    102 (0.7%)    8 (1.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
     97 (0.7%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     96 (0.7%)    1 (0.2%)  syn::attr::Attribute::parse_args_with::{{closure}}
     92 (0.7%)    2 (0.4%)  core::result::Result<T,E>::unwrap_or_else
     88 (0.6%)    1 (0.2%)  core::option::Option<T>::map_or_else
     86 (0.6%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
     86 (0.6%)    1 (0.2%)  core::option::Option<T>::map_or
     81 (0.6%)    1 (0.2%)  ref_cast_impl::is_explicit_trivial
     75 (0.5%)    2 (0.4%)  proc_macro::bridge::client::run_client::{{closure}}
     75 (0.5%)    1 (0.2%)  proc_macro::bridge::client::run_client
     72 (0.5%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
     70 (0.5%)    2 (0.4%)  core::cell::Cell<T>::replace
     69 (0.5%)    4 (0.9%)  core::option::Option<T>::unwrap
     69 (0.5%)    1 (0.2%)  alloc::boxed::Box<T,A>::into_unique
     69 (0.5%)    1 (0.2%)  std::sys::unix::rwlock::RWLock::write
     68 (0.5%)    1 (0.2%)  proc_macro::bridge::buffer::Buffer<T>::push
     68 (0.5%)    1 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     67 (0.5%)    1 (0.2%)  <proc_macro::bridge::buffer::Buffer<T> as core::convert::From<alloc::vec::Vec<T>>>::from
     67 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<syn::derive::DeriveInput>
     66 (0.5%)    2 (0.4%)  syn::error::Error::new_spanned::{{closure}}
     64 (0.5%)    7 (1.5%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     63 (0.5%)    1 (0.2%)  core::result::Result<T,E>::map_err
     63 (0.5%)    1 (0.2%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::enter
     62 (0.5%)    1 (0.2%)  <core::option::Option<T> as proc_macro::bridge::rpc::Encode<S>>::encode
     61 (0.4%)    1 (0.2%)  <proc_macro2::imp::Ident as core::cmp::PartialEq<T>>::eq
     61 (0.4%)    1 (0.2%)  alloc::vec::Vec<T,A>::push
     60 (0.4%)    7 (1.5%)  core::ptr::write
     60 (0.4%)    5 (1.1%)  core::ptr::unique::Unique<T>::cast
     59 (0.4%)    1 (0.2%)  core::fmt::Arguments::new_v1
     58 (0.4%)    1 (0.2%)  std::thread::local::fast::Key<T>::get
     57 (0.4%)    1 (0.2%)  std::thread::local::fast::Key<T>::try_initialize
