  Lines         Copies      Function name
  -----         ------      -------------
  24077 (100%)  836 (100%)  (TOTAL)
   1204 (5.0%)    1 (0.1%)  resolv_conf::grammar::parse
    930 (3.9%)    1 (0.1%)  <resolv_conf::config::Config as core::fmt::Display>::fmt
    815 (3.4%)    5 (0.6%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    728 (3.0%)   16 (1.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    532 (2.2%)    9 (1.1%)  core::result::Result<T,E>::map_err
    435 (1.8%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    432 (1.8%)    6 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
    336 (1.4%)    6 (0.7%)  core::alloc::layout::Layout::array
    334 (1.4%)    5 (0.6%)  core::fmt::builders::DebugList::entries
    319 (1.3%)   11 (1.3%)  core::fmt::ArgumentV1::new
    316 (1.3%)    6 (0.7%)  core::slice::iter::Iter<T>::post_inc_start
    282 (1.2%)    6 (0.7%)  core::slice::iter::Iter<T>::new
    270 (1.1%)    6 (0.7%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    266 (1.1%)    1 (0.1%)  resolv_conf::grammar::ip_v4_netw
    264 (1.1%)    3 (0.4%)  core::str::iter::SplitInternal<P>::get_end
    263 (1.1%)   26 (3.1%)  <&T as core::fmt::Debug>::fmt
    261 (1.1%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    258 (1.1%)    3 (0.4%)  core::str::iter::SplitInternal<P>::next
    253 (1.1%)    4 (0.5%)  alloc::vec::Vec<T,A>::push
    251 (1.0%)    7 (0.8%)  <resolv_conf::grammar::ParseError as core::fmt::Display>::fmt::{{closure}}
    234 (1.0%)    2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    229 (1.0%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    227 (0.9%)    1 (0.1%)  <resolv_conf::config::Config as core::fmt::Debug>::fmt
    222 (0.9%)    6 (0.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    215 (0.9%)    1 (0.1%)  <resolv_conf::ip::ScopedIp as core::str::traits::FromStr>::from_str
    206 (0.9%)   14 (1.7%)  resolv_conf::grammar::parse::{{closure}}
    206 (0.9%)    1 (0.1%)  <resolv_conf::grammar::ParseError as core::fmt::Display>::fmt
    203 (0.8%)    7 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    198 (0.8%)    9 (1.1%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    198 (0.8%)    4 (0.5%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    198 (0.8%)    1 (0.1%)  <resolv_conf::grammar::ParseError as core::fmt::Debug>::fmt
    193 (0.8%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    182 (0.8%)    2 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    182 (0.8%)    2 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
    176 (0.7%)    2 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    174 (0.7%)    6 (0.7%)  core::ptr::metadata::from_raw_parts
    162 (0.7%)    3 (0.4%)  core::option::Option<T>::ok_or_else
    160 (0.7%)    3 (0.4%)  core::str::<impl str>::split
    152 (0.6%)    1 (0.1%)  alloc::raw_vec::finish_grow
    149 (0.6%)    1 (0.1%)  resolv_conf::grammar::ip_v6_netw
    147 (0.6%)    3 (0.4%)  core::option::Option<T>::map
    130 (0.5%)    5 (0.6%)  <[T] as core::fmt::Debug>::fmt
    128 (0.5%)    3 (0.4%)  alloc::vec::Vec<T,A>::truncate
    127 (0.5%)    3 (0.4%)  core::option::Option<T>::ok_or
    118 (0.5%)    2 (0.2%)  alloc::alloc::box_free
    118 (0.5%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    116 (0.5%)    1 (0.1%)  resolv_conf::config::Config::new
    115 (0.5%)    5 (0.6%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    113 (0.5%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    113 (0.5%)    1 (0.1%)  core::str::validations::next_code_point
    105 (0.4%)    7 (0.8%)  core::ptr::slice_from_raw_parts_mut
    104 (0.4%)    1 (0.1%)  <core::slice::iter::Split<T,P> as core::iter::traits::iterator::Iterator>::next
     99 (0.4%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::new_in
     98 (0.4%)    1 (0.1%)  <resolv_conf::ip::Network as core::fmt::Display>::fmt
     97 (0.4%)    2 (0.2%)  core::option::Option<T>::and_then
     97 (0.4%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     94 (0.4%)    1 (0.1%)  resolv_conf::config::Config::get_nameservers_or_local
     92 (0.4%)    2 (0.2%)  core::mem::replace
     92 (0.4%)    2 (0.2%)  core::str::pattern::Searcher::next_match
     91 (0.4%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     90 (0.4%)    6 (0.7%)  alloc::vec::Vec<T,A>::as_mut_ptr
     90 (0.4%)    6 (0.7%)  alloc::vec::Vec<T,A>::as_ptr
     90 (0.4%)    6 (0.7%)  core::ptr::slice_from_raw_parts
     90 (0.4%)    6 (0.7%)  core::slice::raw::from_raw_parts
     89 (0.4%)    1 (0.1%)  <resolv_conf::ip::Network as core::fmt::Debug>::fmt
     87 (0.4%)    3 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     86 (0.4%)    1 (0.1%)  <resolv_conf::grammar::ParseError as std::error::Error>::cause
     84 (0.3%)    6 (0.7%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     84 (0.3%)    6 (0.7%)  core::ptr::non_null::NonNull<T>::cast
     83 (0.3%)   11 (1.3%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     81 (0.3%)    6 (0.7%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     81 (0.3%)    1 (0.1%)  <resolv_conf::ip::ScopedIp as core::fmt::Display>::fmt
     81 (0.3%)    1 (0.1%)  std::net::ip::Ipv6Addr::new
     80 (0.3%)    5 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
     80 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<resolv_conf::config::Config>
     79 (0.3%)    1 (0.1%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     78 (0.3%)    6 (0.7%)  core::slice::<impl [T]>::iter
     77 (0.3%)    1 (0.1%)  <resolv_conf::ip::ScopedIp as core::fmt::Debug>::fmt
     77 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::string::String]>
     77 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<[resolv_conf::config::Lookup]>
     77 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<[resolv_conf::ip::ScopedIp]>
     76 (0.3%)    2 (0.2%)  <core::str::pattern::MultiCharEqPattern<C> as core::str::pattern::Pattern>::into_searcher
     76 (0.3%)    1 (0.1%)  <resolv_conf::ip::ScopedIp as core::clone::Clone>::clone
     75 (0.3%)    8 (1.0%)  core::ptr::unique::Unique<T>::cast
     75 (0.3%)    1 (0.1%)  core::iter::traits::iterator::Iterator::fold
     72 (0.3%)    6 (0.7%)  core::ptr::const_ptr::<impl *const T>::offset
     72 (0.3%)    6 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
     71 (0.3%)    1 (0.1%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
     71 (0.3%)    1 (0.1%)  core::result::Result<T,E>::map
     70 (0.3%)    7 (0.8%)  <&T as core::fmt::Display>::fmt
     70 (0.3%)    1 (0.1%)  core::cmp::max_by
     69 (0.3%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     68 (0.3%)    1 (0.1%)  <resolv_conf::config::DomainIterInternal as core::fmt::Debug>::fmt
     65 (0.3%)    7 (0.8%)  core::ptr::non_null::NonNull<T>::new_unchecked
     65 (0.3%)    5 (0.6%)  <alloc::vec::Vec<T,A> as core::fmt::Debug>::fmt
     61 (0.3%)    5 (0.6%)  core::str::<impl str>::parse
     60 (0.2%)    1 (0.1%)  core::slice::iter::Iter<T>::make_slice
     59 (0.2%)    7 (0.8%)  core::ptr::write
     59 (0.2%)    1 (0.1%)  core::fmt::Arguments::new_v1
     58 (0.2%)    1 (0.1%)  <resolv_conf::ip::ScopedIp as core::convert::Into<std::net::ip::IpAddr>>::into
     58 (0.2%)    1 (0.1%)  alloc::slice::hack::into_vec
     54 (0.2%)    6 (0.7%)  core::ptr::const_ptr::<impl *const T>::add
     54 (0.2%)    6 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::add
     54 (0.2%)    1 (0.1%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     54 (0.2%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     52 (0.2%)    6 (0.7%)  core::ptr::const_ptr::<impl *const T>::is_null
     52 (0.2%)    6 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     51 (0.2%)    3 (0.4%)  alloc::vec::Vec<T,A>::with_capacity_in
     51 (0.2%)    3 (0.4%)  core::ptr::read
     51 (0.2%)    3 (0.4%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
     50 (0.2%)    5 (0.6%)  alloc::vec::Vec<T>::new
     50 (0.2%)    1 (0.1%)  <resolv_conf::config::Lookup as core::fmt::Debug>::fmt
     49 (0.2%)    7 (0.8%)  core::slice::raw::debug_check_data_len
     48 (0.2%)    6 (0.7%)  alloc::raw_vec::RawVec<T,A>::ptr
     48 (0.2%)    6 (0.7%)  core::slice::<impl [T]>::as_ptr
     48 (0.2%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::reserve_for_push
     48 (0.2%)    3 (0.4%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
     48 (0.2%)    3 (0.4%)  core::slice::<impl [T]>::len
     48 (0.2%)    2 (0.2%)  core::option::Option<T>::as_ref
     48 (0.2%)    1 (0.1%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
     48 (0.2%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     48 (0.2%)    1 (0.1%)  core::ops::control_flow::ControlFlow<B,C>::break_value
     47 (0.2%)    3 (0.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
     47 (0.2%)    1 (0.1%)  <char as core::str::pattern::Pattern>::into_searcher
     47 (0.2%)    1 (0.1%)  core::option::Option<T>::unwrap_unchecked
     46 (0.2%)    6 (0.7%)  core::ptr::unique::Unique<T>::new_unchecked
     46 (0.2%)    1 (0.1%)  resolv_conf::config::Config::get_last_search_or_domain
     46 (0.2%)    1 (0.1%)  resolv_conf::config::Config::set_domain
     46 (0.2%)    1 (0.1%)  resolv_conf::config::Config::set_search
     45 (0.2%)    1 (0.1%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get
     45 (0.2%)    1 (0.1%)  core::result::Result<T,E>::or_else
     43 (0.2%)    8 (1.0%)  core::ptr::unique::Unique<T>::as_ptr
     43 (0.2%)    2 (0.2%)  alloc::raw_vec::finish_grow::{{closure}}
