  Lines         Copies      Function name
  -----         ------      -------------
  12089 (100%)  634 (100%)  (TOTAL)
    737 (6.1%)   11 (1.7%)  core::fmt::builders::DebugList::entries
    720 (6.0%)   10 (1.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    594 (4.9%)   11 (1.7%)  core::slice::iter::Iter<T>::post_inc_start
    528 (4.4%)   11 (1.7%)  core::slice::iter::Iter<T>::new
    506 (4.2%)   11 (1.7%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    420 (3.5%)   42 (6.6%)  <&T as core::fmt::Debug>::fmt
    370 (3.1%)   10 (1.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    319 (2.6%)   11 (1.7%)  core::ptr::metadata::from_raw_parts
    290 (2.4%)   10 (1.6%)  core::ptr::metadata::from_raw_parts_mut
    286 (2.4%)   11 (1.7%)  <[T] as core::fmt::Debug>::fmt
    249 (2.1%)    5 (0.8%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    165 (1.4%)   11 (1.7%)  alloc::vec::Vec<T,A>::as_ptr
    165 (1.4%)   11 (1.7%)  core::ptr::slice_from_raw_parts
    165 (1.4%)   11 (1.7%)  core::slice::raw::from_raw_parts
    160 (1.3%)    1 (0.2%)  <rls_data::Analysis as core::default::Default>::default
    154 (1.3%)   11 (1.7%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    150 (1.2%)   10 (1.6%)  alloc::vec::Vec<T,A>::as_mut_ptr
    150 (1.2%)   10 (1.6%)  core::ptr::slice_from_raw_parts_mut
    143 (1.2%)   11 (1.7%)  <alloc::vec::Vec<T,A> as core::fmt::Debug>::fmt
    143 (1.2%)   11 (1.7%)  core::slice::<impl [T]>::iter
    138 (1.1%)   10 (1.6%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    132 (1.1%)   11 (1.7%)  core::ptr::const_ptr::<impl *const T>::offset
    132 (1.1%)   11 (1.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
    128 (1.1%)    1 (0.2%)  <rls_data::Def as core::fmt::Debug>::fmt
    112 (0.9%)    1 (0.2%)  rls_data::Analysis::new
    110 (0.9%)    1 (0.2%)  <rls_data::Analysis as core::fmt::Debug>::fmt
    106 (0.9%)    1 (0.2%)  core::ptr::drop_in_place<rls_data::Def>
    101 (0.8%)    1 (0.2%)  <rls_data::Impl as core::fmt::Debug>::fmt
     99 (0.8%)   11 (1.7%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     99 (0.8%)   11 (1.7%)  core::ptr::const_ptr::<impl *const T>::add
     99 (0.8%)   11 (1.7%)  core::ptr::const_ptr::<impl *const T>::is_null
     99 (0.8%)   11 (1.7%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     94 (0.8%)    1 (0.2%)  <rls_data::DefKind as core::fmt::Debug>::fmt
     93 (0.8%)    1 (0.2%)  core::ptr::drop_in_place<rls_data::Impl>
     90 (0.7%)   10 (1.6%)  core::ptr::unique::Unique<T>::cast
     88 (0.7%)   11 (1.7%)  alloc::raw_vec::RawVec<T,A>::ptr
     88 (0.7%)   11 (1.7%)  core::ptr::non_null::NonNull<T>::new_unchecked
     88 (0.7%)   11 (1.7%)  core::slice::<impl [T]>::as_ptr
     83 (0.7%)    1 (0.2%)  <rls_data::Import as core::fmt::Debug>::fmt
     83 (0.7%)    1 (0.2%)  <rls_data::SpanData as core::fmt::Debug>::fmt
     83 (0.7%)    1 (0.2%)  <rls_data::config::Config as core::fmt::Debug>::fmt
     77 (0.6%)   11 (1.7%)  core::slice::raw::debug_check_data_len
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[alloc::string::String]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[rls_data::Attribute]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[rls_data::Def]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[rls_data::ExternalCrateData]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[rls_data::Impl]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[rls_data::Import]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[rls_data::MacroRef]>
     77 (0.6%)    1 (0.2%)  core::ptr::drop_in_place<[rls_data::Ref]>
     71 (0.6%)    1 (0.2%)  <rls_data::ImplKind as core::fmt::Debug>::fmt
     60 (0.5%)    6 (0.9%)  alloc::vec::Vec<T>::new
     58 (0.5%)    1 (0.2%)  core::option::Option<T>::map
     56 (0.5%)    1 (0.2%)  <rls_data::CompilationOptions as core::fmt::Debug>::fmt
     56 (0.5%)    1 (0.2%)  <rls_data::CratePreludeData as core::fmt::Debug>::fmt
     56 (0.5%)    1 (0.2%)  <rls_data::Relation as core::fmt::Debug>::fmt
     55 (0.5%)   11 (1.7%)  core::ptr::const_ptr::<impl *const T>::cast
     55 (0.5%)   11 (1.7%)  core::ptr::non_null::NonNull<T>::as_ptr
