  Lines         Copies       Function name
  -----         ------       -------------
  54390 (100%)  2062 (100%)  (TOTAL)
   1171 (2.2%)    24 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    677 (1.2%)     1 (0.0%)  <rusqlite::OpenFlags as core::fmt::Debug>::fmt
    586 (1.1%)    10 (0.5%)  alloc::alloc::box_free
    564 (1.0%)    25 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    513 (0.9%)     1 (0.0%)  rusqlite::inner_connection::InnerConnection::open_with_flags
    472 (0.9%)     1 (0.0%)  <rusqlite::error::Error as core::cmp::PartialEq>::eq
    472 (0.9%)     1 (0.0%)  <rusqlite::error::Error as core::fmt::Display>::fmt
    427 (0.8%)     9 (0.4%)  core::option::Option<T>::ok_or
    413 (0.8%)    21 (1.0%)  core::ptr::read
    411 (0.8%)     1 (0.0%)  <rusqlite::error::Error as core::fmt::Debug>::fmt
    386 (0.7%)     8 (0.4%)  core::mem::replace
    370 (0.7%)     7 (0.3%)  core::result::Result<T,E>::expect
    326 (0.6%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    312 (0.6%)     7 (0.3%)  core::option::Option<T>::map
    308 (0.6%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    303 (0.6%)     1 (0.0%)  smallvec::SmallVec<A>::try_grow
    300 (0.6%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    290 (0.5%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    278 (0.5%)     1 (0.0%)  rusqlite::statement::Statement::bind_parameter
