  Lines         Copies      Function name
  -----         ------      -------------
  28633 (100%)  641 (100%)  (TOTAL)
   1464 (5.1%)    1 (0.2%)  rustc_demangle::v0::Printer::print_path
   1455 (5.1%)    1 (0.2%)  rustc_demangle::v0::Printer::print_const
    982 (3.4%)    1 (0.2%)  rustc_demangle::v0::Printer::print_type
    812 (2.8%)    7 (1.1%)  rustc_demangle::v0::Printer::print_sep_list
    748 (2.6%)    1 (0.2%)  <rustc_demangle::legacy::Demangle as core::fmt::Display>::fmt
    720 (2.5%)    2 (0.3%)  core::str::pattern::TwoWaySearcher::next
    643 (2.2%)    4 (0.6%)  rustc_demangle::v0::Printer::print_backref
    604 (2.1%)    1 (0.2%)  rustc_demangle::v0::Ident::punycode_decode
    595 (2.1%)    7 (1.1%)  core::iter::traits::iterator::Iterator::try_fold
    568 (2.0%)    2 (0.3%)  rustc_demangle::v0::Printer::in_binder
    557 (1.9%)    3 (0.5%)  rustc_demangle::v0::Printer::print_type::{{closure}}
    550 (1.9%)   14 (2.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    429 (1.5%)    2 (0.3%)  rustc_demangle::v0::Printer::print_quoted_escaped_chars
    420 (1.5%)    8 (1.2%)  core::option::Option<T>::map
    383 (1.3%)    1 (0.2%)  rustc_demangle::v0::Parser::ident
    357 (1.2%)    8 (1.2%)  core::option::Option<T>::ok_or
    328 (1.1%)    1 (0.2%)  rustc_demangle::v0::demangle
    321 (1.1%)    7 (1.1%)  rustc_demangle::v0::Printer::print_const::{{closure}}
    310 (1.1%)    1 (0.2%)  rustc_demangle::legacy::demangle
    298 (1.0%)    2 (0.3%)  rustc_demangle::v0::HexNibbles::try_parse_str_chars::{{closure}}::{{closure}}
    285 (1.0%)    1 (0.2%)  rustc_demangle::demangle
    280 (1.0%)    6 (0.9%)  core::mem::replace
    269 (0.9%)    1 (0.2%)  rustc_demangle::v0::Printer::print_dyn_trait
    261 (0.9%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    241 (0.8%)    4 (0.6%)  rustc_demangle::v0::Printer::print
    240 (0.8%)    1 (0.2%)  rustc_demangle::v0::Printer::print_const_uint
    235 (0.8%)    2 (0.3%)  <rustc_demangle::v0::Ident as core::fmt::Display>::fmt::{{closure}}
    229 (0.8%)    1 (0.2%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    227 (0.8%)   13 (2.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    225 (0.8%)    1 (0.2%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    202 (0.7%)    1 (0.2%)  <rustc_demangle::Demangle as core::fmt::Display>::fmt
    194 (0.7%)    1 (0.2%)  rustc_demangle::v0::Parser::integer_62
    168 (0.6%)    1 (0.2%)  rustc_demangle::v0::Printer::print_const_str_literal
    154 (0.5%)    3 (0.5%)  core::result::Result<T,E>::map
    147 (0.5%)    1 (0.2%)  rustc_demangle::v0::Printer::print_lifetime_from_index
    145 (0.5%)    5 (0.8%)  core::fmt::ArgumentV1::new
    138 (0.5%)    1 (0.2%)  rustc_demangle::v0::Parser::digit_62
    132 (0.5%)    2 (0.3%)  core::result::Result<T,E>::map_err
    132 (0.5%)    1 (0.2%)  rustc_demangle::v0::basic_type
    131 (0.5%)    3 (0.5%)  core::option::Option<T>::and_then
    131 (0.5%)    1 (0.2%)  rustc_demangle::v0::Printer::print_path_maybe_open_generics
    124 (0.4%)    1 (0.2%)  core::char::methods::<impl char>::escape_debug_ext
    122 (0.4%)    1 (0.2%)  rustc_demangle::v0::Ident::try_small_punycode_decode::{{closure}}
    121 (0.4%)    1 (0.2%)  rustc_demangle::v0::Parser::backref
    117 (0.4%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    116 (0.4%)    3 (0.5%)  core::str::<impl str>::find
    115 (0.4%)    1 (0.2%)  rustc_demangle::v0::Printer::print_generic_arg
    113 (0.4%)    1 (0.2%)  core::str::validations::next_code_point
    111 (0.4%)    6 (0.9%)  core::ptr::read
    111 (0.4%)    1 (0.2%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    105 (0.4%)    1 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    104 (0.4%)    1 (0.2%)  rustc_demangle::v0::Parser::hex_nibbles
    102 (0.4%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    102 (0.4%)    1 (0.2%)  rustc_demangle::v0::Ident::try_small_punycode_decode
    100 (0.3%)    4 (0.6%)  core::iter::traits::iterator::Iterator::all::check::{{closure}}
     95 (0.3%)    4 (0.6%)  rustc_demangle::v0::HexNibbles::try_parse_str_chars::{{closure}}
     95 (0.3%)    2 (0.3%)  core::option::Option<T>::unwrap_unchecked
     93 (0.3%)    1 (0.2%)  <core::result::Result<T,E> as core::cmp::PartialEq>::eq
     92 (0.3%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     91 (0.3%)    1 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
     88 (0.3%)    1 (0.2%)  core::str::iter::SplitInternal<P>::get_end
     86 (0.3%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     86 (0.3%)    1 (0.2%)  core::str::iter::SplitInternal<P>::next
     86 (0.3%)    1 (0.2%)  rustc_demangle::v0::HexNibbles::try_parse_uint
     85 (0.3%)    2 (0.3%)  core::result::Result<T,E>::ok
     85 (0.3%)    1 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
