  Lines         Copies      Function name
  -----         ------      -------------
  16212 (100%)  557 (100%)  (TOTAL)
   1730 (10.7%)  12 (2.2%)  rustc_rayon::range_inclusive::Iter<T>::bounds
    768 (4.7%)   12 (2.2%)  <rustc_rayon::iter::chain::Chain<A,B> as rustc_rayon::iter::ParallelIterator>::opt_len
    696 (4.3%)   12 (2.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    654 (4.0%)   12 (2.2%)  <core::ops::range::RangeInclusive<Idx> as core::clone::Clone>::clone
    652 (4.0%)   12 (2.2%)  <core::ops::range::RangeInclusive<T> as core::iter::range::RangeInclusiveIteratorImpl>::spec_next
    652 (4.0%)   12 (2.2%)  <core::ops::range::RangeInclusive<T> as core::iter::range::RangeInclusiveIteratorImpl>::spec_next_back
    492 (3.0%)   12 (2.2%)  rustc_rayon::iter::ParallelIterator::chain
    388 (2.4%)   11 (2.0%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    360 (2.2%)    8 (1.4%)  core::mem::replace
    343 (2.1%)    7 (1.3%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::size_hint
    288 (1.8%)    4 (0.7%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::RangeInclusive<A>>::size_hint
    261 (1.6%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    252 (1.6%)   12 (2.2%)  core::ops::range::RangeInclusive<Idx>::is_empty
    222 (1.4%)   12 (2.2%)  rustc_rayon::iter::chain::Chain<A,B>::new
    216 (1.3%)   12 (2.2%)  rustc_rayon::range::<impl rustc_rayon::iter::IntoParallelIterator for core::ops::range::Range<T>>::into_par_iter
    192 (1.2%)   12 (2.2%)  <rustc_rayon::iter::empty::Empty<T> as rustc_rayon::iter::ParallelIterator>::opt_len
    192 (1.2%)   12 (2.2%)  <rustc_rayon::iter::once::Once<T> as rustc_rayon::iter::ParallelIterator>::opt_len
    132 (0.8%)    8 (1.4%)  core::ptr::read
    124 (0.8%)   12 (2.2%)  core::iter::range::<impl core::iter::traits::double_ended::DoubleEndedIterator for core::ops::range::RangeInclusive<A>>::next_back
    124 (0.8%)   12 (2.2%)  core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::RangeInclusive<A>>::next
    106 (0.7%)    2 (0.4%)  core::iter::adapters::cloned::clone_try_fold::{{closure}}
    105 (0.6%)    1 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::try_rfold
    105 (0.6%)    1 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    103 (0.6%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<i8> as rustc_rayon::iter::ParallelIterator>::opt_len
    103 (0.6%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<u8> as rustc_rayon::iter::ParallelIterator>::opt_len
    103 (0.6%)    1 (0.2%)  <rustc_rayon::str::CharIndicesProducer as rustc_rayon::iter::plumbing::UnindexedProducer>::split
    102 (0.6%)    1 (0.2%)  <rustc_rayon::str::BytesProducer as rustc_rayon::iter::plumbing::UnindexedProducer>::split
    102 (0.6%)    1 (0.2%)  <rustc_rayon::str::CharsProducer as rustc_rayon::iter::plumbing::UnindexedProducer>::split
    102 (0.6%)    1 (0.2%)  <rustc_rayon::str::EncodeUtf16Producer as rustc_rayon::iter::plumbing::UnindexedProducer>::split
    101 (0.6%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<i16> as rustc_rayon::iter::ParallelIterator>::opt_len
    101 (0.6%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<i32> as rustc_rayon::iter::ParallelIterator>::opt_len
    101 (0.6%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<u16> as rustc_rayon::iter::ParallelIterator>::opt_len
    101 (0.6%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<u32> as rustc_rayon::iter::ParallelIterator>::opt_len
     91 (0.6%)    1 (0.2%)  rustc_rayon::str::find_char_midpoint
     89 (0.5%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<i128> as rustc_rayon::iter::ParallelIterator>::opt_len
     89 (0.5%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<i64> as rustc_rayon::iter::ParallelIterator>::opt_len
     89 (0.5%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<isize> as rustc_rayon::iter::ParallelIterator>::opt_len
     89 (0.5%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<u128> as rustc_rayon::iter::ParallelIterator>::opt_len
     89 (0.5%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<u64> as rustc_rayon::iter::ParallelIterator>::opt_len
     89 (0.5%)    1 (0.2%)  <rustc_rayon::range_inclusive::Iter<usize> as rustc_rayon::iter::ParallelIterator>::opt_len
     85 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<i128> as rustc_rayon::iter::plumbing::UnindexedProducer>::split
     85 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<i64> as rustc_rayon::iter::plumbing::UnindexedProducer>::split
     85 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<u128> as rustc_rayon::iter::plumbing::UnindexedProducer>::split
     85 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<u64> as rustc_rayon::iter::plumbing::UnindexedProducer>::split
     84 (0.5%)   12 (2.2%)  rustc_rayon::iter::once::once
     80 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<i16> as rustc_rayon::iter::plumbing::Producer>::split_at
     80 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<i32> as rustc_rayon::iter::plumbing::Producer>::split_at
     80 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<i8> as rustc_rayon::iter::plumbing::Producer>::split_at
     80 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<u16> as rustc_rayon::iter::plumbing::Producer>::split_at
     80 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<u32> as rustc_rayon::iter::plumbing::Producer>::split_at
     80 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<u8> as rustc_rayon::iter::plumbing::Producer>::split_at
     76 (0.5%)    8 (1.4%)  core::ptr::write
     76 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<isize> as rustc_rayon::iter::plumbing::Producer>::split_at
     76 (0.5%)    1 (0.2%)  <rustc_rayon::range::IterProducer<usize> as rustc_rayon::iter::plumbing::Producer>::split_at
     73 (0.5%)   11 (2.0%)  <core::option::Option<T> as core::ops::try_trait::FromResidual>::from_residual
     71 (0.4%)    1 (0.2%)  core::iter::traits::iterator::Iterator::rposition::check::{{closure}}
     61 (0.4%)    1 (0.2%)  alloc::vec::Vec<T,A>::push
     59 (0.4%)    1 (0.2%)  core::fmt::Arguments::new_v1
     56 (0.3%)    8 (1.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     53 (0.3%)    1 (0.2%)  core::str::<impl str>::split_at
     48 (0.3%)   12 (2.2%)  <T as rustc_rayon::iter::IntoParallelIterator>::into_par_iter
     48 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     48 (0.3%)    1 (0.2%)  core::str::<impl str>::is_char_boundary
     46 (0.3%)    1 (0.2%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     45 (0.3%)    1 (0.2%)  core::iter::traits::iterator::Iterator::position::check::{{closure}}
     45 (0.3%)    1 (0.2%)  core::num::<impl i8>::checked_add
     45 (0.3%)    1 (0.2%)  core::num::<impl u8>::checked_add
