  Lines         Copies       Function name
  -----         ------       -------------
  51738 (100%)  1609 (100%)  (TOTAL)
    720 (1.4%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next
    590 (1.1%)     1 (0.1%)  <[u8] as rustc_serialize::base64::ToBase64>::to_base64
    489 (0.9%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    480 (0.9%)     8 (0.5%)  alloc::alloc::box_free
    434 (0.8%)     1 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::clone::Clone>::clone::clone_subtree
    405 (0.8%)     1 (0.1%)  core::num::dec2flt::lemire::compute_float
    403 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_i16
    403 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_i32
    403 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_i8
    403 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_u16
    403 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_u32
    399 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_i64
    399 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_isize
    399 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_u64
    399 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_u8
    399 (0.8%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_usize
    395 (0.8%)     1 (0.1%)  rustc_serialize::json::escape_str
    394 (0.8%)    19 (1.2%)  core::ptr::read
    377 (0.7%)    13 (0.8%)  core::fmt::ArgumentV1::new
    373 (0.7%)     1 (0.1%)  core::num::dec2flt::slow::parse_long_mantissa
    365 (0.7%)     8 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    349 (0.7%)     7 (0.4%)  core::mem::replace
    346 (0.7%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_str
    320 (0.6%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
    300 (0.6%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
    290 (0.6%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    288 (0.6%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_f64
    284 (0.5%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_recursing
    280 (0.5%)     6 (0.4%)  core::option::Option<T>::ok_or
    276 (0.5%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_map
    276 (0.5%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_seq
    273 (0.5%)     1 (0.1%)  rustc_serialize::json::Builder<T>::build_value
    272 (0.5%)     1 (0.1%)  core::num::dec2flt::dec2flt
    263 (0.5%)     1 (0.1%)  rustc_serialize::json::Builder<T>::build_object
    261 (0.5%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    260 (0.5%)     3 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    256 (0.5%)     3 (0.2%)  alloc::collections::btree::mem::replace
    249 (0.5%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
    244 (0.5%)     6 (0.4%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
    244 (0.5%)     6 (0.4%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
    243 (0.5%)    24 (1.5%)  <&T as core::fmt::Debug>::fmt
    243 (0.5%)     1 (0.1%)  <[u8] as rustc_serialize::base64::FromBase64>::from_base64
    240 (0.5%)     4 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    240 (0.5%)     3 (0.2%)  alloc::collections::btree::node::slice_insert
    239 (0.5%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_number
    231 (0.4%)     1 (0.1%)  <str as rustc_serialize::hex::FromHex>::from_hex
    229 (0.4%)    20 (1.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    228 (0.4%)     5 (0.3%)  core::option::Option<T>::map
    225 (0.4%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    221 (0.4%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_object
    216 (0.4%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    214 (0.4%)     9 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    212 (0.4%)     4 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    212 (0.4%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,alloc::vec::into_iter::IntoIter<T>>>::from_iter
    203 (0.4%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
    202 (0.4%)    19 (1.2%)  core::mem::manually_drop::ManuallyDrop<T>::new
    197 (0.4%)     7 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    196 (0.4%)     3 (0.2%)  alloc::vec::Vec<T,A>::push
    193 (0.4%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    192 (0.4%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert
    192 (0.4%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert
    189 (0.4%)     4 (0.2%)  core::slice::iter::Iter<T>::new
    185 (0.4%)    11 (0.7%)  core::str::<impl str>::parse
    182 (0.4%)     2 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    181 (0.3%)     4 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    180 (0.3%)     4 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    179 (0.3%)     3 (0.2%)  core::result::Result<T,E>::map_err
    179 (0.3%)     1 (0.1%)  <rustc_serialize::json::Json as core::fmt::Debug>::fmt
    177 (0.3%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_map_elt_key
    176 (0.3%)    10 (0.6%)  core::option::Option<T>::unwrap
    174 (0.3%)     6 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    173 (0.3%)     1 (0.1%)  <rustc_serialize::json::JsonEvent as core::fmt::Debug>::fmt
    168 (0.3%)     3 (0.2%)  core::alloc::layout::Layout::array
    166 (0.3%)     2 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
    165 (0.3%)     1 (0.1%)  rustc_serialize::json::Json::from_reader
    163 (0.3%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_str
    159 (0.3%)     1 (0.1%)  alloc::collections::btree::map::entry::VacantEntry<K,V>::insert
    159 (0.3%)     1 (0.1%)  rustc_serialize::json::Parser<T>::decode_hex_escape
    157 (0.3%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_char
    156 (0.3%)     4 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::right_kv
    154 (0.3%)     2 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    153 (0.3%)     9 (0.6%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::new_edge
    153 (0.3%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_bool
    152 (0.3%)    15 (0.9%)  core::ptr::write
    152 (0.3%)     1 (0.1%)  alloc::raw_vec::finish_grow
    150 (0.3%)     5 (0.3%)  rustc_serialize::json::Parser<T>::error
    150 (0.3%)     2 (0.1%)  alloc::boxed::Box<T,A>::try_new_uninit_in
    149 (0.3%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_seq_elt
    146 (0.3%)     1 (0.1%)  <rustc_serialize::json::DecoderError as core::fmt::Debug>::fmt
    145 (0.3%)     5 (0.3%)  core::ptr::metadata::from_raw_parts
    144 (0.3%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::KV>::split
    144 (0.3%)     1 (0.1%)  core::num::dec2flt::number::Number::try_fast_path
    141 (0.3%)     9 (0.6%)  core::slice::<impl [T]>::get_unchecked_mut
    138 (0.3%)     3 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Immut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::into_kv
    137 (0.3%)    20 (1.2%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    137 (0.3%)     1 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_nil
    137 (0.3%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert_fit
    135 (0.3%)     3 (0.2%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend::{{closure}}
    135 (0.3%)     3 (0.2%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>::force
    133 (0.3%)     8 (0.5%)  core::option::Option<T>::is_some
    133 (0.3%)     2 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    133 (0.3%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_f64
    133 (0.3%)     1 (0.1%)  <rustc_serialize::json::Json as core::clone::Clone>::clone
    130 (0.3%)     1 (0.1%)  rustc_serialize::json::Builder<T>::build
    130 (0.3%)     1 (0.1%)  rustc_serialize::json::Builder<T>::build_array
    129 (0.2%)     3 (0.2%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::descend
    128 (0.2%)     2 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::first_leaf_edge
    127 (0.2%)     3 (0.2%)  alloc::vec::Vec<T,A>::pop
    126 (0.2%)     3 (0.2%)  alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>::ascend
    125 (0.2%)     2 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::search_node
    124 (0.2%)     4 (0.2%)  <T as alloc::string::ToString>::to_string
    123 (0.2%)     1 (0.1%)  rustc_serialize::collection_impls::<impl rustc_serialize::serialize::Encodable for alloc::collections::btree::map::BTreeMap<K,V>>::encode::{{closure}}
    122 (0.2%)     3 (0.2%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::edge_area_mut
    122 (0.2%)     1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    120 (0.2%)     4 (0.2%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    120 (0.2%)     1 (0.1%)  alloc::collections::btree::map::BTreeMap<K,V>::entry
    119 (0.2%)     7 (0.4%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::new_kv
    117 (0.2%)     2 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::correct_childrens_parent_links
    117 (0.2%)     1 (0.1%)  <rustc_serialize::json::ParserError as core::cmp::PartialEq>::eq
    116 (0.2%)     4 (0.2%)  alloc::boxed::Box<T,A>::from_raw_in
    116 (0.2%)     2 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
    115 (0.2%)    24 (1.5%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    113 (0.2%)    11 (0.7%)  core::ptr::unique::Unique<T>::cast
    113 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_map_elt_val
    113 (0.2%)     1 (0.1%)  core::str::validations::next_code_point
    112 (0.2%)     3 (0.2%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    112 (0.2%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::push
    111 (0.2%)     3 (0.2%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    111 (0.2%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    111 (0.2%)     1 (0.1%)  rustc_serialize::json::Stack::top
    110 (0.2%)     1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    109 (0.2%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_u64
    108 (0.2%)     4 (0.2%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    108 (0.2%)     2 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
    106 (0.2%)     2 (0.1%)  alloc::boxed::Box<T,A>::new_uninit_in
    106 (0.2%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_exponent
    106 (0.2%)     1 (0.1%)  rustc_serialize::json::error_str
    105 (0.2%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_value
    104 (0.2%)     6 (0.4%)  alloc::boxed::Box<T,A>::leak
    104 (0.2%)     3 (0.2%)  core::result::Result<T,E>::ok
    104 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::next_kv
    103 (0.2%)     1 (0.1%)  <rustc_serialize::json::ParserState as core::cmp::PartialEq>::eq
    102 (0.2%)     2 (0.1%)  alloc::collections::btree::navigate::full_range
    102 (0.2%)     1 (0.1%)  <[u8] as rustc_serialize::hex::ToHex>::to_hex
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_i16
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_i32
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_i64
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_i8
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_isize
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_u16
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_u32
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_u64
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_u8
    101 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_usize
    101 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    101 (0.2%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_array_comma_or_end
    100 (0.2%)     4 (0.2%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
     98 (0.2%)    15 (0.9%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     98 (0.2%)     2 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     97 (0.2%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.2%)     8 (0.5%)  core::ptr::const_ptr::<impl *const T>::offset
     96 (0.2%)     8 (0.5%)  core::ptr::mut_ptr::<impl *mut T>::offset
     96 (0.2%)     1 (0.1%)  <rustc_serialize::json::StackElement as core::cmp::PartialEq>::ne
     95 (0.2%)     2 (0.1%)  core::option::Option<T>::unwrap_unchecked
     95 (0.2%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_array
     94 (0.2%)    21 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     94 (0.2%)     2 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     93 (0.2%)     1 (0.1%)  rustc_serialize::json::Json::search
     93 (0.2%)     1 (0.1%)  rustc_serialize::json::spaces
     91 (0.2%)     6 (0.4%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
     91 (0.2%)     1 (0.1%)  rustc_serialize::json::Stack::ends_with
     91 (0.2%)     1 (0.1%)  std::io::Write::write_fmt
     90 (0.2%)    10 (0.6%)  core::ptr::non_null::NonNull<T>::new_unchecked
     90 (0.2%)     6 (0.4%)  core::ptr::slice_from_raw_parts_mut
     90 (0.2%)     3 (0.2%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
     90 (0.2%)     1 (0.1%)  <rustc_serialize::json::ParserError as core::fmt::Debug>::fmt
     90 (0.2%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse
     89 (0.2%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>::insert_fit
     88 (0.2%)     7 (0.4%)  core::ptr::non_null::NonNull<T>::cast
     88 (0.2%)     1 (0.1%)  <alloc::vec::Vec<T> as rustc_serialize::serialize::Encodable>::encode::{{closure}}
     86 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     85 (0.2%)     1 (0.1%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
     85 (0.2%)     1 (0.1%)  <rustc_serialize::json::ParserState as core::fmt::Debug>::fmt
     82 (0.2%)     6 (0.4%)  core::intrinsics::copy_nonoverlapping
     82 (0.2%)     1 (0.1%)  <std::io::Write::write_fmt::Adapter<T> as core::fmt::Write>::write_str
     82 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::fold
     81 (0.2%)     1 (0.1%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_bool
     81 (0.2%)     1 (0.1%)  alloc::collections::btree::map::BTreeMap<K,V>::insert
     80 (0.2%)     5 (0.3%)  core::slice::<impl [T]>::len
     80 (0.2%)     1 (0.1%)  <rustc_serialize::json::Json as rustc_serialize::serialize::Encodable>::encode
     80 (0.2%)     1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::KV>::split
     80 (0.2%)     1 (0.1%)  rustc_serialize::json::Stack::get
     79 (0.2%)     1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
     79 (0.2%)     1 (0.1%)  rustc_serialize::json::Parser<T>::parse_ident
     78 (0.2%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     78 (0.2%)     1 (0.1%)  alloc::collections::btree::map::BTreeMap<K,V>::get
     77 (0.1%)     8 (0.5%)  core::ptr::unique::Unique<T>::as_ref
     77 (0.1%)     1 (0.1%)  <rustc_serialize::json::InternalStackElement as core::fmt::Debug>::fmt
     77 (0.1%)     1 (0.1%)  core::ptr::drop_in_place<[rustc_serialize::json::Json]>
     77 (0.1%)     1 (0.1%)  rustc_serialize::json::Stack::push_key
     76 (0.1%)     2 (0.1%)  alloc::vec::Vec<T,A>::append_elements
     76 (0.1%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Owned,K,V,alloc::collections::btree::node::marker::Internal>::new_internal
     76 (0.1%)     1 (0.1%)  rustc_serialize::json::Json::find_path
     76 (0.1%)     1 (0.1%)  std::io::impls::<impl std::io::Write for &mut [u8]>::write_all
     75 (0.1%)     5 (0.3%)  core::ptr::slice_from_raw_parts
     75 (0.1%)     5 (0.3%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
     75 (0.1%)     3 (0.2%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
     75 (0.1%)     1 (0.1%)  core::fmt::builders::DebugMap::entries
     74 (0.1%)     1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     74 (0.1%)     1 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Leaf>::push
     73 (0.1%)     5 (0.3%)  core::intrinsics::copy
