  Lines         Copies      Function name
  -----         ------      -------------
  21092 (100%)  832 (100%)  (TOTAL)
    720 (3.4%)    2 (0.2%)  core::str::pattern::TwoWaySearcher::next
    686 (3.3%)    1 (0.1%)  rustc_version::version_meta_for
    629 (3.0%)   13 (1.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    333 (1.6%)    5 (0.6%)  alloc::alloc::box_free
    300 (1.4%)    6 (0.7%)  core::mem::replace
    292 (1.4%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    288 (1.4%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    267 (1.3%)    5 (0.6%)  core::option::Option<T>::map
    253 (1.2%)   11 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    242 (1.1%)   12 (1.4%)  core::ptr::read
    225 (1.1%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    209 (1.0%)    1 (0.1%)  <rustc_version::LlvmVersion as core::str::traits::FromStr>::from_str
    195 (0.9%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    192 (0.9%)    1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    185 (0.9%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    174 (0.8%)    1 (0.1%)  <rustc_version::Error as core::fmt::Debug>::fmt
    173 (0.8%)    1 (0.1%)  rustc_version::VersionMeta::for_command
    172 (0.8%)    1 (0.1%)  core::hash::sip::u8to64_le
    166 (0.8%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    159 (0.8%)    1 (0.1%)  <rustc_version::Error as core::fmt::Display>::fmt
    155 (0.7%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    148 (0.7%)   14 (1.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    148 (0.7%)    4 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    145 (0.7%)    5 (0.6%)  core::fmt::ArgumentV1::new
    145 (0.7%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    137 (0.6%)    3 (0.4%)  core::option::Option<T>::ok_or
    137 (0.6%)    1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    136 (0.6%)    6 (0.7%)  core::ops::function::FnOnce::call_once
    132 (0.6%)    1 (0.1%)  core::ptr::drop_in_place<std::sys::unix::process::process_common::Command>
    130 (0.6%)    1 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
    127 (0.6%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    124 (0.6%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    121 (0.6%)    2 (0.2%)  hashbrown::raw::RawTable<T,A>::find
    117 (0.6%)    1 (0.1%)  <rustc_version::LlvmVersion as core::str::traits::FromStr>::from_str::{{closure}}
    113 (0.5%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place::{{closure}}
    113 (0.5%)    1 (0.1%)  rustc_version::version
    111 (0.5%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    110 (0.5%)   11 (1.3%)  <&T as core::fmt::Debug>::fmt
    110 (0.5%)    1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    106 (0.5%)    2 (0.2%)  core::result::Result<T,E>::map_err
    105 (0.5%)    3 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    101 (0.5%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    100 (0.5%)    9 (1.1%)  core::ptr::unique::Unique<T>::cast
    100 (0.5%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
    100 (0.5%)    1 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
     98 (0.5%)    2 (0.2%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     97 (0.5%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     94 (0.4%)    1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
     94 (0.4%)    1 (0.1%)  <core::str::LinesAnyMap as core::ops::function::Fn<(&str,)>>::call
     93 (0.4%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
     92 (0.4%)    1 (0.1%)  <rustc_version::VersionMeta as core::fmt::Debug>::fmt
     92 (0.4%)    1 (0.1%)  rustc_version::expect_key_or_unknown
     91 (0.4%)    4 (0.5%)  core::option::Option<T>::unwrap
     89 (0.4%)   14 (1.7%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     89 (0.4%)    1 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     89 (0.4%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
     88 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.4%)    9 (1.1%)  core::ptr::write
     87 (0.4%)    3 (0.4%)  core::ptr::metadata::from_raw_parts_mut
     87 (0.4%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::reserve_rehash_inner
     86 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     83 (0.4%)    2 (0.2%)  core::hash::BuildHasher::hash_one
     83 (0.4%)    1 (0.1%)  alloc::collections::btree::mem::replace
     83 (0.4%)    1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     83 (0.4%)    1 (0.1%)  core::option::Option<T>::filter
     81 (0.4%)    1 (0.1%)  core::core_arch::simd::i8x16::new
     79 (0.4%)    1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
     77 (0.4%)   16 (1.9%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::boxed::Box<dyn core::ops::function::FnMut<()>+Output = core::result::Result<(),std::io::error::Error>+core::marker::Send+core::marker::Sync>]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[std::ffi::c_str::CString]>
     75 (0.4%)    1 (0.1%)  <rustc_version::LlvmVersionParseError as core::fmt::Display>::fmt
     75 (0.4%)    1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
     74 (0.4%)    1 (0.1%)  <rustc_version::Error as std::error::Error>::source
     73 (0.3%)    2 (0.2%)  core::cell::Cell<T>::replace
     73 (0.3%)    1 (0.1%)  std::thread::local::LocalKey<T>::try_with
     70 (0.3%)    1 (0.1%)  core::cmp::max_by
     70 (0.3%)    1 (0.1%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     67 (0.3%)    1 (0.1%)  <alloc::collections::btree::map::BTreeMap<K,V> as core::iter::traits::collect::IntoIterator>::into_iter
     66 (0.3%)    2 (0.2%)  hashbrown::raw::RawTable<T,A>::find::{{closure}}
     64 (0.3%)    1 (0.1%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     64 (0.3%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::first_leaf_edge
     64 (0.3%)    1 (0.1%)  hashbrown::raw::capacity_to_buckets
     63 (0.3%)    5 (0.6%)  core::ptr::unique::Unique<T>::as_ref
     63 (0.3%)    1 (0.1%)  core::iter::adapters::step_by::StepBy<I>::new
     62 (0.3%)   15 (1.8%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
     62 (0.3%)    8 (1.0%)  core::ptr::unique::Unique<T>::as_ptr
     62 (0.3%)    2 (0.2%)  core::ptr::swap_nonoverlapping
     62 (0.3%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::free_buckets
     61 (0.3%)    1 (0.1%)  <rustc_version::LlvmVersionParseError as core::fmt::Debug>::fmt
     60 (0.3%)    4 (0.5%)  alloc::vec::Vec<T,A>::as_mut_ptr
     59 (0.3%)    1 (0.1%)  <alloc::collections::btree::map::IntoIter<K,V> as core::ops::drop::Drop>::drop
     59 (0.3%)    1 (0.1%)  core::fmt::Arguments::new_v1
     58 (0.3%)    1 (0.1%)  std::thread::local::fast::Key<T>::get
     57 (0.3%)    1 (0.1%)  core::str::<impl str>::split
     57 (0.3%)    1 (0.1%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::Range<usize>>::get
     57 (0.3%)    1 (0.1%)  std::thread::local::fast::Key<T>::try_initialize
     56 (0.3%)    1 (0.1%)  core::alloc::layout::Layout::array
     56 (0.3%)    1 (0.1%)  core::core_arch::x86::sse2::_mm_set_epi8
     56 (0.3%)    1 (0.1%)  core::result::Result<T,E>::map
     55 (0.3%)    1 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
     54 (0.3%)    4 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     54 (0.3%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,alloc::collections::btree::node::marker::KV>>::next_leaf_edge
