  Lines        Copies      Function name
  -----        ------      -------------
  5804 (100%)  200 (100%)  (TOTAL)
   908 (15.6%)   1 (0.5%)  alloc::str::join_generic_copy
   163 (2.8%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   148 (2.5%)    1 (0.5%)  nom::combinator::peek::{{closure}}
   145 (2.5%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   144 (2.5%)    1 (0.5%)  nom::combinator::map::{{closure}}
   105 (1.8%)    1 (0.5%)  core::iter::traits::iterator::Iterator::try_fold
    97 (1.7%)    1 (0.5%)  alloc::alloc::Global::alloc_impl
    96 (1.7%)    1 (0.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    87 (1.5%)    3 (1.5%)  core::fmt::ArgumentV1::new
    83 (1.4%)    1 (0.5%)  <rusticata_macros::debug::HexSlice as core::fmt::Debug>::fmt
    77 (1.3%)    1 (0.5%)  core::ptr::drop_in_place<[alloc::string::String]>
    77 (1.3%)    1 (0.5%)  rusticata_macros::combinator::bytes_to_u64
    77 (1.3%)    1 (0.5%)  rusticata_macros::macros::bytes_to_u64
    73 (1.3%)    1 (0.5%)  core::iter::traits::iterator::Iterator::fold
    72 (1.2%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    66 (1.1%)    1 (0.5%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    63 (1.1%)    3 (1.5%)  core::iter::adapters::map::Map<I,F>::new
    63 (1.1%)    1 (0.5%)  core::iter::adapters::map::map_try_fold::{{closure}}
    61 (1.1%)    2 (1.0%)  alloc::str::join_generic_copy::{{closure}}
    59 (1.0%)    1 (0.5%)  core::fmt::Arguments::new_v1
    58 (1.0%)    2 (1.0%)  core::ptr::metadata::from_raw_parts
    58 (1.0%)    1 (0.5%)  core::slice::iter::Iter<T>::make_slice
    56 (1.0%)    1 (0.5%)  core::alloc::layout::Layout::array
    55 (0.9%)    1 (0.5%)  core::iter::adapters::map::map_fold::{{closure}}
    54 (0.9%)    1 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    53 (0.9%)    1 (0.5%)  nom::combinator::rest
    52 (0.9%)    1 (0.5%)  core::option::Option<T>::map
    51 (0.9%)    1 (0.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    50 (0.9%)    1 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    50 (0.9%)    1 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
    49 (0.8%)    1 (0.5%)  core::option::Option<T>::and_then
    48 (0.8%)    1 (0.5%)  core::slice::iter::Iter<T>::new
    46 (0.8%)    2 (1.0%)  <F as nom::internal::Parser<I,O,E>>::parse
    46 (0.8%)    1 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    46 (0.8%)    1 (0.5%)  core::fmt::Arguments::new_v1_formatted
    46 (0.8%)    1 (0.5%)  rusticata_macros::debug::dbg_dmp_rest::{{closure}}
    45 (0.8%)    3 (1.5%)  core::iter::traits::iterator::Iterator::map
    45 (0.8%)    1 (0.5%)  core::slice::<impl [T]>::split_at_mut_unchecked
    43 (0.7%)    1 (0.5%)  core::num::<impl usize>::checked_add
    43 (0.7%)    1 (0.5%)  core::num::<impl usize>::checked_mul
    43 (0.7%)    1 (0.5%)  core::num::<impl usize>::overflowing_add
