  Lines         Copies      Function name
  -----         ------      -------------
  20216 (100%)  774 (100%)  (TOTAL)
    720 (3.6%)    2 (0.3%)  core::str::pattern::TwoWaySearcher::next
    450 (2.2%)    1 (0.1%)  rusty_fork::cmdline::strip_cmdline
    428 (2.1%)    1 (0.1%)  rusty_fork::fork::fork_impl
    394 (1.9%)    8 (1.0%)  core::option::Option<T>::map
    360 (1.8%)    5 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    280 (1.4%)    4 (0.5%)  alloc::alloc::box_free
    261 (1.3%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    229 (1.1%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    225 (1.1%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    208 (1.0%)   10 (1.3%)  core::ptr::read
    205 (1.0%)    4 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    203 (1.0%)    7 (0.9%)  core::fmt::ArgumentV1::new
    185 (0.9%)    5 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    180 (0.9%)    1 (0.1%)  std::io::read_until
    175 (0.9%)    6 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    174 (0.9%)    6 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    168 (0.8%)    1 (0.1%)  rusty_fork::cmdline::look_up_flag_or_err
    163 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    155 (0.8%)    3 (0.4%)  core::mem::replace
    151 (0.7%)    3 (0.4%)  core::result::Result<T,E>::expect
    149 (0.7%)    2 (0.3%)  std::process::Command::args
    146 (0.7%)    3 (0.4%)  <rusty_fork::error::Error as core::fmt::Display>::fmt::{{closure}}
    144 (0.7%)    1 (0.1%)  alloc::str::<impl str>::replace
    133 (0.7%)    2 (0.3%)  core::result::Result<T,E>::map
    132 (0.7%)    1 (0.1%)  core::ptr::drop_in_place<std::sys::unix::process::process_common::Command>
    125 (0.6%)    2 (0.3%)  alloc::vec::Vec<T,A>::push
    124 (0.6%)   11 (1.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    117 (0.6%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    117 (0.6%)    1 (0.1%)  <rusty_fork::fork::fork_impl::KillOnDrop as core::ops::drop::Drop>::drop
    116 (0.6%)    2 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    113 (0.6%)    1 (0.1%)  core::str::validations::next_code_point
    111 (0.5%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    109 (0.5%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next
    108 (0.5%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    107 (0.5%)    1 (0.1%)  rusty_fork::child_wrapper::ChildWrapper::wait_timeout
    101 (0.5%)    9 (1.2%)  core::ptr::unique::Unique<T>::cast
    101 (0.5%)    1 (0.1%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    101 (0.5%)    1 (0.1%)  rusty_fork::child_wrapper::ChildWrapper::try_wait
     98 (0.5%)    2 (0.3%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     98 (0.5%)    1 (0.1%)  <rusty_fork::error::Error as core::fmt::Debug>::fmt
     98 (0.5%)    1 (0.1%)  <rusty_fork::error::Error as core::fmt::Display>::fmt
     97 (0.5%)    2 (0.3%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     97 (0.5%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.5%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     94 (0.5%)    2 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     93 (0.5%)    9 (1.2%)  <&T as core::fmt::Debug>::fmt
     93 (0.5%)    3 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     92 (0.5%)    8 (1.0%)  core::mem::manually_drop::ManuallyDrop<T>::new
     92 (0.5%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     92 (0.5%)    1 (0.1%)  <std::io::buffered::bufreader::BufReader<R> as std::io::BufRead>::fill_buf
     92 (0.5%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     90 (0.4%)    6 (0.8%)  core::ptr::slice_from_raw_parts_mut
     88 (0.4%)   13 (1.7%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     88 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.4%)    1 (0.1%)  <rusty_fork::cmdline::FlagType as core::fmt::Debug>::fmt
     86 (0.4%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     84 (0.4%)    1 (0.1%)  rusty_fork::child_wrapper::ChildWrapper::wait
     83 (0.4%)    1 (0.1%)  alloc::collections::btree::mem::replace
     83 (0.4%)    1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<BorrowType,K,V>::init_front
     82 (0.4%)    1 (0.1%)  core::str::<impl str>::trim_start_matches
     79 (0.4%)    1 (0.1%)  alloc::collections::btree::navigate::LazyLeafRange<alloc::collections::btree::node::marker::Dying,K,V>::take_front
     78 (0.4%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     78 (0.4%)    1 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::boxed::Box<dyn core::ops::function::FnMut<()>+Output = core::result::Result<(),std::io::error::Error>+core::marker::Send+core::marker::Sync>]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::string::String]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[std::ffi::c_str::CString]>
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[std::ffi::os_str::OsString]>
     75 (0.4%)    1 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>,Type>::force
     74 (0.4%)    1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     73 (0.4%)    1 (0.1%)  rusty_fork::fork_test::wait_timeout
     72 (0.4%)    6 (0.8%)  core::ptr::const_ptr::<impl *const T>::offset
     72 (0.4%)    6 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::offset
     70 (0.3%)    4 (0.5%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
