  Lines         Copies       Function name
  -----         ------       -------------
  36848 (100%)  1312 (100%)  (TOTAL)
    873 (2.4%)    15 (1.1%)  alloc::alloc::box_free
    780 (2.1%)    13 (1.0%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    682 (1.9%)     2 (0.2%)  std::sync::mpsc::stream::Packet<T>::abort_selection
    656 (1.8%)    11 (0.8%)  core::result::Result<T,E>::map_err
    631 (1.7%)    13 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    600 (1.6%)    12 (0.9%)  core::mem::replace
    598 (1.6%)     2 (0.2%)  std::sync::mpsc::stream::Packet<T>::try_recv
    581 (1.6%)     2 (0.2%)  std::sync::mpsc::shared::Packet<T>::try_recv
    572 (1.6%)    13 (1.0%)  alloc::sync::Weak<T>::inner
    555 (1.5%)     2 (0.2%)  std::sync::mpsc::Receiver<T>::recv
    527 (1.4%)     2 (0.2%)  std::sync::mpsc::stream::Packet<T>::recv
    526 (1.4%)     2 (0.2%)  std::sync::mpsc::sync::Packet<T>::drop_port
    504 (1.4%)     2 (0.2%)  std::sync::mpsc::sync::Packet<T>::wakeup_senders
    445 (1.2%)     2 (0.2%)  std::sync::mpsc::sync::Packet<T>::recv
    388 (1.1%)     2 (0.2%)  core::sync::atomic::atomic_compare_exchange
    385 (1.0%)    19 (1.4%)  core::ptr::read
    380 (1.0%)     5 (0.4%)  alloc::sync::Arc<T>::new
    377 (1.0%)    13 (1.0%)  core::alloc::layout::Layout::for_value_raw
    358 (1.0%)     2 (0.2%)  std::sync::mpsc::shared::Packet<T>::abort_selection
    344 (0.9%)    12 (0.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    344 (0.9%)     4 (0.3%)  std::sync::poison::map_result
    339 (0.9%)     2 (0.2%)  std::sync::mpsc::shared::Packet<T>::recv
    337 (0.9%)     2 (0.2%)  std::sync::mpsc::oneshot::Packet<T>::recv
    332 (0.9%)     1 (0.1%)  std::sync::mpsc::Sender<T>::send
    332 (0.9%)     1 (0.1%)  std::thread::Builder::spawn_unchecked_
    326 (0.9%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    325 (0.9%)     2 (0.2%)  std::sync::mpsc::oneshot::Packet<T>::try_recv
    315 (0.9%)     2 (0.2%)  std::sync::mpsc::spsc_queue::Queue<T,ProducerAddition,ConsumerAddition>::pop
    315 (0.9%)     1 (0.1%)  scoped_threadpool::Pool::new
    313 (0.8%)     6 (0.5%)  core::result::Result<T,E>::unwrap
    310 (0.8%)     2 (0.2%)  std::sync::mpsc::sync::wait_timeout_receiver
    299 (0.8%)    13 (1.0%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    294 (0.8%)     2 (0.2%)  std::sync::mpsc::oneshot::Packet<T>::abort_selection
    290 (0.8%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    288 (0.8%)     4 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    284 (0.8%)     2 (0.2%)  std::sync::mpsc::stream::Packet<T>::decrement
    276 (0.7%)     7 (0.5%)  core::sync::atomic::atomic_load
    274 (0.7%)     2 (0.2%)  std::sync::mpsc::shared::Packet<T>::decrement
    255 (0.7%)     5 (0.4%)  core::ptr::swap_nonoverlapping_one
    238 (0.6%)     2 (0.2%)  std::sync::mpsc::sync::wait
    224 (0.6%)     2 (0.2%)  <std::sync::mpsc::shared::Packet<T> as core::ops::drop::Drop>::drop
    222 (0.6%)     6 (0.5%)  core::sync::atomic::atomic_store
    216 (0.6%)     2 (0.2%)  std::sync::mpsc::sync::abort_selection
    206 (0.6%)    19 (1.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    200 (0.5%)     1 (0.1%)  std::sync::mpsc::sync::Packet<T>::send
    193 (0.5%)    18 (1.4%)  core::ptr::write
    193 (0.5%)     2 (0.2%)  std::sync::mpsc::stream::Packet<T>::drop_port
    193 (0.5%)     1 (0.1%)  alloc::alloc::Global::grow_impl
    192 (0.5%)     2 (0.2%)  <std::sync::mpsc::sync::Packet<T> as core::ops::drop::Drop>::drop
    190 (0.5%)     2 (0.2%)  std::sync::mpsc::mpsc_queue::Queue<T>::pop
    189 (0.5%)    19 (1.4%)  core::ptr::unique::Unique<T>::cast
    184 (0.5%)     2 (0.2%)  std::sync::mpsc::shared::Packet<T>::drop_port
    182 (0.5%)    13 (1.0%)  alloc::sync::Arc<T>::drop_slow
    179 (0.5%)     2 (0.2%)  std::thread::Builder::spawn_unchecked_::{{closure}}
    171 (0.5%)     3 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    169 (0.5%)     1 (0.1%)  std::sync::mpsc::shared::Packet<T>::send
    164 (0.4%)     2 (0.2%)  <std::sync::mpsc::stream::Packet<T> as core::ops::drop::Drop>::drop
    160 (0.4%)     5 (0.4%)  core::ptr::swap_nonoverlapping
    154 (0.4%)     7 (0.5%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
    152 (0.4%)     1 (0.1%)  alloc::raw_vec::finish_grow
    148 (0.4%)     4 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    145 (0.4%)    15 (1.1%)  core::ptr::non_null::NonNull<T>::cast
    144 (0.4%)     1 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::send
    143 (0.4%)     1 (0.1%)  scoped_threadpool::Scope::join_all
    140 (0.4%)    21 (1.6%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    140 (0.4%)     9 (0.7%)  core::ops::function::FnOnce::call_once
    139 (0.4%)    12 (0.9%)  core::cell::UnsafeCell<T>::new
    136 (0.4%)     1 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::upgrade
    136 (0.4%)     1 (0.1%)  std::sync::mpsc::sync::Packet<T>::acquire_send_slot
    135 (0.4%)     1 (0.1%)  scoped_threadpool::Pool::new::{{closure}}
    133 (0.4%)    15 (1.1%)  core::ptr::unique::Unique<T>::as_ref
    133 (0.4%)     2 (0.2%)  std::sync::mutex::Mutex<T>::new
    130 (0.4%)    13 (1.0%)  alloc::rc::is_dangling
    127 (0.3%)     3 (0.2%)  core::option::Option<T>::ok_or
    127 (0.3%)     1 (0.1%)  std::sync::mpsc::sync::Packet<T>::drop_chan
    126 (0.3%)     3 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    126 (0.3%)     3 (0.2%)  core::sync::atomic::atomic_swap
    122 (0.3%)     8 (0.6%)  alloc::boxed::Box<T,A>::leak
    122 (0.3%)     1 (0.1%)  std::sync::mpsc::spsc_queue::Queue<T,ProducerAddition,ConsumerAddition>::with_additions
    121 (0.3%)     1 (0.1%)  std::sync::mpsc::stream::Packet<T>::do_send
    119 (0.3%)     1 (0.1%)  std::sync::mpsc::sync::Packet<T>::new
    116 (0.3%)    19 (1.4%)  core::ptr::unique::Unique<T>::as_ptr
    116 (0.3%)     7 (0.5%)  core::option::Option<T>::is_some
    116 (0.3%)     4 (0.3%)  alloc::boxed::Box<T,A>::from_raw_in
    116 (0.3%)     4 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    112 (0.3%)     2 (0.2%)  core::alloc::layout::Layout::array
    110 (0.3%)     1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    109 (0.3%)    21 (1.6%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    109 (0.3%)     1 (0.1%)  std::sync::mpsc::stream::Packet<T>::send
    105 (0.3%)     2 (0.2%)  std::sync::mpsc::sync::Buffer<T>::dequeue
    104 (0.3%)    16 (1.2%)  core::mem::drop
    104 (0.3%)    13 (1.0%)  alloc::sync::Arc<T>::get_mut_unchecked
    104 (0.3%)    13 (1.0%)  core::mem::align_of_val_raw
    104 (0.3%)    13 (1.0%)  core::mem::size_of_val_raw
    104 (0.3%)     1 (0.1%)  std::sync::mpsc::spsc_queue::Queue<T,ProducerAddition,ConsumerAddition>::alloc
    102 (0.3%)     2 (0.2%)  <std::sync::mpsc::Receiver<T> as core::ops::drop::Drop>::drop
    102 (0.3%)     2 (0.2%)  core::result::Result<T,E>::expect
    100 (0.3%)     4 (0.3%)  std::sync::mutex::MutexGuard<T>::new::{{closure}}
     98 (0.3%)     5 (0.4%)  std::sync::poison::PoisonError<T>::new
     97 (0.3%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.3%)     3 (0.2%)  core::ptr::replace
     96 (0.3%)     1 (0.1%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     91 (0.2%)    13 (1.0%)  core::ptr::non_null::NonNull<T>::as_ref
     90 (0.2%)    10 (0.8%)  core::mem::manually_drop::ManuallyDrop<T>::new
     90 (0.2%)     2 (0.2%)  core::result::Result<T,E>::unwrap_or_else
     90 (0.2%)     1 (0.1%)  std::sync::mpsc::shared::Packet<T>::drop_chan
