  Lines        Copies      Function name
  -----        ------      -------------
  6469 (100%)  268 (100%)  (TOTAL)
   292 (4.5%)    1 (0.4%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
   192 (3.0%)    1 (0.4%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
   185 (2.9%)    1 (0.4%)  secp256k1::from_hex
   172 (2.7%)    1 (0.4%)  core::hash::sip::u8to64_le
   122 (1.9%)    8 (3.0%)  core::array::<impl core::ops::index::Index<I> for [T; N]>::index
   120 (1.9%)    3 (1.1%)  secp256k1::context::<impl secp256k1::Secp256k1<C>>::preallocated_gen_new
   116 (1.8%)    1 (0.4%)  <secp256k1::Message as core::fmt::Debug>::fmt
   116 (1.8%)    1 (0.4%)  <secp256k1::schnorr::Signature as core::fmt::Debug>::fmt
   114 (1.8%)    3 (1.1%)  secp256k1::context::alloc_only::<impl secp256k1::Secp256k1<C>>::gen_new
   100 (1.5%)    1 (0.4%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
    93 (1.4%)    3 (1.1%)  secp256k1::Secp256k1<C>::preallocate_size_gen
    93 (1.4%)    1 (0.4%)  <secp256k1::ecdh::SharedSecret as core::fmt::Debug>::fmt
    87 (1.3%)    1 (0.4%)  <secp256k1::ecdsa::Signature as core::fmt::Display>::fmt
    83 (1.3%)    1 (0.4%)  <secp256k1::key::PublicKey as core::fmt::LowerHex>::fmt
    83 (1.3%)    1 (0.4%)  <secp256k1::key::XOnlyPublicKey as core::fmt::LowerHex>::fmt
    80 (1.2%)    1 (0.4%)  <secp256k1::schnorr::Signature as core::fmt::LowerHex>::fmt
    79 (1.2%)    1 (0.4%)  secp256k1::key::PublicKey::serialize
    79 (1.2%)    1 (0.4%)  secp256k1::key::PublicKey::serialize_uncompressed
    78 (1.2%)    1 (0.4%)  secp256k1::key::PublicKey::combine_keys
    76 (1.2%)    1 (0.4%)  <secp256k1::secret::DisplaySecret as core::fmt::Display>::fmt
    70 (1.1%)    1 (0.4%)  core::cmp::min_by
    64 (1.0%)    1 (0.4%)  secp256k1::key::KeyPair::from_seckey_slice
    61 (0.9%)    1 (0.4%)  secp256k1::Error::as_str
    60 (0.9%)    1 (0.4%)  secp256k1::key::XOnlyPublicKey::from_slice
    59 (0.9%)    1 (0.4%)  core::fmt::Arguments::new_v1
    58 (0.9%)    2 (0.7%)  core::fmt::ArgumentV1::new
    55 (0.9%)    1 (0.4%)  secp256k1::key::SecretKey::from_slice
    54 (0.8%)    3 (1.1%)  core::mem::manually_drop::ManuallyDrop<T>::new
    54 (0.8%)    1 (0.4%)  <secp256k1::Error as core::fmt::Debug>::fmt
    54 (0.8%)    1 (0.4%)  secp256k1::key::SecretKey::from_keypair
    51 (0.8%)    1 (0.4%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::finish
    51 (0.8%)    1 (0.4%)  <secp256k1::key::XOnlyPublicKey as core::convert::From<secp256k1::key::PublicKey>>::from
    50 (0.8%)    1 (0.4%)  <secp256k1::key::KeyPair as core::fmt::Debug>::fmt
    50 (0.8%)    1 (0.4%)  <secp256k1::key::SecretKey as core::fmt::Debug>::fmt
    50 (0.8%)    1 (0.4%)  secp256k1::ecdsa::Signature::from_der
    50 (0.8%)    1 (0.4%)  secp256k1::ecdsa::Signature::from_der_lax
    50 (0.8%)    1 (0.4%)  secp256k1::key::PublicKey::from_slice
    49 (0.8%)    1 (0.4%)  <secp256k1::key::PublicKey as core::str::traits::FromStr>::from_str
    49 (0.8%)    1 (0.4%)  core::alloc::layout::Layout::from_size_align
    49 (0.8%)    1 (0.4%)  secp256k1::ecdsa::Signature::from_compact
    49 (0.8%)    1 (0.4%)  secp256k1::key::KeyPair::from_seckey_str
    47 (0.7%)    1 (0.4%)  <secp256k1::ecdsa::Signature as core::str::traits::FromStr>::from_str
    46 (0.7%)    1 (0.4%)  <secp256k1::key::XOnlyPublicKey as core::str::traits::FromStr>::from_str
    46 (0.7%)    1 (0.4%)  <secp256k1::schnorr::Signature as core::str::traits::FromStr>::from_str
    46 (0.7%)    1 (0.4%)  core::fmt::Arguments::new_v1_formatted
    45 (0.7%)    1 (0.4%)  secp256k1::key::XOnlyPublicKey::serialize
    43 (0.7%)    1 (0.4%)  <u8 as core::slice::cmp::SliceOrd>::compare
    42 (0.6%)    1 (0.4%)  secp256k1::schnorr::Signature::from_slice
    40 (0.6%)    3 (1.1%)  core::array::<impl core::ops::index::IndexMut<I> for [T; N]>::index_mut
