  Lines         Copies      Function name
  -----         ------      -------------
  16333 (100%)  698 (100%)  (TOTAL)
    392 (2.4%)    6 (0.9%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    316 (1.9%)    6 (0.9%)  alloc::sync::Weak<T>::inner
    277 (1.7%)    5 (0.7%)  alloc::alloc::box_free
    270 (1.7%)    2 (0.3%)  <std::sync::mutex::Mutex<T> as core::fmt::Debug>::fmt
    261 (1.6%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    257 (1.6%)    1 (0.1%)  sentry_core::performance::TransactionContext::continue_from_span
    248 (1.5%)    3 (0.4%)  std::sync::poison::map_result
    233 (1.4%)    1 (0.1%)  sentry_core::performance::Transaction::start_child
    232 (1.4%)    1 (0.1%)  sentry_core::performance::Span::start_child
    224 (1.4%)    1 (0.1%)  sentry_core::performance::TransactionContext::continue_from_headers
    222 (1.4%)    1 (0.1%)  <sentry_core::clientoptions::ClientOptions as core::default::Default>::default
    194 (1.2%)    4 (0.6%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    191 (1.2%)    1 (0.1%)  sentry_core::performance::parse_sentry_trace
    186 (1.1%)    6 (0.9%)  core::alloc::layout::Layout::for_value_raw
    178 (1.1%)    3 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    163 (1.0%)    3 (0.4%)  core::result::Result<T,E>::unwrap
    156 (1.0%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    154 (0.9%)    2 (0.3%)  std::sync::mutex::Mutex<T>::try_lock
    152 (0.9%)    2 (0.3%)  alloc::sync::Arc<T>::new
    146 (0.9%)    6 (0.9%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
    144 (0.9%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    140 (0.9%)    1 (0.1%)  <sentry_core::clientoptions::ClientOptions as core::fmt::Debug>::fmt
    137 (0.8%)    3 (0.4%)  core::mem::replace
    132 (0.8%)    3 (0.4%)  core::option::Option<T>::map
    129 (0.8%)    1 (0.1%)  sentry_core::performance::Transaction::new_noop
    128 (0.8%)    6 (0.9%)  alloc::sync::Arc<T>::drop_slow
    126 (0.8%)    2 (0.3%)  std::sync::mutex::Mutex<T>::new
    121 (0.7%)    1 (0.1%)  <sentry_types::dsn::Dsn as core::clone::Clone>::clone
    120 (0.7%)    6 (0.9%)  alloc::sync::Arc<T>::get_mut_unchecked
    118 (0.7%)    1 (0.1%)  <std::sync::rwlock::RwLock<T> as core::fmt::Debug>::fmt
    113 (0.7%)    1 (0.1%)  <sentry_core::performance::SentryTrace as core::fmt::Display>::fmt
    112 (0.7%)    6 (0.9%)  core::mem::align_of_val_raw
    112 (0.7%)    6 (0.9%)  core::mem::size_of_val_raw
    110 (0.7%)   11 (1.6%)  <&T as core::fmt::Debug>::fmt
    110 (0.7%)    4 (0.6%)  sentry_core::hub::Hub::with_active
    107 (0.7%)    1 (0.1%)  <sentry_core::constants::SDK_INFO as core::ops::deref::Deref>::deref::__static_ref_initialize
    106 (0.6%)    2 (0.3%)  std::sync::once::Once::call_once
     97 (0.6%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.6%)    1 (0.1%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     91 (0.6%)    1 (0.1%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
     88 (0.5%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     86 (0.5%)    3 (0.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     86 (0.5%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     85 (0.5%)    1 (0.1%)  sentry_core::performance::Transaction::set_data
     84 (0.5%)    5 (0.7%)  core::ops::function::FnOnce::call_once
     81 (0.5%)    1 (0.1%)  <sentry_types::protocol::v7::TraceContext as core::default::Default>::default
     80 (0.5%)    1 (0.1%)  sentry_core::performance::Transaction::iter_headers
     79 (0.5%)    2 (0.3%)  core::result::Result<T,E>::ok
     79 (0.5%)    1 (0.1%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     78 (0.5%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     78 (0.5%)    1 (0.1%)  sentry_core::performance::Span::iter_headers
     77 (0.5%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::sync::Arc<dyn sentry_core::integration::Integration>]>
     76 (0.5%)    1 (0.1%)  core::iter::traits::iterator::Iterator::fold
     74 (0.5%)    6 (0.9%)  core::ptr::non_null::NonNull<T>::cast
     74 (0.5%)    2 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     74 (0.5%)    2 (0.3%)  core::cell::Cell<T>::replace
     72 (0.4%)    6 (0.9%)  alloc::rc::is_dangling
     72 (0.4%)    4 (0.6%)  core::ptr::read
     71 (0.4%)    2 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     70 (0.4%)    6 (0.9%)  core::ptr::non_null::NonNull<T>::as_ref
     69 (0.4%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     69 (0.4%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     68 (0.4%)    7 (1.0%)  core::ptr::unique::Unique<T>::cast
     67 (0.4%)    1 (0.1%)  core::fmt::builders::DebugList::entries
     66 (0.4%)    2 (0.3%)  lazy_static::lazy::Lazy<T>::get
     66 (0.4%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     66 (0.4%)    1 (0.1%)  sentry_core::performance::Span::set_data
     65 (0.4%)    1 (0.1%)  <sentry_core::performance::TransactionContext as core::fmt::Debug>::fmt
     64 (0.4%)    8 (1.1%)  core::ptr::non_null::NonNull<T>::as_ptr
     64 (0.4%)    1 (0.1%)  <sentry_core::performance::TransactionOrSpan as core::fmt::Debug>::fmt
     62 (0.4%)    1 (0.1%)  core::iter::adapters::map::map_fold::{{closure}}
     62 (0.4%)    1 (0.1%)  std::sys::unix::rwlock::RWLock::read
     61 (0.4%)    4 (0.6%)  std::sync::poison::PoisonError<T>::new
     61 (0.4%)    1 (0.1%)  std::sync::rwlock::RwLock<T>::try_read
     59 (0.4%)    1 (0.1%)  core::fmt::Arguments::new_v1
     59 (0.4%)    1 (0.1%)  core::result::Result<T,E>::map
     58 (0.4%)    2 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     58 (0.4%)    1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     58 (0.4%)    1 (0.1%)  alloc::slice::hack::into_vec
     58 (0.4%)    1 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
     57 (0.3%)    1 (0.1%)  core::str::<impl str>::split
     56 (0.3%)    8 (1.1%)  core::mem::drop
     55 (0.3%)    5 (0.7%)  core::mem::manually_drop::ManuallyDrop<T>::new
     54 (0.3%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
