  Lines        Copies     Function name
  -----        ------     -------------
  1550 (100%)  80 (100%)  (TOTAL)
   277 (17.9%)  1 (1.2%)  <serde_xml_rs::error::Error as core::fmt::Display>::fmt
   276 (17.8%)  1 (1.2%)  <serde_xml_rs::error::Error as core::fmt::Debug>::fmt
   145 (9.4%)   5 (6.2%)  core::fmt::ArgumentV1::new
   116 (7.5%)   1 (1.2%)  <serde_xml_rs::error::Error as std::error::Error>::source
    71 (4.6%)   1 (1.2%)  xml::reader::error::Error::msg
    65 (4.2%)   5 (6.2%)  std::error::Error::source
    60 (3.9%)   6 (7.5%)  <&T as core::fmt::Debug>::fmt
    59 (3.8%)   1 (1.2%)  core::fmt::Arguments::new_v1
    50 (3.2%)   5 (6.2%)  <&T as core::fmt::Display>::fmt
    50 (3.2%)   5 (6.2%)  std::error::Error::cause
    49 (3.2%)   1 (1.2%)  <serde_xml_rs::de::buffer::CachedXmlEvent as core::fmt::Debug>::fmt
    42 (2.7%)   6 (7.5%)  <T as thiserror::aserror::AsDynError>::as_dyn_error
    40 (2.6%)   5 (6.2%)  core::any::TypeId::of
    40 (2.6%)   5 (6.2%)  std::error::Error::backtrace
    40 (2.6%)   5 (6.2%)  std::error::Error::type_id
    35 (2.3%)   7 (8.8%)  <&T as thiserror::display::DisplayAsDisplay>::as_display
    19 (1.2%)   1 (1.2%)  <serde_xml_rs::error::Error as core::convert::From<std::io::error::Error>>::from
    13 (0.8%)   1 (1.2%)  <serde_xml_rs::error::Error as core::convert::From<alloc::string::FromUtf8Error>>::from
    13 (0.8%)   1 (1.2%)  <serde_xml_rs::error::Error as core::convert::From<xml::reader::error::Error>>::from
    11 (0.7%)   1 (1.2%)  <serde_xml_rs::error::Error as core::convert::From<core::num::dec2flt::ParseFloatError>>::from
    10 (0.6%)   1 (1.2%)  <xml::reader::error::Error as std::error::Error>::description
     9 (0.6%)   1 (1.2%)  <serde_xml_rs::error::Error as core::convert::From<core::num::error::ParseIntError>>::from
     7 (0.5%)   1 (1.2%)  core::ptr::drop_in_place<alloc::string::FromUtf8Error>
     5 (0.3%)   1 (1.2%)  <serde_xml_rs::error::Error as core::convert::From<core::str::error::ParseBoolError>>::from
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&alloc::string::FromUtf8Error>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&alloc::string::String>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&core::num::dec2flt::ParseFloatError>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&core::num::error::ParseIntError>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&core::str::error::ParseBoolError>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&std::io::error::Error>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&xml::reader::error::Error>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<&xml::reader::events::XmlEvent>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<core::num::dec2flt::ParseFloatError>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<core::num::error::ParseIntError>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<core::str::error::ParseBoolError>
     4 (0.3%)   1 (1.2%)  core::ptr::drop_in_place<core::str::error::Utf8Error>
