  Lines          Copies       Function name
  -----          ------       -------------
  105603 (100%)  3504 (100%)  (TOTAL)
    2487 (2.4%)    56 (1.6%)  core::option::Option<T>::map
    2420 (2.3%)     1 (0.0%)  serde_derive_internals::internals::attr::Container::from_ast
    2365 (2.2%)     1 (0.0%)  serde_derive_internals::internals::attr::Field::from_ast
    2148 (2.0%)    10 (0.3%)  <F as syn::parse::Parser>::parse2
    1726 (1.6%)     1 (0.0%)  serde_derive_internals::internals::attr::Variant::from_ast
    1589 (1.5%)    10 (0.3%)  serde_derive_internals::internals::attr::Attr<T>::set
    1549 (1.5%)    23 (0.7%)  alloc::alloc::box_free
    1467 (1.4%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1457 (1.4%)    21 (0.6%)  serde_derive_internals::internals::ctxt::Ctxt::error_spanned_by
    1413 (1.3%)     7 (0.2%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    1230 (1.2%)    13 (0.4%)  core::iter::traits::iterator::Iterator::advance_by
    1102 (1.0%)    19 (0.5%)  core::iter::traits::exact_size::ExactSizeIterator::len
    1045 (1.0%)    11 (0.3%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     984 (0.9%)    23 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     887 (0.8%)    19 (0.5%)  core::mem::replace
     870 (0.8%)     6 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     809 (0.8%)    42 (1.2%)  core::ptr::read
     805 (0.8%)    18 (0.5%)  core::option::Option<T>::ok_or
     792 (0.7%)    22 (0.6%)  core::option::Option<T>::or_else
     792 (0.7%)    10 (0.3%)  core::iter::traits::iterator::Iterator::fold
     732 (0.7%)     1 (0.0%)  serde_derive_internals::internals::attr::decide_tag
     714 (0.7%)     2 (0.1%)  serde_derive_internals::internals::attr::get_ser_and_de
     664 (0.6%)    14 (0.4%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     648 (0.6%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     624 (0.6%)     8 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     608 (0.6%)     4 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
     607 (0.6%)    11 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
