  Lines         Copies      Function name
  -----         ------      -------------
  20729 (100%)  769 (100%)  (TOTAL)
    948 (4.6%)    1 (0.1%)  serde_repr::derive_deserialize
    765 (3.7%)    1 (0.1%)  <serde_repr::parse::Input as syn::parse::Parse>::parse
    472 (2.3%)    1 (0.1%)  serde_repr::derive_serialize
    446 (2.2%)    4 (0.5%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    432 (2.1%)    2 (0.3%)  <F as syn::parse::Parser>::parse2
    326 (1.6%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    325 (1.6%)    7 (0.9%)  core::mem::replace
    299 (1.4%)    7 (0.9%)  core::option::Option<T>::map
    292 (1.4%)    7 (0.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    290 (1.4%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    286 (1.4%)    4 (0.5%)  std::thread::local::LocalKey<T>::try_with
    278 (1.3%)    4 (0.5%)  alloc::alloc::box_free
    234 (1.1%)    3 (0.4%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    232 (1.1%)    4 (0.5%)  core::iter::traits::exact_size::ExactSizeIterator::len
    204 (1.0%)    2 (0.3%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    203 (1.0%)   11 (1.4%)  core::ptr::read
    202 (1.0%)    2 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
    195 (0.9%)    3 (0.4%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    195 (0.9%)    3 (0.4%)  <serde_repr::parse::Input as syn::parse::Parse>::parse::{{closure}}
    174 (0.8%)    3 (0.4%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    168 (0.8%)    1 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    163 (0.8%)    2 (0.3%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    162 (0.8%)    2 (0.3%)  core::iter::traits::iterator::Iterator::fold
    156 (0.8%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    147 (0.7%)    3 (0.4%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    144 (0.7%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    141 (0.7%)    3 (0.4%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    140 (0.7%)    8 (1.0%)  core::ops::function::FnOnce::call_once
    139 (0.7%)    3 (0.4%)  serde_repr::derive_deserialize::{{closure}}
    132 (0.6%)   11 (1.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
    129 (0.6%)    3 (0.4%)  core::result::Result<T,E>::expect
    127 (0.6%)    1 (0.1%)  std::panicking::update_hook
    121 (0.6%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
