  Lines        Copies      Function name
  -----        ------      -------------
  7524 (100%)  271 (100%)  (TOTAL)
   335 (4.5%)    1 (0.4%)  serde_with::utils::duration::parse_float_into_time_parts
   294 (3.9%)    6 (2.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   290 (3.9%)    2 (0.7%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   261 (3.5%)    1 (0.4%)  core::char::methods::encode_utf8_raw
   229 (3.0%)    1 (0.4%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
   193 (2.6%)    1 (0.4%)  alloc::alloc::Global::grow_impl
   179 (2.4%)    3 (1.1%)  core::result::Result<T,E>::map_err
   163 (2.2%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   152 (2.0%)    1 (0.4%)  alloc::raw_vec::finish_grow
   144 (1.9%)    2 (0.7%)  alloc::raw_vec::RawVec<T,A>::current_memory
   134 (1.8%)    5 (1.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   118 (1.6%)    1 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
   117 (1.6%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
   113 (1.5%)    1 (0.4%)  core::str::validations::next_code_point
   112 (1.5%)    2 (0.7%)  core::alloc::layout::Layout::array
    97 (1.3%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    93 (1.2%)    2 (0.7%)  core::option::Option<T>::ok_or
    91 (1.2%)    1 (0.4%)  alloc::vec::Vec<T,A>::extend_desugared
    88 (1.2%)    1 (0.4%)  core::str::iter::SplitInternal<P>::get_end
    86 (1.1%)    1 (0.4%)  core::str::iter::SplitInternal<P>::next
    75 (1.0%)    1 (0.4%)  core::iter::traits::iterator::Iterator::fold
    74 (1.0%)    2 (0.7%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    71 (0.9%)    1 (0.4%)  serde_with::utils::duration_signed_from_secs_f64
    70 (0.9%)    1 (0.4%)  core::cmp::max_by
    66 (0.9%)    2 (0.7%)  alloc::raw_vec::RawVec<T,A>::new_in
    65 (0.9%)    1 (0.4%)  core::num::<impl u32>::pow
    63 (0.8%)    2 (0.7%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    59 (0.8%)    1 (0.4%)  core::fmt::Arguments::new_v1
    58 (0.8%)    1 (0.4%)  <serde_with::utils::duration::DurationSigned as core::convert::From<&std::time::SystemTime>>::from
    56 (0.7%)    1 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    54 (0.7%)    1 (0.4%)  core::str::<impl str>::split
    53 (0.7%)    1 (0.4%)  core::str::traits::<impl core::slice::index::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::index
    52 (0.7%)    1 (0.4%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    48 (0.6%)    1 (0.4%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    48 (0.6%)    1 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    48 (0.6%)    1 (0.4%)  <serde_with::utils::duration::ParseFloatError as core::fmt::Debug>::fmt
    48 (0.6%)    1 (0.4%)  core::str::<impl str>::is_char_boundary
    47 (0.6%)    1 (0.4%)  <char as core::str::pattern::Pattern>::into_searcher
    47 (0.6%)    1 (0.4%)  core::option::Option<T>::unwrap_unchecked
    47 (0.6%)    1 (0.4%)  core::time::Duration::new
    45 (0.6%)    1 (0.4%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get
    43 (0.6%)    2 (0.7%)  alloc::raw_vec::finish_grow::{{closure}}
    43 (0.6%)    1 (0.4%)  core::num::<impl u64>::checked_add
    43 (0.6%)    1 (0.4%)  core::num::<impl u64>::overflowing_add
    43 (0.6%)    1 (0.4%)  core::num::<impl usize>::checked_add
    43 (0.6%)    1 (0.4%)  core::num::<impl usize>::checked_mul
    43 (0.6%)    1 (0.4%)  core::num::<impl usize>::overflowing_add
    43 (0.6%)    1 (0.4%)  core::num::<impl usize>::overflowing_mul
