  Lines         Copies      Function name
  -----         ------      -------------
  19535 (100%)  312 (100%)  (TOTAL)
   5882 (30.1%)   1 (0.3%)  sha2::sha512::soft::sha512_digest_block_u64
   2193 (11.2%)   1 (0.3%)  sha2::sha256::soft::sha256_digest_block_u32
   1598 (8.2%)    1 (0.3%)  sha2::sha256::x86::digest_blocks
    796 (4.1%)    1 (0.3%)  sha2::sha512::x86::load_data_avx2
    329 (1.7%)    1 (0.3%)  sha2::sha512::x86::load_data_avx
    281 (1.4%)    1 (0.3%)  sha2::sha512::x86::sha512_update_x_avx
    281 (1.4%)    1 (0.3%)  sha2::sha512::x86::sha512_update_x_avx2
    261 (1.3%)    1 (0.3%)  sha2::sha256::soft::sha256_digest_round_x2
    234 (1.2%)    2 (0.6%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    210 (1.1%)    1 (0.3%)  sha2::sha512::x86::rounds_0_63_avx2
    163 (0.8%)    1 (0.3%)  sha2::sha512::x86::rounds_0_63_avx
    161 (0.8%)    1 (0.3%)  core::core_arch::simd::i8x32::new
    160 (0.8%)    3 (1.0%)  core::slice::iter::Iter<T>::post_inc_start
    148 (0.8%)    1 (0.3%)  sha2::sha512::soft::sha512_digest_round
    148 (0.8%)    1 (0.3%)  sha2::sha512::x86::sha512_compress_x86_64_avx2
    143 (0.7%)    3 (1.0%)  core::slice::iter::Iter<T>::new
    143 (0.7%)    1 (0.3%)  sha2::sha256::soft::sha256msg1::sigma0x4
    135 (0.7%)    3 (1.0%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    134 (0.7%)    2 (0.6%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::size_hint
    131 (0.7%)    1 (0.3%)  sha2::sha256::soft::compress
    131 (0.7%)    1 (0.3%)  sha2::sha512::soft::compress
    130 (0.7%)    1 (0.3%)  core::core_arch::x86::avx2::_mm256_alignr_epi8
    121 (0.6%)    1 (0.3%)  sha2::sha512::x86::sha_round
    120 (0.6%)    2 (0.6%)  core::core_arch::x86::ssse3::_mm_alignr_epi8
    116 (0.6%)    2 (0.6%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::new
    114 (0.6%)    2 (0.6%)  core::result::Result<T,E>::map
    114 (0.6%)    1 (0.3%)  sha2::sha256::soft::schedule
    108 (0.6%)    1 (0.3%)  sha2::sha256::soft::sha256msg2
    104 (0.5%)    1 (0.3%)  core::core_arch::x86::avx::_mm256_setr_epi8
     97 (0.5%)    1 (0.3%)  sha2::sha512::soft::sha512_schedule_x2
     94 (0.5%)    2 (0.6%)  core::slice::iter::IterMut<T>::new
     94 (0.5%)    1 (0.3%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
     92 (0.5%)    2 (0.6%)  core::result::Result<T,E>::unwrap
     88 (0.5%)    1 (0.3%)  sha2::sha256::x86::shani_cpuid::init_get
     81 (0.4%)    1 (0.3%)  core::core_arch::simd::i8x16::new
     80 (0.4%)    2 (0.6%)  core::iter::traits::iterator::Iterator::zip
     70 (0.4%)    2 (0.6%)  core::core_arch::x86::avx2::_mm256_extracti128_si256
     70 (0.4%)    1 (0.3%)  core::cmp::min_by
     70 (0.4%)    1 (0.3%)  sha2::sha512::x86::avx2_cpuid::init_get
     69 (0.4%)    3 (1.0%)  core::core_arch::x86::sse2::_mm_shuffle_epi32
     66 (0.3%)    2 (0.6%)  core::core_arch::x86::avx::_mm256_insertf128_si256
     66 (0.3%)    1 (0.3%)  core::slice::iter::ChunksExact<T>::new
     66 (0.3%)    1 (0.3%)  sha2::sha512::x86::accumulate_state
     65 (0.3%)    5 (1.6%)  core::core_arch::x86::avx2::_mm256_srli_epi64
     65 (0.3%)    5 (1.6%)  core::core_arch::x86::sse2::_mm_srli_epi64
     63 (0.3%)    1 (0.3%)  core::iter::adapters::step_by::StepBy<I>::new
     63 (0.3%)    1 (0.3%)  sha2::sha256::soft::sha256msg1
     62 (0.3%)    1 (0.3%)  sha2::sha256::soft::shl
     62 (0.3%)    1 (0.3%)  sha2::sha256::soft::shr
     60 (0.3%)    5 (1.6%)  core::ptr::const_ptr::<impl *const T>::offset
     60 (0.3%)    5 (1.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
     59 (0.3%)    1 (0.3%)  core::fmt::Arguments::new_v1
     58 (0.3%)    2 (0.6%)  core::ptr::metadata::from_raw_parts
     57 (0.3%)    1 (0.3%)  sha2::sha512::x86::rounds_64_79
     56 (0.3%)    1 (0.3%)  core::core_arch::x86::sse2::_mm_set_epi8
     56 (0.3%)    1 (0.3%)  sha2::sha512::x86::sha512_compress_x86_64_avx
     52 (0.3%)    4 (1.3%)  core::core_arch::x86::avx2::_mm256_slli_epi64
     52 (0.3%)    4 (1.3%)  core::core_arch::x86::sse2::_mm_slli_epi64
     50 (0.3%)    1 (0.3%)  sha2::sha256::soft::add
     49 (0.3%)    1 (0.3%)  sha2::sha256::x86::schedule
     48 (0.2%)    6 (1.9%)  core::slice::<impl [T]>::as_ptr
     46 (0.2%)    2 (0.6%)  core::array::<impl core::convert::TryFrom<&[T]> for &[T; N]>::try_from
     46 (0.2%)    1 (0.3%)  sha2::sha256::soft::or
     46 (0.2%)    1 (0.3%)  sha2::sha256::soft::xor
     45 (0.2%)    5 (1.6%)  core::ptr::const_ptr::<impl *const T>::add
     45 (0.2%)    3 (1.0%)  core::slice::raw::from_raw_parts
     45 (0.2%)    1 (0.3%)  core::mem::replace
     43 (0.2%)    1 (0.3%)  core::num::<impl usize>::checked_add
     43 (0.2%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
     43 (0.2%)    1 (0.3%)  sha2::sha512::x86::process_second_block
     40 (0.2%)    1 (0.3%)  core::core_arch::x86::cpuid::__cpuid_count
     40 (0.2%)    1 (0.3%)  core::slice::<impl [T]>::chunks_exact
     39 (0.2%)    3 (1.0%)  core::slice::<impl [T]>::iter
     38 (0.2%)    6 (1.9%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     38 (0.2%)    2 (0.6%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
     37 (0.2%)    1 (0.3%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::size_hint
     36 (0.2%)    4 (1.3%)  core::ptr::mut_ptr::<impl *mut T>::is_null
     36 (0.2%)    1 (0.3%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     36 (0.2%)    1 (0.3%)  <core::slice::iter::ChunksExact<T> as core::iter::traits::iterator::Iterator>::__iterator_get_unchecked
     36 (0.2%)    1 (0.3%)  core::sync::atomic::atomic_load
     34 (0.2%)    2 (0.6%)  <T as core::convert::TryInto<U>>::try_into
     34 (0.2%)    1 (0.3%)  core::slice::<impl [T]>::split_at_unchecked
     34 (0.2%)    1 (0.3%)  core::sync::atomic::atomic_store
