  Lines        Copies      Function name
  -----        ------      -------------
  8307 (100%)  369 (100%)  (TOTAL)
   322 (3.9%)    7 (1.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   290 (3.5%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   224 (2.7%)    2 (0.5%)  shared_library::dynamic_library::dl::check_for_errors_in
   193 (2.3%)    1 (0.3%)  alloc::alloc::Global::grow_impl
   179 (2.2%)    3 (0.8%)  core::result::Result<T,E>::map_err
   163 (2.0%)    1 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   152 (1.8%)    6 (1.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   152 (1.8%)    1 (0.3%)  alloc::raw_vec::finish_grow
   144 (1.7%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
   127 (1.5%)    3 (0.8%)  core::option::Option<T>::ok_or
   118 (1.4%)    2 (0.5%)  alloc::alloc::box_free
   118 (1.4%)    1 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
   112 (1.3%)    2 (0.5%)  core::alloc::layout::Layout::array
   108 (1.3%)    2 (0.5%)  core::mem::replace
    97 (1.2%)    2 (0.5%)  core::result::Result<T,E>::unwrap
    97 (1.2%)    1 (0.3%)  alloc::alloc::Global::alloc_impl
    91 (1.1%)    1 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    89 (1.1%)    1 (0.3%)  <T as std::ffi::c_str::CString::new::SpecNewImpl>::spec_new_impl
    87 (1.0%)    1 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    86 (1.0%)    1 (0.3%)  std::sync::poison::map_result
    77 (0.9%)    1 (0.3%)  core::ptr::drop_in_place<[std::path::PathBuf]>
    75 (0.9%)    2 (0.5%)  std::ffi::os_str::OsString::push
    74 (0.9%)    2 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    74 (0.9%)    1 (0.3%)  <shared_library::LoadingError as core::fmt::Debug>::fmt
    72 (0.9%)    2 (0.5%)  core::sync::atomic::atomic_load
    72 (0.9%)    1 (0.3%)  alloc::vec::Vec<T,A>::insert
    72 (0.9%)    1 (0.3%)  shared_library::dynamic_library::DynamicLibrary::create_path
    70 (0.8%)    1 (0.3%)  core::cmp::max_by
    66 (0.8%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::new_in
    66 (0.8%)    1 (0.3%)  core::option::Option<T>::map
    59 (0.7%)    3 (0.8%)  core::ops::function::FnOnce::call_once
    59 (0.7%)    1 (0.3%)  core::fmt::Arguments::new_v1
    58 (0.7%)    2 (0.5%)  core::ptr::metadata::from_raw_parts
    58 (0.7%)    2 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    58 (0.7%)    1 (0.3%)  std::sync::mutex::Mutex<T>::new
    54 (0.7%)    1 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    54 (0.7%)    1 (0.3%)  shared_library::dynamic_library::DynamicLibrary::prepend_search_path
    53 (0.6%)    1 (0.3%)  core::cell::Cell<T>::replace
    53 (0.6%)    1 (0.3%)  core::result::Result<T,E>::map
    53 (0.6%)    1 (0.3%)  std::sync::once::Once::call_once
    52 (0.6%)    1 (0.3%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    51 (0.6%)    2 (0.5%)  core::ptr::read
    48 (0.6%)    1 (0.3%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    48 (0.6%)    1 (0.3%)  core::slice::iter::Iter<T>::new
    47 (0.6%)    1 (0.3%)  shared_library::dynamic_library::DynamicLibrary::search_path
    47 (0.6%)    1 (0.3%)  shared_library::dynamic_library::dl::open_external
    46 (0.6%)    1 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    46 (0.6%)    1 (0.3%)  <shared_library::dynamic_library::DynamicLibrary as core::ops::drop::Drop>::drop
    43 (0.5%)    2 (0.5%)  alloc::raw_vec::finish_grow::{{closure}}
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::checked_add
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::checked_mul
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::overflowing_add
    43 (0.5%)    1 (0.3%)  core::num::<impl usize>::overflowing_mul
    42 (0.5%)    1 (0.3%)  std::sync::poison::Flag::borrow
    40 (0.5%)    4 (1.1%)  core::ptr::unique::Unique<T>::cast
    38 (0.5%)    1 (0.3%)  alloc::raw_vec::handle_reserve
    37 (0.4%)    1 (0.3%)  std::env::set_var
    36 (0.4%)    3 (0.8%)  <&T as core::convert::AsRef<U>>::as_ref
    35 (0.4%)    1 (0.3%)  shared_library::dynamic_library::dl::open::{{closure}}
    34 (0.4%)    3 (0.8%)  core::ptr::non_null::NonNull<T>::new_unchecked
    34 (0.4%)    2 (0.5%)  alloc::vec::Vec<T,A>::with_capacity_in
    34 (0.4%)    2 (0.5%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    34 (0.4%)    1 (0.3%)  core::cell::Cell<T>::set
    34 (0.4%)    1 (0.3%)  core::sync::atomic::atomic_store
    33 (0.4%)    3 (0.8%)  <&T as core::fmt::Debug>::fmt
    33 (0.4%)    1 (0.3%)  lazy_static::lazy::Lazy<T>::get
    33 (0.4%)    1 (0.3%)  std::ffi::c_str::CStr::to_bytes
    32 (0.4%)    3 (0.8%)  core::ptr::write
