  Lines        Copies     Function name
  -----        ------     -------------
  1442 (100%)  40 (100%)  (TOTAL)
   261 (18.1%)  1 (2.5%)  core::char::methods::encode_utf8_raw
   229 (15.9%)  1 (2.5%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
   117 (8.1%)   1 (2.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    59 (4.1%)   1 (2.5%)  core::fmt::Arguments::new_v1
    58 (4.0%)   2 (5.0%)  core::fmt::ArgumentV1::new
    56 (3.9%)   1 (2.5%)  core::option::Option<T>::map
    47 (3.3%)   1 (2.5%)  <char as core::str::pattern::Pattern>::into_searcher
    45 (3.1%)   1 (2.5%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get
    41 (2.8%)   1 (2.5%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    38 (2.6%)   1 (2.5%)  core::str::<impl str>::find
    35 (2.4%)   1 (2.5%)  core::option::Option<T>::unwrap_or
    35 (2.4%)   1 (2.5%)  core::slice::memchr::memchr
    31 (2.1%)   2 (5.0%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    30 (2.1%)   1 (2.5%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
    30 (2.1%)   1 (2.5%)  core::char::methods::<impl char>::is_alphabetic
    27 (1.9%)   1 (2.5%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    26 (1.8%)   1 (2.5%)  core::char::methods::<impl char>::is_numeric
    25 (1.7%)   1 (2.5%)  <core::ops::range::RangeTo<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
    22 (1.5%)   1 (2.5%)  core::char::methods::<impl char>::encode_utf8
    22 (1.5%)   1 (2.5%)  core::char::methods::len_utf8
    19 (1.3%)   1 (2.5%)  core::slice::<impl [T]>::get
    19 (1.3%)   1 (2.5%)  core::str::<impl str>::as_bytes
    17 (1.2%)   1 (2.5%)  core::array::<impl core::ops::index::Index<I> for [T; N]>::index
    17 (1.2%)   1 (2.5%)  core::char::methods::<impl char>::is_alphanumeric
    16 (1.1%)   1 (2.5%)  shellexpand::is_valid_var_name_char
    15 (1.0%)   1 (2.5%)  shellexpand::env_with_context::find_dollar
    13 (0.9%)   1 (2.5%)  core::slice::memchr::memchr::{{closure}}
    12 (0.8%)   1 (2.5%)  core::ptr::mut_ptr::<impl *mut T>::offset
    12 (0.8%)   1 (2.5%)  core::str::<impl str>::find::{{closure}}
    11 (0.8%)   1 (2.5%)  <core::ops::range::RangeFull as core::slice::index::SliceIndex<[T]>>::index_mut
    11 (0.8%)   1 (2.5%)  core::str::<impl str>::len
     9 (0.6%)   1 (2.5%)  core::ptr::mut_ptr::<impl *mut T>::add
     9 (0.6%)   1 (2.5%)  core::str::converts::from_utf8_unchecked_mut
     8 (0.6%)   1 (2.5%)  core::num::<impl usize>::wrapping_sub
     8 (0.6%)   1 (2.5%)  core::ptr::mut_ptr::<impl *mut [T]>::as_mut_ptr
     6 (0.4%)   1 (2.5%)  core::slice::iter::size_from_ptr
     5 (0.3%)   1 (2.5%)  <core::option::Option<T> as core::ops::try_trait::FromResidual>::from_residual
     1 (0.1%)   1 (2.5%)  core::mem::size_of
