  Lines        Copies      Function name
  -----        ------      -------------
  5437 (100%)  208 (100%)  (TOTAL)
   326 (6.0%)    2 (1.0%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   322 (5.9%)    7 (3.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   193 (3.5%)    1 (0.5%)  alloc::alloc::Global::grow_impl
   179 (3.3%)    3 (1.4%)  core::result::Result<T,E>::map_err
   152 (2.8%)    6 (2.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
   152 (2.8%)    1 (0.5%)  alloc::raw_vec::finish_grow
   145 (2.7%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   144 (2.6%)    2 (1.0%)  alloc::raw_vec::RawVec<T,A>::current_memory
   129 (2.4%)    1 (0.5%)  shlex::Shlex::parse_word
   127 (2.3%)    3 (1.4%)  core::option::Option<T>::ok_or
   117 (2.2%)    1 (0.5%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
   112 (2.1%)    2 (1.0%)  core::alloc::layout::Layout::array
    98 (1.8%)    1 (0.5%)  shlex::quote
    97 (1.8%)    1 (0.5%)  alloc::alloc::Global::alloc_impl
    93 (1.7%)    1 (0.5%)  alloc::vec::Vec<T,A>::extend_desugared
    85 (1.6%)    1 (0.5%)  <core::ops::control_flow::ControlFlow<B,C> as core::cmp::PartialEq>::eq
    85 (1.6%)    1 (0.5%)  core::iter::traits::iterator::Iterator::try_fold
    77 (1.4%)    1 (0.5%)  core::ptr::drop_in_place<[alloc::string::String]>
    74 (1.4%)    2 (1.0%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    74 (1.4%)    1 (0.5%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
    71 (1.3%)    1 (0.5%)  <shlex::Shlex as core::iter::traits::iterator::Iterator>::next
    70 (1.3%)    1 (0.5%)  core::cmp::max_by
    63 (1.2%)    1 (0.5%)  shlex::Shlex::parse_double
    61 (1.1%)    1 (0.5%)  alloc::vec::Vec<T,A>::push
    58 (1.1%)    2 (1.0%)  core::ptr::metadata::from_raw_parts_mut
    50 (0.9%)    1 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    48 (0.9%)    1 (0.5%)  <alloc::collections::TryReserveErrorKind as core::clone::Clone>::clone
    46 (0.8%)    2 (1.0%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    45 (0.8%)    1 (0.5%)  core::slice::iter::Iter<T>::new
    44 (0.8%)    1 (0.5%)  shlex::split
    43 (0.8%)    2 (1.0%)  alloc::raw_vec::finish_grow::{{closure}}
    43 (0.8%)    1 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    43 (0.8%)    1 (0.5%)  core::num::<impl usize>::checked_add
    43 (0.8%)    1 (0.5%)  core::num::<impl usize>::checked_mul
    43 (0.8%)    1 (0.5%)  core::num::<impl usize>::overflowing_add
    43 (0.8%)    1 (0.5%)  core::num::<impl usize>::overflowing_mul
    38 (0.7%)    1 (0.5%)  alloc::raw_vec::handle_reserve
    36 (0.7%)    4 (1.9%)  <T as core::convert::Into<U>>::into
    36 (0.7%)    1 (0.5%)  shlex::Shlex::parse_single
    35 (0.6%)    1 (0.5%)  <core::iter::adapters::copied::Copied<I> as core::iter::traits::iterator::Iterator>::try_fold
    34 (0.6%)    3 (1.4%)  core::ptr::non_null::NonNull<T>::new_unchecked
    34 (0.6%)    1 (0.5%)  core::option::Option<&T>::copied
    33 (0.6%)    1 (0.5%)  alloc::raw_vec::RawVec<T,A>::new_in
    33 (0.6%)    1 (0.5%)  shlex::Shlex::next_char
    32 (0.6%)    2 (1.0%)  alloc::raw_vec::RawVec<T,A>::capacity
    30 (0.6%)    2 (1.0%)  alloc::vec::Vec<T,A>::as_mut_ptr
    30 (0.6%)    2 (1.0%)  core::ptr::slice_from_raw_parts_mut
    30 (0.6%)    1 (0.5%)  core::str::<impl str>::bytes
    28 (0.5%)    2 (1.0%)  core::ptr::non_null::NonNull<T>::cast
    28 (0.5%)    1 (0.5%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
    28 (0.5%)    1 (0.5%)  alloc::raw_vec::alloc_guard
    27 (0.5%)    2 (1.0%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    27 (0.5%)    1 (0.5%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    27 (0.5%)    1 (0.5%)  core::ptr::drop_in_place<alloc::vec::Vec<alloc::string::String>>
    27 (0.5%)    1 (0.5%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    25 (0.5%)    1 (0.5%)  <alloc::alloc::Global as core::alloc::Allocator>::grow
    25 (0.5%)    1 (0.5%)  core::iter::traits::iterator::Iterator::any::check::{{closure}}
    24 (0.4%)    2 (1.0%)  core::ptr::mut_ptr::<impl *mut T>::offset
    24 (0.4%)    1 (0.5%)  core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
    22 (0.4%)    1 (0.5%)  core::iter::adapters::copied::copy_try_fold::{{closure}}
