  Lines         Copies      Function name
  -----         ------      -------------
  17952 (100%)  508 (100%)  (TOTAL)
   1776 (9.9%)   12 (2.4%)  time::formatting::format_number_pad_zero
    983 (5.5%)    1 (0.2%)  time::formatting::format_component
    740 (4.1%)    5 (1.0%)  time::formatting::format_number_pad_space
    553 (3.1%)    1 (0.2%)  <simple_logger::SimpleLogger as log::Log>::log
    446 (2.5%)    1 (0.2%)  alloc::slice::merge_sort
    326 (1.8%)    2 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    322 (1.8%)    1 (0.2%)  time::formatting::formattable::<impl time::formatting::formattable::sealed::Sealed for time::format_description::FormatItem>::format_into
    300 (1.7%)    1 (0.2%)  alloc::slice::merge_sort::collapse
    261 (1.5%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    261 (1.5%)    1 (0.2%)  time::formatting::fmt_subsecond
    250 (1.4%)    1 (0.2%)  itoa::<impl itoa::private::Sealed for u16>::write
    250 (1.4%)    1 (0.2%)  itoa::<impl itoa::private::Sealed for u8>::write
    248 (1.4%)    1 (0.2%)  itoa::<impl itoa::private::Sealed for u32>::write
    243 (1.4%)    1 (0.2%)  time::formatting::fmt_year
    234 (1.3%)    1 (0.2%)  alloc::slice::merge
    190 (1.1%)    1 (0.2%)  alloc::slice::insert_head
    183 (1.0%)    1 (0.2%)  time::formatting::fmt_offset_hour
    175 (1.0%)    4 (0.8%)  core::option::Option<T>::map
    162 (0.9%)    4 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    160 (0.9%)    5 (1.0%)  time::formatting::format_number
    145 (0.8%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    144 (0.8%)    2 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    141 (0.8%)    2 (0.4%)  core::cmp::max_by
    137 (0.8%)    1 (0.2%)  hashbrown::raw::TableLayout::calculate_layout_for
    136 (0.8%)    1 (0.2%)  simple_logger::SimpleLogger::env
    128 (0.7%)    2 (0.4%)  alloc::vec::Vec<T,A>::push
    127 (0.7%)    1 (0.2%)  core::slice::<impl [T]>::reverse::revswap
    124 (0.7%)    1 (0.2%)  time::formatting::formattable::<impl time::formatting::formattable::sealed::Sealed for [time::format_description::FormatItem]>::format_into
    122 (0.7%)    5 (1.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    121 (0.7%)    1 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    116 (0.6%)    1 (0.2%)  time::formatting::fmt_weekday
    112 (0.6%)    2 (0.4%)  core::alloc::layout::Layout::array
    112 (0.6%)    1 (0.2%)  time::formatting::formattable::sealed::Sealed::format
    110 (0.6%)    1 (0.2%)  core::ptr::swap_nonoverlapping_bytes
    102 (0.6%)    1 (0.2%)  time::formatting::fmt_month
     99 (0.6%)    1 (0.2%)  hashbrown::raw::RawTable<T,A>::into_allocation
     97 (0.5%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     95 (0.5%)    2 (0.4%)  core::result::Result<T,E>::expect
     94 (0.5%)    1 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
     93 (0.5%)    1 (0.2%)  simple_logger::SimpleLogger::init
     89 (0.5%)    1 (0.2%)  time::formatting::fmt_hour
     79 (0.4%)    1 (0.2%)  alloc::vec::Vec<T,A>::remove
     78 (0.4%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
     77 (0.4%)    1 (0.2%)  core::ptr::drop_in_place<[(alloc::string::String,log::LevelFilter)]>
     76 (0.4%)    2 (0.4%)  core::result::Result<T,E>::unwrap
     76 (0.4%)    1 (0.2%)  <&str as colored::Colorize>::color
     76 (0.4%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::format
     74 (0.4%)    2 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     74 (0.4%)    1 (0.2%)  core::iter::traits::iterator::Iterator::reduce
     68 (0.4%)    1 (0.2%)  core::slice::<impl [T]>::reverse
     66 (0.4%)    1 (0.2%)  hashbrown::raw::RawTable<T,A>::into_iter_from
     64 (0.4%)    2 (0.4%)  core::option::Option<T>::unwrap_or
     64 (0.4%)    1 (0.2%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
     63 (0.4%)    4 (0.8%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
     63 (0.4%)    1 (0.2%)  alloc::slice::<impl [T]>::sort_by_key::{{closure}}
     62 (0.3%)    2 (0.4%)  <T as alloc::string::ToString>::to_string
     62 (0.3%)    1 (0.2%)  hashbrown::raw::RawTableInner<A>::free_buckets
     60 (0.3%)    1 (0.2%)  time::formatting::write
     59 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1
     59 (0.3%)    1 (0.2%)  time::formatting::fmt_period
     58 (0.3%)    3 (0.6%)  core::ptr::read
     58 (0.3%)    2 (0.4%)  core::fmt::ArgumentV1::new
     58 (0.3%)    2 (0.4%)  core::ptr::metadata::from_raw_parts
     58 (0.3%)    2 (0.4%)  core::ptr::metadata::from_raw_parts_mut
     58 (0.3%)    1 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
     58 (0.3%)    1 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
     56 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
     54 (0.3%)    1 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
     51 (0.3%)    1 (0.2%)  core::ptr::swap_nonoverlapping_one
     51 (0.3%)    1 (0.2%)  simple_logger::SimpleLogger::with_target_levels
     50 (0.3%)    1 (0.2%)  hashbrown::raw::RawTable<T,A>::drop_elements
     50 (0.3%)    1 (0.2%)  log::MaybeStaticStr::get
     49 (0.3%)    3 (0.6%)  simple_logger::SimpleLogger::init::{{closure}}
     48 (0.3%)    1 (0.2%)  <core::iter::adapters::copied::Copied<I> as core::iter::traits::iterator::Iterator>::fold
     48 (0.3%)    1 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     48 (0.3%)    1 (0.2%)  core::slice::iter::Iter<T>::new
     46 (0.3%)    2 (0.4%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     46 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     46 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1_formatted
     45 (0.3%)    3 (0.6%)  itoa::Buffer::format
     45 (0.3%)    1 (0.2%)  core::mem::replace
     45 (0.3%)    1 (0.2%)  hashbrown::raw::RawIter<T>::drop_elements
     45 (0.3%)    1 (0.2%)  time::formatting::formattable::<impl time::formatting::formattable::sealed::Sealed for T>::format_into
     43 (0.2%)    2 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     43 (0.2%)    2 (0.4%)  <simple_logger::SimpleLogger as log::Log>::enabled::{{closure}}
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::checked_add
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::checked_mul
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::overflowing_add
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::overflowing_mul
     43 (0.2%)    1 (0.2%)  simple_logger::SimpleLogger::with_module_level
     42 (0.2%)    1 (0.2%)  <simple_logger::SimpleLogger as log::Log>::enabled
     42 (0.2%)    1 (0.2%)  alloc::alloc::exchange_malloc
     40 (0.2%)    1 (0.2%)  <hashbrown::raw::RawIntoIter<T,A> as core::ops::drop::Drop>::drop
     40 (0.2%)    1 (0.2%)  core::option::Option<T>::unwrap_or_default
     40 (0.2%)    1 (0.2%)  hashbrown::raw::Bucket<T>::next_n
     39 (0.2%)    1 (0.2%)  <hashbrown::raw::RawTable<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     38 (0.2%)    1 (0.2%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_next
     38 (0.2%)    1 (0.2%)  <hashbrown::raw::RawIntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     38 (0.2%)    1 (0.2%)  alloc::raw_vec::handle_reserve
