  Lines        Copies      Function name
  -----        ------      -------------
  2813 (100%)  116 (100%)  (TOTAL)
   166 (5.9%)    2 (1.7%)  <siphasher::sip128::Hasher<S> as core::fmt::Debug>::fmt
   166 (5.9%)    2 (1.7%)  <siphasher::sip::Hasher<S> as core::fmt::Debug>::fmt
   140 (5.0%)   14 (12.1%) <&T as core::fmt::Debug>::fmt
    68 (2.4%)    4 (3.4%)  <core::marker::PhantomData<T> as core::fmt::Debug>::fmt
    68 (2.4%)    1 (0.9%)  siphasher::sip128::SipHasher13::new_with_key
    68 (2.4%)    1 (0.9%)  siphasher::sip128::SipHasher24::new_with_key
    68 (2.4%)    1 (0.9%)  siphasher::sip128::SipHasher::new_with_key
    68 (2.4%)    1 (0.9%)  siphasher::sip::SipHasher13::new_with_key
    68 (2.4%)    1 (0.9%)  siphasher::sip::SipHasher24::new_with_key
    68 (2.4%)    1 (0.9%)  siphasher::sip::SipHasher::new_with_key
    66 (2.3%)    2 (1.7%)  siphasher::sip128::Hasher<S>::new_with_keys
    66 (2.3%)    2 (1.7%)  siphasher::sip::Hasher<S>::new_with_keys
    66 (2.3%)    1 (0.9%)  siphasher::sip128::SipHasher::key
    66 (2.3%)    1 (0.9%)  siphasher::sip::SipHasher::key
    64 (2.3%)    2 (1.7%)  siphasher::sip128::Hasher<S>::reset
    64 (2.3%)    2 (1.7%)  siphasher::sip::Hasher<S>::reset
    64 (2.3%)    1 (0.9%)  siphasher::sip128::SipHasher13::key
    64 (2.3%)    1 (0.9%)  siphasher::sip128::SipHasher24::key
    64 (2.3%)    1 (0.9%)  siphasher::sip::SipHasher13::key
    64 (2.3%)    1 (0.9%)  siphasher::sip::SipHasher24::key
    56 (2.0%)    1 (0.9%)  <siphasher::sip128::State as core::fmt::Debug>::fmt
    56 (2.0%)    1 (0.9%)  <siphasher::sip::State as core::fmt::Debug>::fmt
    38 (1.4%)    1 (0.9%)  <siphasher::sip128::Hash128 as core::fmt::Debug>::fmt
    38 (1.4%)    1 (0.9%)  siphasher::sip128::Hash128::as_bytes
    32 (1.1%)    1 (0.9%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
