  Lines         Copies      Function name
  -----         ------      -------------
  12927 (100%)  587 (100%)  (TOTAL)
    390 (3.0%)    8 (1.4%)  core::mem::replace
    365 (2.8%)    5 (0.9%)  alloc::sync::Arc<T>::new
    363 (2.8%)    5 (0.9%)  std::thread::local::LocalKey<T>::try_with
    340 (2.6%)    6 (1.0%)  alloc::alloc::box_free
    314 (2.4%)    7 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    242 (1.9%)    1 (0.2%)  arc_swap::debt::helping::Slots::help
    218 (1.7%)    4 (0.7%)  arc_swap::debt::list::LocalNode::with::{{closure}}
    213 (1.6%)   11 (1.9%)  core::ptr::read
    196 (1.5%)    3 (0.5%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    194 (1.5%)    4 (0.7%)  core::result::Result<T,E>::expect
    193 (1.5%)    1 (0.2%)  alloc::alloc::Global::grow_impl
    179 (1.4%)    3 (0.5%)  core::result::Result<T,E>::map_err
    163 (1.3%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    159 (1.2%)    7 (1.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    158 (1.2%)    3 (0.5%)  alloc::sync::Weak<T>::inner
    155 (1.2%)    4 (0.7%)  core::cell::Cell<T>::replace
    152 (1.2%)    1 (0.2%)  alloc::raw_vec::finish_grow
    146 (1.1%)    1 (0.2%)  arc_swap::debt::fast::Slots::get_debt
    145 (1.1%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    133 (1.0%)    1 (0.2%)  <core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::next
    128 (1.0%)    2 (0.3%)  slog::Logger<D>::root
    119 (0.9%)    3 (0.5%)  core::option::Option<T>::ok_or
    113 (0.9%)   11 (1.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    110 (0.9%)    1 (0.2%)  <slog::OwnedKVListNode<T> as slog::KV>::serialize
    108 (0.8%)    1 (0.2%)  arc_swap::debt::Debt::pay_all::{{closure}}::{{closure}}
     97 (0.8%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     94 (0.7%)    6 (1.0%)  alloc::boxed::Box<T,A>::leak
