  Lines         Copies      Function name
  -----         ------      -------------
  28737 (100%)  425 (100%)  (TOTAL)
   1004 (3.5%)    1 (0.2%)  slog_term::CompactFormatSerializer::finish
    738 (2.6%)    1 (0.2%)  slog_term::print_msg_header
    660 (2.3%)    1 (0.2%)  slog_term::Serializer::finish
    622 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_str
    620 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_bool
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_arguments
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_char
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_f32
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_f64
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_i16
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_i32
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_i64
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_i8
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_isize
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_u16
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_u32
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_u64
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_u8
    619 (2.2%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_usize
    616 (2.1%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_none
    616 (2.1%)    1 (0.2%)  <slog_term::Serializer as slog::Serializer>::emit_unit
    329 (1.1%)    6 (1.4%)  core::option::Option<T>::map
    326 (1.1%)    2 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    300 (1.0%)    4 (0.9%)  alloc::alloc::box_free
    261 (0.9%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    242 (0.8%)    3 (0.7%)  slog_term::TermDecoratorBuilder::try_build::{{closure}}
    232 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_str
    230 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_bool
    229 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_arguments
    229 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_char
    229 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_f32
    229 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_f64
    229 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_i16
    229 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_i32
    229 (0.8%)    1 (0.2%)  <slog_term::CompactFormatSerializer as slog::Serializer>::emit_i64
