  Lines        Copies      Function name
  -----        ------      -------------
  2893 (100%)  157 (100%)  (TOTAL)
   102 (3.5%)    2 (1.3%)  core::option::Option<T>::map
    87 (3.0%)    3 (1.9%)  core::fmt::ArgumentV1::new
    83 (2.9%)    8 (5.1%)  <&T as core::fmt::Debug>::fmt
    78 (2.7%)    1 (0.6%)  core::option::Option<T>::map_or
    75 (2.6%)    1 (0.6%)  alloc::alloc::box_free
    72 (2.5%)    2 (1.3%)  core::sync::atomic::atomic_load
    72 (2.5%)    1 (0.6%)  alloc::raw_vec::RawVec<T,A>::current_memory
    65 (2.2%)    1 (0.6%)  snafu::Whatever::backtrace
    59 (2.0%)    1 (0.6%)  core::fmt::Arguments::new_v1
    56 (1.9%)    1 (0.6%)  <snafu::Location as core::fmt::Debug>::fmt
    53 (1.8%)    1 (0.6%)  std::sync::once::Once::call_once
    52 (1.8%)    1 (0.6%)  <snafu::Whatever as snafu::FromString>::with_source
    49 (1.7%)    1 (0.6%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    49 (1.7%)    1 (0.6%)  <snafu::error_chain::ChainCompat as core::iter::traits::iterator::Iterator>::next
    47 (1.6%)    1 (0.6%)  <snafu::Whatever as core::fmt::Debug>::fmt
    47 (1.6%)    1 (0.6%)  core::mem::replace
    46 (1.6%)    2 (1.3%)  core::option::Option<T>::as_ref
    44 (1.5%)    1 (0.6%)  <snafu::Location as core::fmt::Display>::fmt
    43 (1.5%)    1 (0.6%)  <snafu::Whatever as snafu::FromString>::without_source
    42 (1.5%)    1 (0.6%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn std::error::Error>>
    39 (1.3%)    1 (0.6%)  core::option::Option<T>::or_else
    37 (1.3%)    1 (0.6%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    35 (1.2%)    1 (0.6%)  <[A] as core::slice::cmp::SlicePartialEq<B>>::equal
    35 (1.2%)    1 (0.6%)  <snafu::Whatever as core::fmt::Display>::fmt
    34 (1.2%)    1 (0.6%)  core::sync::atomic::atomic_store
    32 (1.1%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
    30 (1.0%)    2 (1.3%)  <core::option::Option<snafu::backtrace_inert::Backtrace> as snafu::GenerateImplicitData>::generate::{{closure}}::{{closure}}
    29 (1.0%)    1 (0.6%)  core::ops::function::FnOnce::call_once
    29 (1.0%)    1 (0.6%)  core::ptr::metadata::from_raw_parts
    29 (1.0%)    1 (0.6%)  core::ptr::metadata::from_raw_parts_mut
