  Lines         Copies      Function name
  -----         ------      -------------
  17428 (100%)  678 (100%)  (TOTAL)
   3380 (19.4%)  58 (8.6%)  core::result::Result<T,E>::map
    534 (3.1%)    7 (1.0%)  socket2::sys::setsockopt
    457 (2.6%)    6 (0.9%)  socket2::sockaddr::SockAddr::init
    404 (2.3%)    6 (0.9%)  socket2::sockaddr::SockAddr::init::{{closure}}
    324 (1.9%)    1 (0.1%)  socket2::sys::poll_connect
    277 (1.6%)    4 (0.6%)  socket2::sys::getsockopt
    233 (1.3%)    1 (0.1%)  socket2::socket::Socket::connect_timeout
    228 (1.3%)    4 (0.6%)  socket2::sys::getsockopt::{{closure}}
    222 (1.3%)    1 (0.1%)  socket2::sys::set_tcp_keepalive
    203 (1.2%)    3 (0.4%)  alloc::alloc::box_free
    160 (0.9%)    4 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    145 (0.8%)    3 (0.4%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    145 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    140 (0.8%)    2 (0.3%)  core::cmp::min_by
    132 (0.8%)    1 (0.1%)  socket2::sys::fcntl_remove
    131 (0.8%)    1 (0.1%)  socket2::sys::fcntl_add
    128 (0.7%)    1 (0.1%)  socket2::sockaddr::SockAddr::as_socket
    111 (0.6%)    8 (1.2%)  core::ops::function::FnOnce::call_once
    101 (0.6%)    8 (1.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    100 (0.6%)    1 (0.1%)  core::array::<impl core::default::Default for [T; _]>::default
     97 (0.6%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     90 (0.5%)    9 (1.3%)  <&T as core::fmt::Debug>::fmt
     85 (0.5%)    1 (0.1%)  socket2::sys::recvmsg
     81 (0.5%)    1 (0.1%)  socket2::sys::to_mreqn
     80 (0.5%)    2 (0.3%)  core::option::Option<T>::ok_or
     78 (0.4%)    1 (0.1%)  socket2::socket::Socket::take_error
     75 (0.4%)    1 (0.1%)  <socket2::sockaddr::SockAddr as core::convert::From<std::net::addr::SocketAddrV4>>::from
     75 (0.4%)    1 (0.1%)  socket2::sys::<impl core::fmt::Debug for socket2::Domain>::fmt
     74 (0.4%)    1 (0.1%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
     74 (0.4%)    1 (0.1%)  socket2::sys::clamp
     74 (0.4%)    1 (0.1%)  socket2::sys::recv_from::{{closure}}
     72 (0.4%)    3 (0.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     72 (0.4%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
     71 (0.4%)    2 (0.3%)  socket2::sys::recv_from_vectored::{{closure}}
     70 (0.4%)    6 (0.9%)  <T as core::convert::Into<U>>::into
     70 (0.4%)    1 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     70 (0.4%)    1 (0.1%)  socket2::sys::<impl core::fmt::Debug for socket2::Type>::fmt
     69 (0.4%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     69 (0.4%)    1 (0.1%)  socket2::sys::sendmsg
     68 (0.4%)    1 (0.1%)  socket2::socket::Socket::set_tcp_keepalive
     66 (0.4%)    1 (0.1%)  <core::time::Duration as core::cmp::PartialOrd>::partial_cmp
     66 (0.4%)    1 (0.1%)  core::fmt::builders::DebugList::entries
     65 (0.4%)    1 (0.1%)  <socket2::socket::InterfaceIndexOrAddress as core::fmt::Debug>::fmt
     65 (0.4%)    1 (0.1%)  socket2::sys::<impl core::fmt::Debug for socket2::Protocol>::fmt
     63 (0.4%)    1 (0.1%)  <socket2::sockaddr::SockAddr as core::convert::From<std::net::addr::SocketAddrV6>>::from
