  Lines         Copies      Function name
  -----         ------      -------------
  25469 (100%)  871 (100%)  (TOTAL)
   3381 (13.3%)   1 (0.1%)  stdweb_derive::derive_reference_type
    908 (3.6%)    1 (0.1%)  alloc::str::join_generic_copy
    652 (2.6%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    446 (1.8%)    4 (0.5%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    435 (1.7%)    3 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    423 (1.7%)    2 (0.2%)  stdweb_derive::derive_reference_type::{{closure}}
    353 (1.4%)    5 (0.6%)  alloc::alloc::box_free
    325 (1.3%)    7 (0.8%)  core::mem::replace
    302 (1.2%)    3 (0.3%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    299 (1.2%)    5 (0.6%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    288 (1.1%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    286 (1.1%)    4 (0.5%)  std::thread::local::LocalKey<T>::try_with
    261 (1.0%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    243 (1.0%)    3 (0.3%)  core::iter::traits::iterator::Iterator::fold
    242 (1.0%)    2 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    234 (0.9%)    3 (0.3%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    232 (0.9%)    4 (0.5%)  core::iter::traits::exact_size::ExactSizeIterator::len
    224 (0.9%)    4 (0.5%)  core::alloc::layout::Layout::array
    218 (0.9%)    5 (0.6%)  core::option::Option<T>::map
    216 (0.8%)    1 (0.1%)  <F as syn::parse::Parser>::parse2
    204 (0.8%)    2 (0.2%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    203 (0.8%)   11 (1.3%)  core::ptr::read
    195 (0.8%)    5 (0.6%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    192 (0.8%)    3 (0.3%)  alloc::vec::Vec<T,A>::push
    186 (0.7%)    2 (0.2%)  alloc::vec::Vec<T,A>::extend_desugared
    174 (0.7%)    3 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    168 (0.7%)    1 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    165 (0.6%)    4 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    163 (0.6%)    2 (0.2%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    152 (0.6%)    2 (0.2%)  core::iter::adapters::map::map_try_fold::{{closure}}
    150 (0.6%)   12 (1.4%)  core::mem::manually_drop::ManuallyDrop<T>::new
    148 (0.6%)    4 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    147 (0.6%)    3 (0.3%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    143 (0.6%)    1 (0.1%)  stdweb_derive::get_meta_items
    141 (0.6%)    3 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    140 (0.5%)    4 (0.5%)  core::ptr::const_ptr::<impl *const T>::offset_from
    138 (0.5%)    1 (0.1%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
    131 (0.5%)    3 (0.3%)  core::result::Result<T,E>::unwrap
    129 (0.5%)    7 (0.8%)  core::ops::function::FnOnce::call_once
    129 (0.5%)    3 (0.3%)  core::result::Result<T,E>::expect
    127 (0.5%)    1 (0.1%)  std::panicking::update_hook
    120 (0.5%)    3 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    120 (0.5%)    2 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
    119 (0.5%)    2 (0.2%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    117 (0.5%)    3 (0.3%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    116 (0.5%)    4 (0.5%)  core::ptr::metadata::from_raw_parts_mut
    109 (0.4%)    2 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    108 (0.4%)    2 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    105 (0.4%)    6 (0.7%)  core::option::Option<T>::unwrap
    104 (0.4%)   11 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    102 (0.4%)    3 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
    101 (0.4%)    9 (1.0%)  core::ptr::unique::Unique<T>::cast
    100 (0.4%)    2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     99 (0.4%)    3 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
     99 (0.4%)    2 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     97 (0.4%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.4%)    6 (0.7%)  alloc::raw_vec::RawVec<T,A>::capacity
     96 (0.4%)    2 (0.2%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     96 (0.4%)    2 (0.2%)  core::slice::iter::Iter<T>::new
     95 (0.4%)    1 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     95 (0.4%)    1 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
     92 (0.4%)   11 (1.3%)  core::ptr::write
     92 (0.4%)    4 (0.5%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     92 (0.4%)    2 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     87 (0.3%)    3 (0.3%)  core::ptr::metadata::from_raw_parts
     85 (0.3%)    1 (0.1%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::IntoIterator>::into_iter
     84 (0.3%)    7 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::offset
     81 (0.3%)    3 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
     81 (0.3%)    1 (0.1%)  <I as alloc::vec::source_iter_marker::SpecInPlaceCollect<T,I>>::collect_in_place
     78 (0.3%)    2 (0.2%)  core::option::Option<T>::ok_or
     77 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<[alloc::string::String]>
     77 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<[proc_macro2::Ident]>
     77 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<[proc_macro2::TokenStream]>
     76 (0.3%)   13 (1.5%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
     75 (0.3%)    2 (0.2%)  proc_macro::bridge::client::run_client::{{closure}}
     75 (0.3%)    1 (0.1%)  proc_macro::bridge::client::run_client
     74 (0.3%)    4 (0.5%)  core::iter::adapters::map::Map<I,F>::new
     74 (0.3%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find_map
     72 (0.3%)    2 (0.2%)  core::option::Option<T>::or_else
     70 (0.3%)    2 (0.2%)  core::cell::Cell<T>::replace
     70 (0.3%)    1 (0.1%)  alloc::vec::source_iter_marker::write_in_place_with_drop::{{closure}}
     69 (0.3%)    9 (1.0%)  core::ptr::unique::Unique<T>::as_ptr
     69 (0.3%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     69 (0.3%)    1 (0.1%)  std::sys::unix::rwlock::RWLock::write
     68 (0.3%)    1 (0.1%)  proc_macro::bridge::buffer::Buffer<T>::push
     68 (0.3%)    1 (0.1%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
     67 (0.3%)    1 (0.1%)  <proc_macro::bridge::buffer::Buffer<T> as core::convert::From<alloc::vec::Vec<T>>>::from
     67 (0.3%)    1 (0.1%)  core::ptr::drop_in_place<syn::derive::DeriveInput>
     66 (0.3%)    3 (0.3%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
     66 (0.3%)    1 (0.1%)  <proc_macro2::TokenStream as quote::ext::TokenStreamExt>::append_all
     63 (0.2%)    7 (0.8%)  core::ptr::mut_ptr::<impl *mut T>::add
     63 (0.2%)    5 (0.6%)  core::ptr::unique::Unique<T>::as_ref
     63 (0.2%)    1 (0.1%)  core::result::Result<T,E>::map_err
     63 (0.2%)    1 (0.1%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::enter
