  Lines         Copies       Function name
  -----         ------       -------------
  37864 (100%)  1316 (100%)  (TOTAL)
   1630 (4.3%)    10 (0.8%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   1591 (4.2%)     1 (0.1%)  string_cache_codegen::AtomType::to_tokens
   1160 (3.1%)     8 (0.6%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    720 (1.9%)    10 (0.8%)  alloc::raw_vec::RawVec<T,A>::current_memory
    700 (1.8%)     2 (0.2%)  core::str::pattern::TwoWaySearcher::next_back
    563 (1.5%)     7 (0.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    560 (1.5%)    10 (0.8%)  core::alloc::layout::Layout::array
    540 (1.4%)     7 (0.5%)  core::iter::traits::iterator::Iterator::fold
    522 (1.4%)     1 (0.1%)  phf_generator::try_generate_hash
    490 (1.3%)     7 (0.5%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    446 (1.2%)     1 (0.1%)  alloc::slice::merge_sort
    370 (1.0%)    10 (0.8%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    347 (0.9%)     6 (0.5%)  core::iter::adapters::map::map_fold::{{closure}}
    332 (0.9%)     3 (0.2%)  alloc::vec::Vec<T,A>::extend_with
    318 (0.8%)     6 (0.5%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    300 (0.8%)     1 (0.1%)  alloc::slice::merge_sort::collapse
    292 (0.8%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    292 (0.8%)     1 (0.1%)  <siphasher::sip128::Sip13Rounds as siphasher::sip128::Sip>::d_rounds
    290 (0.8%)    10 (0.8%)  core::ptr::metadata::from_raw_parts_mut
    283 (0.7%)     6 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    264 (0.7%)     8 (0.6%)  alloc::raw_vec::RawVec<T,A>::new_in
    261 (0.7%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    253 (0.7%)     1 (0.1%)  siphasher::sip128::u8to64_le
    250 (0.7%)     4 (0.3%)  alloc::vec::Vec<T,A>::push
    236 (0.6%)     6 (0.5%)  core::iter::traits::iterator::Iterator::for_each
    234 (0.6%)     1 (0.1%)  alloc::slice::merge
    232 (0.6%)     8 (0.6%)  core::ptr::metadata::from_raw_parts
    230 (0.6%)    10 (0.8%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    225 (0.6%)     6 (0.5%)  string_cache_codegen::AtomType::to_tokens::{{closure}}
    225 (0.6%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    218 (0.6%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::ReverseSearcher>::next_back
    216 (0.6%)     4 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    206 (0.5%)     1 (0.1%)  <siphasher::sip128::Hasher<S> as core::hash::Hasher>::write
    196 (0.5%)     1 (0.1%)  core::array::<impl core::default::Default for [T; _]>::default
    195 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    193 (0.5%)     3 (0.2%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    192 (0.5%)    12 (0.9%)  alloc::raw_vec::RawVec<T,A>::capacity
    192 (0.5%)     4 (0.3%)  core::slice::iter::Iter<T>::new
    192 (0.5%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    190 (0.5%)     1 (0.1%)  alloc::slice::insert_head
    185 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    184 (0.5%)     4 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    175 (0.5%)     5 (0.4%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    175 (0.5%)     5 (0.4%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
    172 (0.5%)     1 (0.1%)  core::hash::sip::u8to64_le
    168 (0.4%)     8 (0.6%)  core::ptr::read
    167 (0.4%)     6 (0.5%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
    166 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    163 (0.4%)     1 (0.1%)  core::str::iter::SplitInternal<P>::next_back
    157 (0.4%)     1 (0.1%)  std::io::Write::write_all
    156 (0.4%)    13 (1.0%)  core::ptr::mut_ptr::<impl *mut T>::offset
    156 (0.4%)     2 (0.2%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    156 (0.4%)     1 (0.1%)  std::io::buffered::bufwriter::BufWriter<W>::flush_buf
    155 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    151 (0.4%)    14 (1.1%)  core::ptr::write
    150 (0.4%)    10 (0.8%)  alloc::vec::Vec<T,A>::as_mut_ptr
    150 (0.4%)    10 (0.8%)  core::ptr::slice_from_raw_parts_mut
    148 (0.4%)    11 (0.8%)  core::ptr::non_null::NonNull<T>::cast
    147 (0.4%)     1 (0.1%)  alloc::str::<impl str>::replace
    143 (0.4%)     3 (0.2%)  core::mem::replace
    143 (0.4%)     3 (0.2%)  core::option::Option<T>::map
    138 (0.4%)     1 (0.1%)  alloc::vec::source_iter_marker::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
    137 (0.4%)     1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    136 (0.4%)     8 (0.6%)  alloc::vec::Vec<T,A>::with_capacity_in
    136 (0.4%)     6 (0.5%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    134 (0.4%)     5 (0.4%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    134 (0.4%)     2 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    132 (0.3%)    10 (0.8%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
    128 (0.3%)     8 (0.6%)  alloc::raw_vec::RawVec<T,A>::reserve
    128 (0.3%)     8 (0.6%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
    127 (0.3%)     1 (0.1%)  core::slice::<impl [T]>::reverse::revswap
    127 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    127 (0.3%)     1 (0.1%)  string_cache_codegen::AtomType::write_to
    124 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    121 (0.3%)     7 (0.5%)  core::iter::adapters::map::Map<I,F>::new
    121 (0.3%)     1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::position
    121 (0.3%)     1 (0.1%)  core::str::validations::next_code_point_reverse
    120 (0.3%)     8 (0.6%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
    120 (0.3%)     8 (0.6%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
    120 (0.3%)     8 (0.6%)  alloc::vec::Vec<T,A>::as_ptr
    120 (0.3%)     8 (0.6%)  core::ptr::slice_from_raw_parts
    120 (0.3%)     8 (0.6%)  core::slice::raw::from_raw_parts
    117 (0.3%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    116 (0.3%)     2 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
    114 (0.3%)     1 (0.1%)  rand_core::SeedableRng::seed_from_u64
    113 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place::{{closure}}
    112 (0.3%)     8 (0.6%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    111 (0.3%)     8 (0.6%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
    111 (0.3%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::ReverseSearcher>::next_match_back
    111 (0.3%)     1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    110 (0.3%)     1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    110 (0.3%)     1 (0.1%)  hashbrown::map::HashMap<K,V,S,A>::insert
    108 (0.3%)    12 (0.9%)  core::ptr::mut_ptr::<impl *mut T>::add
    108 (0.3%)     1 (0.1%)  string_cache_codegen::AtomType::new
    101 (0.3%)     2 (0.2%)  core::ptr::swap_nonoverlapping_one
    101 (0.3%)     1 (0.1%)  hashbrown::raw::RawTable<T,A>::insert
    100 (0.3%)     9 (0.7%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    100 (0.3%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
    100 (0.3%)     1 (0.1%)  <siphasher::sip128::Sip13Rounds as siphasher::sip128::Sip>::c_rounds
     98 (0.3%)     2 (0.2%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     97 (0.3%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     97 (0.3%)     1 (0.1%)  std::io::buffered::bufwriter::BufWriter<W>::write_all_cold
     96 (0.3%)     8 (0.6%)  alloc::vec::Vec<T,A>::reserve
     95 (0.3%)     1 (0.1%)  <I as alloc::vec::source_iter_marker::SpecInPlaceCollect<T,I>>::collect_in_place
     94 (0.2%)     3 (0.2%)  core::ptr::swap_nonoverlapping
     94 (0.2%)     2 (0.2%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     94 (0.2%)     1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
     93 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
     91 (0.2%)     1 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     90 (0.2%)    10 (0.8%)  core::ptr::unique::Unique<T>::cast
     90 (0.2%)     6 (0.5%)  core::slice::raw::from_raw_parts_mut
     89 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
     88 (0.2%)     1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     88 (0.2%)     1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.2%)     1 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     87 (0.2%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::reserve_rehash_inner
     86 (0.2%)     7 (0.5%)  core::iter::traits::iterator::Iterator::map
     86 (0.2%)     1 (0.1%)  siphasher::sip128::Hasher<S>::finish128
     85 (0.2%)     1 (0.1%)  <(ExtendA,ExtendB) as core::iter::traits::collect::Extend<(A,B)>>::extend
     84 (0.2%)     7 (0.5%)  core::ptr::const_ptr::<impl *const T>::offset
     81 (0.2%)     1 (0.1%)  <core::slice::iter::ChunksMut<T> as core::iter::traits::iterator::Iterator>::next
