  Lines         Copies      Function name
  -----         ------      -------------
  18932 (100%)  582 (100%)  (TOTAL)
    928 (4.9%)   20 (3.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    730 (3.9%)    5 (0.9%)  syn::token::printing::delim
    696 (3.7%)    1 (0.2%)  syn_mid::func::parsing::<impl syn::parse::Parse for syn_mid::func::Signature>::parse
    631 (3.3%)    1 (0.2%)  syn_mid::pat::parsing::field_pat
    489 (2.6%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    463 (2.4%)   11 (1.9%)  core::option::Option<T>::map
    462 (2.4%)   21 (3.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    445 (2.4%)    7 (1.2%)  core::result::Result<T,E>::map
    392 (2.1%)    6 (1.0%)  <core::option::Option<T> as syn::parse::Parse>::parse
    382 (2.0%)    1 (0.2%)  syn_mid::pat::parsing::<impl syn::parse::Parse for syn_mid::pat::Pat>::parse
    330 (1.7%)    1 (0.2%)  syn_mid::pat::parsing::pat_struct
    325 (1.7%)    1 (0.2%)  syn_mid::path::parse_path_segment
    320 (1.7%)    1 (0.2%)  syn_mid::func::parsing::<impl syn::parse::Parse for syn_mid::func::ItemFn>::parse
    284 (1.5%)    1 (0.2%)  syn_mid::func::parsing::<impl syn::parse::Parse for syn_mid::func::FnArg>::parse
    282 (1.5%)    6 (1.0%)  core::mem::replace
    275 (1.5%)    4 (0.7%)  <proc_macro2::TokenStream as quote::ext::TokenStreamExt>::append_all
    261 (1.4%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    259 (1.4%)    1 (0.2%)  syn_mid::path::parse_path
    255 (1.3%)    1 (0.2%)  syn_mid::func::parsing::<impl syn::parse::Parse for syn_mid::func::Receiver>::parse
    235 (1.2%)    1 (0.2%)  syn_mid::pat::parsing::pat_tuple
    234 (1.2%)    4 (0.7%)  alloc::alloc::box_free
    216 (1.1%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    204 (1.1%)    3 (0.5%)  syn::punctuated::Punctuated<T,P>::push_punct
    201 (1.1%)    1 (0.2%)  syn_mid::func::parsing::fn_arg_typed
    195 (1.0%)    5 (0.9%)  core::option::Option<T>::or_else
    192 (1.0%)    3 (0.5%)  alloc::vec::Vec<T,A>::push
    186 (1.0%)    1 (0.2%)  <F as syn::parse::Parser>::parse2
    181 (1.0%)    1 (0.2%)  syn_mid::pat::parsing::pat_ident
    180 (1.0%)    3 (0.5%)  syn::punctuated::Punctuated<T,P>::push_value
    173 (0.9%)    1 (0.2%)  syn::punctuated::Punctuated<T,P>::parse_terminated_with
    172 (0.9%)   15 (2.6%)  core::ops::function::FnOnce::call_once
    168 (0.9%)    3 (0.5%)  core::alloc::layout::Layout::array
    166 (0.9%)   10 (1.7%)  core::option::Option<T>::is_some
    165 (0.9%)    1 (0.2%)  syn_mid::pat::parsing::pat_reference
    162 (0.9%)    3 (0.5%)  core::slice::iter::Iter<T>::post_inc_start
    149 (0.8%)    6 (1.0%)  alloc::boxed::Box<T>::new
    144 (0.8%)    3 (0.5%)  core::slice::iter::Iter<T>::new
    138 (0.7%)    3 (0.5%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    133 (0.7%)    1 (0.2%)  syn_mid::pat::parsing::pat_tuple_struct
    128 (0.7%)    1 (0.2%)  syn_mid::func::parsing::<impl syn::parse::Parse for syn_mid::func::Block>::parse
    122 (0.6%)    1 (0.2%)  syn_mid::pat::parsing::pat_path_or_struct
    111 (0.6%)    3 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    105 (0.6%)    6 (1.0%)  <syn::punctuated::Pairs<T,P> as core::iter::traits::iterator::Iterator>::next::{{closure}}
    102 (0.5%)    6 (1.0%)  core::ptr::read
     99 (0.5%)    3 (0.5%)  syn::punctuated::printing::<impl quote::to_tokens::ToTokens for syn::punctuated::Pair<T,P>>::to_tokens
     97 (0.5%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     96 (0.5%)   16 (2.7%)  syn::parse::ParseBuffer::parse
     96 (0.5%)    5 (0.9%)  <core::option::Option<T> as quote::to_tokens::ToTokens>::to_tokens
     95 (0.5%)    1 (0.2%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
     95 (0.5%)    1 (0.2%)  core::iter::traits::iterator::Iterator::advance_by
     92 (0.5%)    4 (0.7%)  core::option::Option<T>::as_ref
     89 (0.5%)    1 (0.2%)  syn_mid::func::parsing::<impl syn::parse::Parse for syn_mid::func::Signature>::parse::get_variadic
     87 (0.5%)    3 (0.5%)  core::ptr::metadata::from_raw_parts
     87 (0.5%)    3 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     86 (0.5%)    1 (0.2%)  syn_mid::func::printing::has_variadic
     84 (0.4%)    9 (1.5%)  core::ptr::write
     81 (0.4%)    3 (0.5%)  syn::punctuated::Punctuated<T,P>::pairs
     80 (0.4%)    1 (0.2%)  core::ptr::drop_in_place<syn_mid::func::Signature>
     77 (0.4%)    1 (0.2%)  core::ptr::drop_in_place<[(syn_mid::func::FnArg,syn::token::Comma)]>
     77 (0.4%)    1 (0.2%)  core::ptr::drop_in_place<[(syn_mid::pat::FieldPat,syn::token::Comma)]>
     77 (0.4%)    1 (0.2%)  core::ptr::drop_in_place<[(syn_mid::pat::Pat,syn::token::Comma)]>
     76 (0.4%)    1 (0.2%)  syn_mid::pat::parsing::pat_wild
     69 (0.4%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     68 (0.4%)    7 (1.2%)  core::ptr::unique::Unique<T>::cast
     68 (0.4%)    1 (0.2%)  <syn_mid::pat::Pat as quote::to_tokens::ToTokens>::to_tokens
     60 (0.3%)    6 (1.0%)  core::option::Option<T>::take
     59 (0.3%)    1 (0.2%)  core::fmt::Arguments::new_v1
     58 (0.3%)    1 (0.2%)  core::iter::traits::exact_size::ExactSizeIterator::len
     54 (0.3%)    6 (1.0%)  syn::parse::ParseBuffer::call
     54 (0.3%)    3 (0.5%)  core::option::Option<T>::unwrap
     54 (0.3%)    1 (0.2%)  core::slice::iter::Iter<T>::pre_dec_end
     52 (0.3%)    1 (0.2%)  syn_mid::func::printing::<impl quote::to_tokens::ToTokens for syn_mid::func::Signature>::to_tokens
     52 (0.3%)    1 (0.2%)  syn_mid::func::printing::<impl quote::to_tokens::ToTokens for syn_mid::func::Signature>::to_tokens::{{closure}}
     51 (0.3%)    3 (0.5%)  <syn::punctuated::Pairs<T,P> as core::iter::traits::iterator::Iterator>::next
     50 (0.3%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     48 (0.3%)    6 (1.0%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     48 (0.3%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::capacity
     47 (0.2%)    1 (0.2%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
     46 (0.2%)    1 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
     46 (0.2%)    1 (0.2%)  <proc_macro2::fallback::Ident as core::clone::Clone>::clone
     45 (0.2%)    3 (0.5%)  alloc::vec::Vec<T,A>::as_mut_ptr
     45 (0.2%)    3 (0.5%)  alloc::vec::Vec<T,A>::as_ptr
     45 (0.2%)    3 (0.5%)  core::ptr::slice_from_raw_parts
     45 (0.2%)    3 (0.5%)  core::ptr::slice_from_raw_parts_mut
     45 (0.2%)    3 (0.5%)  core::slice::raw::from_raw_parts
     45 (0.2%)    1 (0.2%)  syn::punctuated::Punctuated<T,P>::iter
     45 (0.2%)    1 (0.2%)  syn_mid::pat::printing::<impl quote::to_tokens::ToTokens for syn_mid::pat::PatStruct>::to_tokens::{{closure}}
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::checked_add
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::checked_mul
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::overflowing_add
     43 (0.2%)    1 (0.2%)  core::num::<impl usize>::overflowing_mul
     42 (0.2%)    6 (1.0%)  core::option::Option<T>::is_none
     42 (0.2%)    3 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
     42 (0.2%)    3 (0.5%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     42 (0.2%)    3 (0.5%)  core::ptr::non_null::NonNull<T>::cast
     42 (0.2%)    1 (0.2%)  alloc::alloc::exchange_malloc
     42 (0.2%)    1 (0.2%)  core::option::Option<T>::ok_or
     42 (0.2%)    1 (0.2%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn syn::punctuated::IterTrait<syn_mid::func::FnArg>+Item = &syn_mid::func::FnArg>>
     41 (0.2%)    7 (1.2%)  core::ptr::unique::Unique<T>::as_ptr
     41 (0.2%)    1 (0.2%)  core::ptr::drop_in_place<syn_mid::pat::FieldPat>
     41 (0.2%)    1 (0.2%)  core::ptr::drop_in_place<syn_mid::pat::PatStruct>
     41 (0.2%)    1 (0.2%)  core::ptr::drop_in_place<syn_mid::pat::PatTupleStruct>
