  Lines         Copies       Function name
  -----         ------       -------------
  42021 (100%)  1534 (100%)  (TOTAL)
   1198 (2.9%)     1 (0.1%)  synstructure::Structure::gen_impl_parse
   1004 (2.4%)    23 (1.5%)  <core::option::Option<T> as core::hash::Hash>::hash
    978 (2.3%)     6 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    581 (1.4%)     1 (0.1%)  synstructure::Structure::impl_internal
    580 (1.4%)     4 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    433 (1.0%)     2 (0.1%)  <F as syn::parse::Parser>::parse2
    432 (1.0%)     6 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    429 (1.0%)     9 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    423 (1.0%)     1 (0.1%)  synstructure::merge_generics
    418 (1.0%)     6 (0.4%)  alloc::alloc::box_free
    400 (1.0%)     8 (0.5%)  syn::punctuated::Pair<T,P>::into_tuple
    367 (0.9%)     2 (0.1%)  synstructure::VariantInfo::pat::{{closure}}
    360 (0.9%)     9 (0.6%)  core::hash::Hash::hash_slice
    346 (0.8%)     4 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    336 (0.8%)     6 (0.4%)  core::alloc::layout::Layout::array
    334 (0.8%)     5 (0.3%)  core::fmt::builders::DebugList::entries
    314 (0.7%)     2 (0.1%)  syn::token::printing::delim
    293 (0.7%)     2 (0.1%)  syn::error::Error::new_spanned
    292 (0.7%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    292 (0.7%)     1 (0.1%)  syn::gen::visit::visit_expr
    273 (0.6%)    27 (1.8%)  <&T as core::fmt::Debug>::fmt
    266 (0.6%)     5 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    265 (0.6%)     6 (0.4%)  core::option::Option<T>::map
    261 (0.6%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    251 (0.6%)     4 (0.3%)  alloc::vec::Vec<T,A>::push
    251 (0.6%)     1 (0.1%)  synstructure::Structure::add_trait_bounds
    241 (0.6%)     2 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    237 (0.6%)     5 (0.3%)  core::slice::iter::Iter<T>::new
    237 (0.6%)     1 (0.1%)  syn::gen::visit::visit_bin_op
    235 (0.6%)     5 (0.3%)  core::mem::replace
    232 (0.6%)     4 (0.3%)  core::iter::traits::exact_size::ExactSizeIterator::len
    227 (0.5%)     5 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    214 (0.5%)     3 (0.2%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::Extend<T>>::extend
    210 (0.5%)    11 (0.7%)  core::hash::impls::<impl core::hash::Hash for (A,B)>::hash
    204 (0.5%)     1 (0.1%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::Extend<syn::punctuated::Pair<T,P>>>::extend
    195 (0.5%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    192 (0.5%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    192 (0.5%)     1 (0.1%)  <syn::tt::TokenTreeHelper as core::hash::Hash>::hash
    190 (0.5%)     4 (0.3%)  core::result::Result<T,E>::expect
    190 (0.5%)     2 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    190 (0.5%)     2 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
    187 (0.4%)     2 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
    185 (0.4%)    10 (0.7%)  core::ptr::read
    185 (0.4%)     5 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    185 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    176 (0.4%)     2 (0.1%)  core::option::Option<T>::map_or_else
    174 (0.4%)     6 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    172 (0.4%)     2 (0.1%)  core::option::Option<T>::map_or
    172 (0.4%)     1 (0.1%)  core::hash::sip::u8to64_le
    170 (0.4%)     2 (0.1%)  synstructure::Structure::add_trait_bounds::{{closure}}
    166 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    166 (0.4%)     1 (0.1%)  synstructure::Structure::try_new
    165 (0.4%)     1 (0.1%)  <synstructure::BindStyle as quote::to_tokens::ToTokens>::to_tokens
    156 (0.4%)     2 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    156 (0.4%)     1 (0.1%)  synstructure::Structure::gen_impl_parse::parse_prefix
    155 (0.4%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    152 (0.4%)     8 (0.5%)  <syn::punctuated::Punctuated<T,P> as core::hash::Hash>::hash
    152 (0.4%)     1 (0.1%)  syn::gen::hash::<impl core::hash::Hash for syn::ty::Type>::hash
    150 (0.4%)     2 (0.1%)  alloc::vec::Vec<T,A>::remove
    150 (0.4%)     2 (0.1%)  synstructure::get_or_insert_with
    148 (0.4%)     3 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
    145 (0.3%)     5 (0.3%)  core::ptr::metadata::from_raw_parts
    144 (0.3%)     9 (0.6%)  core::hash::impls::<impl core::hash::Hash for [T]>::hash
    144 (0.3%)     4 (0.3%)  core::option::Option<T>::or_else
    138 (0.3%)     6 (0.4%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    137 (0.3%)     1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    136 (0.3%)     1 (0.1%)  synstructure::VariantInfo::pat
    134 (0.3%)     1 (0.1%)  syn::gen::visit::visit_type_bare_fn
    132 (0.3%)     4 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
    132 (0.3%)     4 (0.3%)  syn::error::Error::new_spanned::{{closure}}
    131 (0.3%)     1 (0.1%)  synstructure::VariantInfo::new::{{closure}}
    130 (0.3%)     6 (0.4%)  core::ops::function::FnOnce::call_once
    130 (0.3%)     5 (0.3%)  <[T] as core::fmt::Debug>::fmt
    130 (0.3%)     1 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    127 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    124 (0.3%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    122 (0.3%)    18 (1.2%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    120 (0.3%)     3 (0.2%)  core::option::Option<T>::ok_or
    118 (0.3%)     1 (0.1%)  syn::gen::visit::visit_type
    117 (0.3%)     9 (0.6%)  <alloc::vec::Vec<T,A> as core::hash::Hash>::hash
    117 (0.3%)     9 (0.6%)  core::slice::iter::<impl core::iter::traits::collect::IntoIterator for &[T]>::into_iter
    117 (0.3%)     3 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    116 (0.3%)     1 (0.1%)  syn::gen::visit::visit_lifetime_def
    114 (0.3%)    10 (0.7%)  core::ptr::unique::Unique<T>::cast
