  Lines          Copies        Function name
  -----          ------        -------------
  385377 (100%)  10124 (100%)  (TOTAL)
   28116 (7.3%)     99 (1.0%)  pest::parser_state::ParserState<R>::rule
   23408 (6.1%)    418 (4.1%)  core::result::Result<T,E>::and_then
   19920 (5.2%)    166 (1.6%)  pest::parser_state::ParserState<R>::sequence
   11856 (3.1%)    104 (1.0%)  pest::parser_state::ParserState<R>::repeat
    9729 (2.5%)     69 (0.7%)  pest::parser_state::ParserState<R>::atomic
    7616 (2.0%)    136 (1.3%)  core::result::Result<T,E>::or_else
    4356 (1.1%)     80 (0.8%)  alloc::alloc::box_free
    4278 (1.1%)     62 (0.6%)  alloc::sync::Arc<T>::new
    3260 (0.8%)     20 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    3115 (0.8%)      1 (0.0%)  tera::parser::whitespace::remove_whitespace
    2816 (0.7%)     44 (0.4%)  tera::tera::Tera::register_filter
    2334 (0.6%)     19 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    2320 (0.6%)     16 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    2251 (0.6%)     22 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    2220 (0.6%)      5 (0.0%)  alloc::slice::merge_sort
    2172 (0.6%)      2 (0.0%)  tera::renderer::processor::Processor::render_node
    2050 (0.5%)     78 (0.8%)  core::ops::function::FnOnce::call_once
    1920 (0.5%)     19 (0.2%)  hashbrown::raw::RawTable<T,A>::insert
    1815 (0.5%)      1 (0.0%)  tera::renderer::processor::Processor::eval_as_number
    1803 (0.5%)     30 (0.3%)  hashbrown::raw::RawTable<T,A>::find
    1729 (0.4%)     36 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1721 (0.4%)     19 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    1710 (0.4%)     38 (0.4%)  pest::parser_state::ParserState<R>::optional
    1676 (0.4%)     27 (0.3%)  core::result::Result<T,E>::map_err
    1600 (0.4%)     33 (0.3%)  core::mem::replace
    1584 (0.4%)     22 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1571 (0.4%)      1 (0.0%)  tera::renderer::processor::Processor::eval_expression
    1265 (0.3%)      5 (0.0%)  pest::parser_state::ParserState<R>::lookahead
