  Lines       Copies     Function name
  -----       ------     -------------
  486 (100%)  16 (100%)  (TOTAL)
   66 (13.6%)  1 (6.2%)  term_size::platform::unix::get_dimensions_any
   53 (10.9%)  1 (6.2%)  term_size::platform::unix::dimensions
   53 (10.9%)  1 (6.2%)  term_size::platform::unix::dimensions_stderr
   53 (10.9%)  1 (6.2%)  term_size::platform::unix::dimensions_stdin
   53 (10.9%)  1 (6.2%)  term_size::platform::unix::dimensions_stdout
   31 (6.4%)   1 (6.2%)  term_size::platform::unix::get_dimensions_err
   31 (6.4%)   1 (6.2%)  term_size::platform::unix::get_dimensions_in
   31 (6.4%)   1 (6.2%)  term_size::platform::unix::get_dimensions_out
   26 (5.3%)   1 (6.2%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
   22 (4.5%)   1 (6.2%)  core::mem::zeroed
   16 (3.3%)   1 (6.2%)  core::mem::maybe_uninit::MaybeUninit<T>::zeroed
   15 (3.1%)   1 (6.2%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
   14 (2.9%)   1 (6.2%)  core::intrinsics::write_bytes
   12 (2.5%)   1 (6.2%)  core::ptr::mut_ptr::<impl *mut T>::write_bytes
    5 (1.0%)   1 (6.2%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    5 (1.0%)   1 (6.2%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
