  Lines         Copies      Function name
  -----         ------      -------------
  19740 (100%)  582 (100%)  (TOTAL)
    412 (2.1%)    1 (0.2%)  time::date::Date::from_iso_week_date
    325 (1.6%)    1 (0.2%)  time::date::Date::from_julian_day_unchecked
    297 (1.5%)    1 (0.2%)  time::time::Time::adjusting_add
    297 (1.5%)    1 (0.2%)  time::time::Time::adjusting_sub
    296 (1.5%)    1 (0.2%)  time::primitive_date_time::PrimitiveDateTime::offset_to_utc
    269 (1.4%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::date
    266 (1.3%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::ordinal
    266 (1.3%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::year
    266 (1.3%)    1 (0.2%)  time::utc_offset::UtcOffset::from_hms
    250 (1.3%)    1 (0.2%)  time::date::Date::to_julian_day
    245 (1.2%)    1 (0.2%)  time::date::Date::month_day
    244 (1.2%)    1 (0.2%)  time::time::Time::adjusting_add_std
    244 (1.2%)    1 (0.2%)  time::time::Time::adjusting_sub_std
    230 (1.2%)   10 (1.7%)  core::fmt::ArgumentV1::new
    200 (1.0%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::time
    183 (0.9%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::from_unix_timestamp
    179 (0.9%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::hour
    178 (0.9%)    1 (0.2%)  <time::time::Time as core::fmt::Display>::fmt
    177 (0.9%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::from_unix_timestamp_nanos
    170 (0.9%)    1 (0.2%)  time::duration::Duration::checked_add
    170 (0.9%)    1 (0.2%)  time::duration::Duration::checked_sub
    165 (0.8%)    1 (0.2%)  time::time::Time::from_hms_milli
    164 (0.8%)    1 (0.2%)  time::duration::Duration::saturating_add
    164 (0.8%)    1 (0.2%)  time::duration::Duration::saturating_sub
    164 (0.8%)    1 (0.2%)  time::time::Time::from_hms_micro
    157 (0.8%)    1 (0.2%)  time::time::Time::from_hms_nano
    148 (0.7%)    1 (0.2%)  <time::time::Time as core::ops::arith::Sub>::sub
    133 (0.7%)    3 (0.5%)  core::result::Result<T,E>::map_err
    132 (0.7%)    1 (0.2%)  time::primitive_date_time::PrimitiveDateTime::checked_add
    132 (0.7%)    1 (0.2%)  time::primitive_date_time::PrimitiveDateTime::checked_sub
    126 (0.6%)    4 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    123 (0.6%)    1 (0.2%)  time::date::Date::from_calendar_date
    122 (0.6%)    1 (0.2%)  time::time::Time::from_hms
    121 (0.6%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::saturating_add
    121 (0.6%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::saturating_sub
    120 (0.6%)    1 (0.2%)  time::duration::Duration::saturating_mul
    115 (0.6%)    3 (0.5%)  core::result::Result<T,E>::expect
    114 (0.6%)    2 (0.3%)  <time::offset_date_time::OffsetDateTime as core::ops::arith::Add<T>>::add
    114 (0.6%)    2 (0.3%)  <time::offset_date_time::OffsetDateTime as core::ops::arith::Sub<T>>::sub
    111 (0.6%)    1 (0.2%)  time::duration::Duration::new
    108 (0.5%)    1 (0.2%)  time::duration::Duration::checked_div
    108 (0.5%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::minute
    103 (0.5%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::checked_add
    103 (0.5%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::checked_sub
    100 (0.5%)    1 (0.2%)  time::month::Month::from_number
    100 (0.5%)    1 (0.2%)  time::offset_date_time::<impl core::convert::From<time::offset_date_time::OffsetDateTime> for std::time::SystemTime>::from
     96 (0.5%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::unix_timestamp
     93 (0.5%)    1 (0.2%)  <time::instant::Instant as core::ops::arith::Sub>::sub
     85 (0.4%)    1 (0.2%)  time::instant::Instant::checked_add
     85 (0.4%)    1 (0.2%)  time::instant::Instant::checked_sub
     84 (0.4%)    4 (0.7%)  core::option::Option<T>::expect
     83 (0.4%)    1 (0.2%)  time::duration::Duration::checked_mul
     83 (0.4%)    1 (0.2%)  time::utc_offset::UtcOffset::from_whole_seconds
     82 (0.4%)    1 (0.2%)  time::date::Date::from_ordinal_date
     81 (0.4%)    1 (0.2%)  <time::date::Date as core::fmt::Display>::fmt
     81 (0.4%)    1 (0.2%)  time::date::Date::to_iso_week_date
     81 (0.4%)    1 (0.2%)  time::primitive_date_time::PrimitiveDateTime::utc_to_offset
     79 (0.4%)    1 (0.2%)  <time::error::component_range::ComponentRange as core::fmt::Display>::fmt
     78 (0.4%)    1 (0.2%)  <time::utc_offset::UtcOffset as core::fmt::Display>::fmt
     77 (0.4%)    1 (0.2%)  time::date::Date::iso_year_week
     76 (0.4%)    1 (0.2%)  time::date::Date::checked_add
     76 (0.4%)    1 (0.2%)  time::date::Date::checked_sub
     76 (0.4%)    1 (0.2%)  time::date::Date::next_day
     75 (0.4%)    2 (0.3%)  core::option::Option<T>::map
     75 (0.4%)    1 (0.2%)  <time::instant::Instant as core::ops::arith::Add<time::duration::Duration>>::add
     75 (0.4%)    1 (0.2%)  <time::instant::Instant as core::ops::arith::Sub<time::duration::Duration>>::sub
     75 (0.4%)    1 (0.2%)  time::offset_date_time::<impl core::ops::arith::Add<time::duration::Duration> for std::time::SystemTime>::add
     73 (0.4%)    1 (0.2%)  <core::result::Result<T,E> as core::cmp::PartialEq>::eq
     72 (0.4%)    1 (0.2%)  <time::month::Month as core::fmt::Display>::fmt
     70 (0.4%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::replace_time
     69 (0.3%)    1 (0.2%)  time::duration::<impl core::convert::TryFrom<time::duration::Duration> for core::time::Duration>::try_from
     69 (0.3%)    1 (0.2%)  time::primitive_date_time::PrimitiveDateTime::saturating_add
     69 (0.3%)    1 (0.2%)  time::primitive_date_time::PrimitiveDateTime::saturating_sub
     67 (0.3%)    1 (0.2%)  <time::error::Error as core::fmt::Debug>::fmt
     65 (0.3%)    1 (0.2%)  <time::time::Time as core::cmp::Ord>::cmp
     64 (0.3%)    1 (0.2%)  <time::offset_date_time::OffsetDateTime as core::convert::From<std::time::SystemTime>>::from
     62 (0.3%)    1 (0.2%)  <time::primitive_date_time::PrimitiveDateTime as core::ops::arith::Add<core::time::Duration>>::add
     62 (0.3%)    1 (0.2%)  <time::primitive_date_time::PrimitiveDateTime as core::ops::arith::Sub<core::time::Duration>>::sub
     61 (0.3%)    1 (0.2%)  <time::primitive_date_time::PrimitiveDateTime as core::ops::arith::Sub>::sub
     61 (0.3%)    1 (0.2%)  <time::time::Time as core::cmp::PartialEq>::eq
     61 (0.3%)    1 (0.2%)  time::date::Date::previous_day
     60 (0.3%)    1 (0.2%)  <time::offset_date_time::OffsetDateTime as core::fmt::Display>::fmt
     59 (0.3%)    1 (0.2%)  <time::month::Month as core::fmt::Debug>::fmt
     58 (0.3%)    1 (0.2%)  time::offset_date_time::OffsetDateTime::replace_date
     56 (0.3%)    1 (0.2%)  time::date::Date::with_hms
     56 (0.3%)    1 (0.2%)  time::date::Date::with_hms_micro
     56 (0.3%)    1 (0.2%)  time::date::Date::with_hms_milli
     56 (0.3%)    1 (0.2%)  time::date::Date::with_hms_nano
     55 (0.3%)   13 (2.2%)  <&T as core::fmt::Debug>::fmt
     54 (0.3%)    1 (0.2%)  <time::duration::Duration as core::convert::TryFrom<core::time::Duration>>::try_from
     51 (0.3%)    1 (0.2%)  core::num::<impl i32>::checked_div
     51 (0.3%)    1 (0.2%)  core::num::<impl i64>::checked_div
     50 (0.3%)    1 (0.2%)  time::date::Date::from_julian_day
     48 (0.2%)    1 (0.2%)  <time::weekday::Weekday as core::fmt::Display>::fmt
     48 (0.2%)    1 (0.2%)  time::primitive_date_time::PrimitiveDateTime::assume_offset
