  Lines         Copies      Function name
  -----         ------      -------------
  28309 (100%)  692 (100%)  (TOTAL)
   1312 (4.6%)   28 (4.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
   1242 (4.4%)    1 (0.1%)  <time_macros_impl::date::Date as syn::parse::Parse>::parse
   1039 (3.7%)    1 (0.1%)  <time_macros_impl::time::Time as syn::parse::Parse>::parse
   1031 (3.6%)    1 (0.1%)  time_macros_impl::_proc_macro_hack_date
   1031 (3.6%)    1 (0.1%)  time_macros_impl::_proc_macro_hack_offset
   1031 (3.6%)    1 (0.1%)  time_macros_impl::_proc_macro_hack_time
    786 (2.8%)    6 (0.9%)  syn::parse::ParseBuffer::step
    729 (2.6%)    1 (0.1%)  <time_macros_impl::offset::Offset as syn::parse::Parse>::parse
    642 (2.3%)    3 (0.4%)  <F as syn::parse::Parser>::parse2
    446 (1.6%)    4 (0.6%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    356 (1.3%)    4 (0.6%)  <syn::lit::LitInt as time_macros_impl::ext::LitIntExtension>::value
    353 (1.2%)    6 (0.9%)  core::result::Result<T,E>::map_err
    350 (1.2%)    1 (0.1%)  core::str::pattern::TwoWaySearcher::next_back
    321 (1.1%)    5 (0.7%)  alloc::alloc::box_free
    286 (1.0%)    4 (0.6%)  std::thread::local::LocalKey<T>::try_with
    278 (1.0%)    6 (0.9%)  core::mem::replace
    267 (0.9%)   14 (2.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    261 (0.9%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    252 (0.9%)    1 (0.1%)  time_macros_impl::time_crate::date::Date::month_day
    230 (0.8%)    5 (0.7%)  syn::lit::LitInt::base10_parse::{{closure}}
    229 (0.8%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
