  Lines          Copies       Function name
  -----          ------       -------------
  129667 (100%)  3783 (100%)  (TOTAL)
    2472 (1.9%)     8 (0.2%)  std::io::default_read_to_end
    2180 (1.7%)     3 (0.1%)  tiny_http::response::Response<R>::raw_print
    1776 (1.4%)    12 (0.3%)  time::formatting::format_number_pad_zero
    1714 (1.3%)    30 (0.8%)  alloc::alloc::box_free
    1440 (1.1%)    24 (0.6%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    1390 (1.1%)     2 (0.1%)  tiny_http::request::new_request
    1120 (0.9%)     8 (0.2%)  std::io::Read::read_buf_exact
    1056 (0.8%)    24 (0.6%)  alloc::sync::Weak<T>::inner
    1054 (0.8%)    21 (0.6%)  core::mem::replace
    1052 (0.8%)     4 (0.1%)  std::sync::mpsc::sync::Packet<T>::drop_port
    1050 (0.8%)    17 (0.4%)  core::result::Result<T,E>::map_err
    1050 (0.8%)     6 (0.2%)  std::io::default_read_exact
    1023 (0.8%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::abort_selection
    1021 (0.8%)     3 (0.1%)  std::sync::mpsc::Sender<T>::send
     983 (0.8%)     1 (0.0%)  time::formatting::format_component
     962 (0.7%)    20 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     940 (0.7%)    20 (0.5%)  core::result::Result<T,E>::unwrap
     926 (0.7%)     2 (0.1%)  tiny_http::response::write_message_header
     916 (0.7%)    12 (0.3%)  alloc::sync::Arc<T>::new
     907 (0.7%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::try_recv
     902 (0.7%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::try_recv
     876 (0.7%)    41 (1.1%)  core::ptr::read
     864 (0.7%)     8 (0.2%)  std::io::append_to_string
     825 (0.6%)     3 (0.1%)  std::sync::mpsc::Receiver<T>::recv
     822 (0.6%)     2 (0.1%)  <chunked_transfer::decoder::Decoder<R> as std::io::Read>::read
     796 (0.6%)    16 (0.4%)  core::option::Option<T>::map
     772 (0.6%)     4 (0.1%)  std::io::copy::stack_buffer_copy
     771 (0.6%)     3 (0.1%)  std::sync::mpsc::stream::Packet<T>::recv
     756 (0.6%)     3 (0.1%)  std::sync::mpsc::sync::Packet<T>::wakeup_senders
     740 (0.6%)     5 (0.1%)  time::formatting::format_number_pad_space
     733 (0.6%)     3 (0.1%)  tiny_http::response::Response<R>::new
     720 (0.6%)    14 (0.4%)  core::ptr::swap_nonoverlapping_one
     720 (0.6%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next
     718 (0.6%)     2 (0.1%)  chunked_transfer::decoder::Decoder<R>::read_chunk_size
     696 (0.5%)    24 (0.6%)  core::alloc::layout::Layout::for_value_raw
     688 (0.5%)     8 (0.2%)  std::sync::poison::map_result
     672 (0.5%)     3 (0.1%)  std::sync::mpsc::sync::Packet<T>::recv
     664 (0.5%)     2 (0.1%)  std::thread::Builder::spawn_unchecked_
     652 (0.5%)     4 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
     648 (0.5%)     9 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
     645 (0.5%)     3 (0.1%)  tiny_http::response::Response<R>::add_header
     631 (0.5%)     8 (0.2%)  core::option::Option<T>::map_or
     628 (0.5%)     4 (0.1%)  std::io::Write::write_all
     617 (0.5%)     4 (0.1%)  std::sync::mpsc::spsc_queue::Queue<T,ProducerAddition,ConsumerAddition>::pop
     611 (0.5%)    21 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     605 (0.5%)    11 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::find
     602 (0.5%)     1 (0.0%)  tiny_http::client::ClientConnection::read
     582 (0.4%)     1 (0.0%)  <tiny_http::client::ClientConnection as core::iter::traits::iterator::Iterator>::next
     580 (0.4%)     4 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     564 (0.4%)     6 (0.2%)  std::io::default_read_buf
     557 (0.4%)    16 (0.4%)  core::result::Result<T,E>::ok
     552 (0.4%)    24 (0.6%)  <alloc::sync::Arc<T> as core::ops::drop::Drop>::drop
     537 (0.4%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::abort_selection
     513 (0.4%)     3 (0.1%)  std::sync::mpsc::shared::Packet<T>::recv
     503 (0.4%)     3 (0.1%)  std::sync::mpsc::oneshot::Packet<T>::try_recv
