  Lines         Copies      Function name
  -----         ------      -------------
  31472 (100%)  977 (100%)  (TOTAL)
   1660 (5.3%)    1 (0.1%)  tinytemplate::template::Template::render_into
   1500 (4.8%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::compile
    818 (2.6%)   17 (1.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    652 (2.1%)    4 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    351 (1.1%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::consume_value
    343 (1.1%)    6 (0.6%)  core::option::Option<T>::map
    333 (1.1%)    1 (0.1%)  <tinytemplate::error::Error as core::fmt::Debug>::fmt
    318 (1.0%)    1 (0.1%)  <tinytemplate::error::Error as core::fmt::Display>::fmt
    295 (0.9%)    1 (0.1%)  <tinytemplate::instruction::Instruction as core::fmt::Debug>::fmt
    292 (0.9%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    288 (0.9%)    4 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    285 (0.9%)   13 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    273 (0.9%)    3 (0.3%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
    266 (0.8%)    2 (0.2%)  hashbrown::map::HashMap<K,V,S,A>::insert
    261 (0.8%)    1 (0.1%)  core::char::methods::encode_utf8_raw
    260 (0.8%)    3 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    258 (0.8%)    4 (0.4%)  alloc::alloc::box_free
    252 (0.8%)    5 (0.5%)  core::mem::replace
    229 (0.7%)    1 (0.1%)  <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    225 (0.7%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next
    224 (0.7%)    4 (0.4%)  core::alloc::layout::Layout::array
    216 (0.7%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::consume_block
    203 (0.6%)    1 (0.1%)  tinytemplate::error::lookup_error
    202 (0.6%)    2 (0.2%)  hashbrown::raw::RawTable<T,A>::insert
    195 (0.6%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    192 (0.6%)    1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    191 (0.6%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::parse_with
    190 (0.6%)    3 (0.3%)  alloc::vec::Vec<T,A>::push
    185 (0.6%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    185 (0.6%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::consume_tag
    182 (0.6%)    2 (0.2%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::ReverseSearcher>::next_back
    176 (0.6%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::parse_call
    176 (0.6%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::parse_for
    174 (0.6%)    6 (0.6%)  core::fmt::ArgumentV1::new
    173 (0.5%)    7 (0.7%)  core::ops::function::FnOnce::call_once
    172 (0.5%)    1 (0.1%)  core::hash::sip::u8to64_le
    166 (0.5%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    158 (0.5%)    8 (0.8%)  core::ptr::read
    155 (0.5%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    152 (0.5%)    4 (0.4%)  <core::str::pattern::MultiCharEqPattern<C> as core::str::pattern::Pattern>::into_searcher
    148 (0.5%)    4 (0.4%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    145 (0.5%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    141 (0.4%)    1 (0.1%)  tinytemplate::template::RenderContext::lookup
    138 (0.4%)    2 (0.2%)  alloc::boxed::Box<T,A>::into_unique
    138 (0.4%)    1 (0.1%)  tinytemplate::escape
    137 (0.4%)    1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    128 (0.4%)    2 (0.2%)  <hashbrown::raw::RawIterRange<T> as core::iter::traits::iterator::Iterator>::next
    127 (0.4%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_inner
    127 (0.4%)    1 (0.1%)  tinytemplate::template::RenderContext::lookup_in
    124 (0.4%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_resize
    123 (0.4%)    1 (0.1%)  tinytemplate::error::get_offset
    121 (0.4%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::parse_path
    120 (0.4%)    1 (0.1%)  tinytemplate::format
    120 (0.4%)    1 (0.1%)  tinytemplate::format_unescaped
    118 (0.4%)    2 (0.2%)  hashbrown::raw::RawTable<T,A>::find
    118 (0.4%)    1 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    116 (0.4%)    4 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    116 (0.4%)    2 (0.2%)  alloc::slice::hack::into_vec
    113 (0.4%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    113 (0.4%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place::{{closure}}
    111 (0.4%)    1 (0.1%)  <core::str::pattern::StrSearcher as core::str::pattern::Searcher>::next_match
    110 (0.3%)    2 (0.2%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
    110 (0.3%)    1 (0.1%)  core::ptr::swap_nonoverlapping_bytes
    108 (0.3%)    2 (0.2%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    106 (0.3%)   12 (1.2%)  core::ptr::write
    106 (0.3%)    1 (0.1%)  tinytemplate::template::Template::value_is_truthy
    104 (0.3%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::consume_text
    102 (0.3%)    6 (0.6%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
    100 (0.3%)    2 (0.2%)  hashbrown::raw::RawTable<T,A>::drop_elements
    100 (0.3%)    1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
     97 (0.3%)    3 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     97 (0.3%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     97 (0.3%)    1 (0.1%)  tinytemplate::template::RenderContext::lookup_index
     96 (0.3%)    2 (0.2%)  core::slice::iter::Iter<T>::new
     95 (0.3%)    1 (0.1%)  tinytemplate::error::not_iterable_error
     95 (0.3%)    1 (0.1%)  tinytemplate::error::truthiness_error
     94 (0.3%)    9 (0.9%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     94 (0.3%)    1 (0.1%)  <core::ops::range::Range<T> as core::iter::range::RangeIteratorImpl>::spec_nth
     94 (0.3%)    1 (0.1%)  <core::str::LinesAnyMap as core::ops::function::Fn<(&str,)>>::call
     93 (0.3%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::find_insert_slot
     92 (0.3%)    4 (0.4%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     92 (0.3%)    2 (0.2%)  core::str::pattern::ReverseSearcher::next_reject_back
     92 (0.3%)    2 (0.2%)  core::str::pattern::Searcher::next_reject
     92 (0.3%)    1 (0.1%)  tinytemplate::template::Template::render
     91 (0.3%)    1 (0.1%)  alloc::vec::Vec<T,A>::extend_desugared
     91 (0.3%)    1 (0.1%)  core::str::<impl str>::trim_matches
     91 (0.3%)    1 (0.1%)  tinytemplate::TinyTemplate::add_template
     89 (0.3%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::prepare_rehash_in_place
     88 (0.3%)    1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.3%)    8 (0.8%)  core::ptr::unique::Unique<T>::cast
     87 (0.3%)    3 (0.3%)  core::ptr::metadata::from_raw_parts
     87 (0.3%)    1 (0.1%)  hashbrown::raw::RawTableInner<A>::reserve_rehash_inner
     86 (0.3%)    1 (0.1%)  core::str::iter::SplitInternal<P>::next
     84 (0.3%)    7 (0.7%)  core::ptr::mut_ptr::<impl *mut T>::offset
     81 (0.3%)    1 (0.1%)  core::core_arch::simd::i8x16::new
     81 (0.3%)    1 (0.1%)  core::str::<impl str>::trim_start_matches
     81 (0.3%)    1 (0.1%)  tinytemplate::compiler::TemplateCompiler::close_branch
     81 (0.3%)    1 (0.1%)  tinytemplate::error::called_formatter_error
     81 (0.3%)    1 (0.1%)  tinytemplate::error::called_template_error
     80 (0.3%)    2 (0.2%)  hashbrown::raw::Bucket<T>::next_n
     79 (0.3%)    2 (0.2%)  core::str::<impl str>::find
     79 (0.3%)    1 (0.1%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     78 (0.2%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
