  Lines         Copies       Function name
  -----         ------       -------------
  34477 (100%)  1119 (100%)  (TOTAL)
   1029 (3.0%)     3 (0.3%)  tokio_reactor::registration::Registration::register2
    846 (2.5%)     3 (0.3%)  tokio_core::reactor::poll_evented2::PollEvented<E>::poll_read_ready
    729 (2.1%)    10 (0.9%)  std::thread::local::LocalKey<T>::try_with
    637 (1.8%)    13 (1.2%)  core::mem::replace
    610 (1.8%)    10 (0.9%)  core::result::Result<T,E>::map
    548 (1.6%)     2 (0.2%)  tokio_core::reactor::poll_evented2::PollEvented<E>::poll_write_ready
    446 (1.3%)     8 (0.7%)  alloc::alloc::box_free
    384 (1.1%)     1 (0.1%)  tokio_core::reactor::Core::new
    342 (1.0%)     3 (0.3%)  tokio_core::reactor::poll_evented2::PollEvented<E>::clear_read_ready
    321 (0.9%)     1 (0.1%)  tokio_core::reactor::Core::poll::{{closure}}::{{closure}}::{{closure}}
    319 (0.9%)     1 (0.1%)  <tokio_core::io::frame::EasyBuf as core::fmt::Debug>::fmt
    310 (0.9%)     4 (0.4%)  alloc::sync::Arc<T>::new
    300 (0.9%)     3 (0.3%)  tokio_core::reactor::poll_evented2::PollEvented<E>::new_with_handle
    298 (0.9%)     1 (0.1%)  tokio_current_thread::CurrentThread<P>::new_with_park
    281 (0.8%)     1 (0.1%)  <tokio_core::net::tcp::TcpStreamNewState as futures::future::Future>::poll
    266 (0.8%)    14 (1.3%)  core::ptr::read
    263 (0.8%)     1 (0.1%)  tokio_current_thread::scheduler::Scheduler<U>::tick
    260 (0.8%)     3 (0.3%)  alloc::vec::Vec<T,A>::drain
    252 (0.7%)     2 (0.2%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    249 (0.7%)     3 (0.3%)  tokio_core::reactor::poll_evented2::PollEvented<E>::new
    240 (0.7%)     4 (0.4%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    235 (0.7%)     8 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    233 (0.7%)     5 (0.4%)  core::result::Result<T,E>::unwrap
    227 (0.7%)     3 (0.3%)  tokio_current_thread::CurrentRunner::set_spawn
    224 (0.6%)     1 (0.1%)  tokio_core::net::tcp::TcpListener::accept_std
    222 (0.6%)     3 (0.3%)  futures::task_impl::core::set
    208 (0.6%)     4 (0.4%)  core::result::Result<T,E>::expect
    208 (0.6%)     1 (0.1%)  tokio_core::net::udp::UdpSocket::recv_from
    202 (0.6%)     2 (0.2%)  tokio_core::reactor::poll_evented2::PollEvented<E>::clear_write_ready
    201 (0.6%)     3 (0.3%)  tokio_current_thread::Borrow<U>::enter::{{closure}}
    201 (0.6%)     1 (0.1%)  tokio_core::net::udp::UdpSocket::recv
    201 (0.6%)     1 (0.1%)  tokio_core::net::udp::UdpSocket::send_to
    198 (0.6%)     3 (0.3%)  core::cell::RefCell<T>::try_borrow_mut
    198 (0.6%)     3 (0.3%)  futures::task_impl::Spawn<T>::enter
    198 (0.6%)     1 (0.1%)  tokio_core::net::udp::UdpSocket::send
    196 (0.6%)     2 (0.2%)  futures::sync::mpsc::queue::Queue<T>::pop
    194 (0.6%)     3 (0.3%)  futures::task_impl::std::set
    190 (0.6%)     1 (0.1%)  tokio_core::net::tcp::TcpListener::accept
    189 (0.5%)     8 (0.7%)  core::ops::function::FnOnce::call_once
    185 (0.5%)     1 (0.1%)  tokio_current_thread::Entered<P>::block_on
    184 (0.5%)     1 (0.1%)  <&tokio_core::reactor::poll_evented2::PollEvented<E> as std::io::Write>::flush
    177 (0.5%)     3 (0.3%)  tokio_core::reactor::poll_evented2::PollEvented<E>::register
    177 (0.5%)     1 (0.1%)  <&tokio_core::reactor::poll_evented2::PollEvented<E> as std::io::Read>::read
    176 (0.5%)     4 (0.4%)  alloc::sync::Weak<T>::inner
    174 (0.5%)     1 (0.1%)  <&tokio_core::reactor::poll_evented2::PollEvented<E> as std::io::Write>::write
    172 (0.5%)     2 (0.2%)  std::sync::poison::map_result
    172 (0.5%)     1 (0.1%)  <tokio_core::reactor::poll_evented2::PollEvented<E> as std::io::Read>::read
    169 (0.5%)     1 (0.1%)  <tokio_core::reactor::poll_evented2::PollEvented<E> as std::io::Write>::write
    163 (0.5%)     1 (0.1%)  futures::sync::mpsc::Sender<T>::park
    161 (0.5%)     1 (0.1%)  tokio_core::net::tcp::TcpStream::from_stream
    160 (0.5%)     1 (0.1%)  futures::sync::mpsc::channel2
    159 (0.5%)     3 (0.3%)  std::sync::once::Once::call_once
    146 (0.4%)    14 (1.3%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    145 (0.4%)     5 (0.4%)  core::alloc::layout::Layout::for_value_raw
    145 (0.4%)     1 (0.1%)  tokio_core::reactor::Core::consume_queue
    142 (0.4%)     1 (0.1%)  <tokio_core::net::tcp::Incoming as futures::stream::Stream>::poll
    142 (0.4%)     1 (0.1%)  futures::sync::mpsc::Sender<T>::do_send
    141 (0.4%)     1 (0.1%)  <tokio_timer::timer::Timer<T,N> as tokio_executor::park::Park>::park_timeout
    141 (0.4%)     1 (0.1%)  tokio_timer::timer::Timer<T,N>::add_entry
    141 (0.4%)     1 (0.1%)  tokio_timer::timer::Timer<T,N>::process_queue
    138 (0.4%)     8 (0.7%)  core::option::Option<T>::unwrap
    138 (0.4%)     1 (0.1%)  tokio_core::io::frame::EasyBuf::get_mut
    135 (0.4%)     2 (0.2%)  core::result::Result<T,E>::map_err
    134 (0.4%)     2 (0.2%)  <<alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    134 (0.4%)     1 (0.1%)  <tokio_core::net::tcp::TcpStream as tokio_core::io::Io>::read_vec
    134 (0.4%)     1 (0.1%)  futures::future::lazy::Lazy<F,R>::get
    134 (0.4%)     1 (0.1%)  tokio_core::net::tcp::TcpStream::peek
    133 (0.4%)     1 (0.1%)  <tokio_core::net::tcp::TcpStream as tokio_core::io::Io>::write_vec
    132 (0.4%)     3 (0.3%)  futures::task_impl::Spawn<T>::poll_fn_notify
    131 (0.4%)     1 (0.1%)  <tokio_timer::timer::Timer<T,N> as tokio_executor::park::Park>::park
    130 (0.4%)     2 (0.2%)  scoped_tls::ScopedKey<T>::set
    129 (0.4%)     3 (0.3%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    126 (0.4%)    13 (1.2%)  core::ptr::write
    126 (0.4%)    10 (0.9%)  std::thread::local::LocalKey<T>::with
    126 (0.4%)     2 (0.2%)  std::sync::mutex::Mutex<T>::new
    124 (0.4%)     1 (0.1%)  core::slice::index::range
    121 (0.4%)     1 (0.1%)  futures::sync::mpsc::Sender<T>::inc_num_messages
    120 (0.3%)     1 (0.1%)  futures::sync::mpsc::Receiver<T>::close
    116 (0.3%)     1 (0.1%)  futures::sync::mpsc::Receiver<T>::try_park
    111 (0.3%)     3 (0.3%)  tokio_core::reactor::Core::poll::{{closure}}::{{closure}}::{{closure}}::{{closure}}
    110 (0.3%)     5 (0.4%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
    109 (0.3%)     1 (0.1%)  tokio_core::net::tcp::TcpListener::new
    109 (0.3%)     1 (0.1%)  tokio_core::net::udp::UdpSocket::new
    108 (0.3%)     3 (0.3%)  tokio_reactor::registration::Registration::register_with::{{closure}}
    108 (0.3%)     2 (0.2%)  futures::task_impl::spawn
    106 (0.3%)     4 (0.4%)  alloc::boxed::Box<T>::new
    104 (0.3%)     2 (0.2%)  core::sync::atomic::atomic_swap
    104 (0.3%)     1 (0.1%)  alloc::sync::Weak<T>::upgrade
    104 (0.3%)     1 (0.1%)  tokio_timer::timer::Timer<T,N>::process
    103 (0.3%)     1 (0.1%)  tokio_core::reactor::Remote::send::{{closure}}
