  Lines         Copies       Function name
  -----         ------       -------------
  27589 (100%)  1146 (100%)  (TOTAL)
   1180 (4.3%)    30 (2.6%)  tokio_sync::loom::sync::CausalCell<T>::with_mut
   1149 (4.2%)     8 (0.7%)  tokio_executor::blocking::run
   1065 (3.9%)     5 (0.4%)  tokio_sync::oneshot::Inner<T>::poll_recv
    756 (2.7%)    16 (1.4%)  core::mem::replace
    740 (2.7%)     1 (0.1%)  <tokio_fs::file::File as tokio_io::async_read::AsyncRead>::poll_read
    730 (2.6%)     5 (0.4%)  <tokio_sync::oneshot::Receiver<T> as core::future::future::Future>::poll
    722 (2.6%)     2 (0.2%)  <tokio_fs::blocking::Blocking<T> as tokio_io::async_write::AsyncWrite>::poll_flush
    720 (2.6%)     2 (0.2%)  <tokio_fs::blocking::Blocking<T> as tokio_io::async_write::AsyncWrite>::poll_write
    575 (2.1%)    15 (1.3%)  tokio_sync::loom::sync::CausalCell<T>::with
    550 (2.0%)     5 (0.4%)  tokio_sync::oneshot::channel
    529 (1.9%)     7 (0.6%)  alloc::sync::Arc<T>::new
    482 (1.7%)    10 (0.9%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    465 (1.7%)     1 (0.1%)  <tokio_fs::blocking::Blocking<T> as tokio_io::async_read::AsyncRead>::poll_read
    440 (1.6%)    44 (3.8%)  <&T as core::fmt::Debug>::fmt
    420 (1.5%)     7 (0.6%)  <alloc::sync::Weak<T> as core::ops::drop::Drop>::drop
    415 (1.5%)    10 (0.9%)  tokio_sync::oneshot::Inner<T>::with_rx_task::{{closure}}
    410 (1.5%)     1 (0.1%)  <tokio_fs::file::File as tokio_io::async_write::AsyncWrite>::poll_write
    380 (1.4%)     5 (0.4%)  tokio_sync::oneshot::Sender<T>::send
    374 (1.4%)     8 (0.7%)  tokio_executor::blocking::run::{{closure}}
    371 (1.3%)     7 (0.6%)  alloc::alloc::box_free
    360 (1.3%)     5 (0.4%)  <tokio_executor::blocking::Blocking<T> as core::future::future::Future>::poll
    308 (1.1%)     7 (0.6%)  alloc::sync::Weak<T>::inner
    291 (1.1%)     5 (0.4%)  core::result::Result<T,E>::map
    282 (1.0%)    16 (1.4%)  core::ptr::read
    271 (1.0%)     7 (0.6%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    260 (0.9%)    15 (1.3%)  core::option::Option<T>::unwrap
    255 (0.9%)    10 (0.9%)  tokio_sync::oneshot::Sender<T>::send::{{closure}}
    236 (0.9%)     2 (0.2%)  tokio_fs::blocking::Buf::read_from
    235 (0.9%)     1 (0.1%)  <tokio_fs::read_dir::ReadDir as futures_core::stream::Stream>::poll_next
    232 (0.8%)     1 (0.1%)  <tokio_fs::file::File as tokio_io::async_write::AsyncWrite>::poll_flush
    216 (0.8%)     3 (0.3%)  tokio_fs::blocking::Buf::write_to
    208 (0.8%)    26 (2.3%)  core::pin::Pin<P>::new_unchecked
    205 (0.7%)     5 (0.4%)  tokio_sync::oneshot::Inner<T>::with_tx_task::{{closure}}
    203 (0.7%)     7 (0.6%)  core::alloc::layout::Layout::for_value_raw
    201 (0.7%)     3 (0.3%)  <core::result::Result<T,E> as core::fmt::Debug>::fmt
