  Lines         Copies      Function name
  -----         ------      -------------
  15336 (100%)  623 (100%)  (TOTAL)
    326 (2.1%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    317 (2.1%)    1 (0.2%)  tokio_reactor::Reactor::poll
    300 (2.0%)    2 (0.3%)  mio::poll::Poll::register
    295 (1.9%)    6 (1.0%)  core::mem::replace
    290 (1.9%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    274 (1.8%)    1 (0.2%)  tokio_reactor::Reactor::dispatch
    258 (1.7%)    1 (0.2%)  tokio_reactor::registration::Inner::poll_ready
    238 (1.6%)    1 (0.2%)  tokio_reactor::Reactor::new
    216 (1.4%)    3 (0.5%)  std::thread::local::LocalKey<T>::try_with
    210 (1.4%)    5 (0.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    210 (1.4%)    1 (0.2%)  tokio_reactor::Inner::add_source
    194 (1.3%)    1 (0.2%)  tokio_reactor::registration::Registration::poll_ready
    154 (1.0%)    3 (0.5%)  core::result::Result<T,E>::expect
    154 (1.0%)    1 (0.2%)  tokio_reactor::Inner::register
    151 (1.0%)    1 (0.2%)  slab::Slab<T>::insert_at
    144 (0.9%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    140 (0.9%)    2 (0.3%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
    119 (0.8%)    1 (0.2%)  slab::Slab<T>::try_remove
    116 (0.8%)    4 (0.6%)  core::fmt::ArgumentV1::new
    116 (0.8%)    2 (0.3%)  std::thread::local::fast::Key<T>::get
    115 (0.7%)    6 (1.0%)  core::ptr::read
    114 (0.7%)    2 (0.3%)  std::thread::local::fast::Key<T>::try_initialize
    112 (0.7%)    2 (0.3%)  core::alloc::layout::Layout::array
    112 (0.7%)    2 (0.3%)  core::result::Result<T,E>::unwrap_or
    111 (0.7%)    3 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    109 (0.7%)    1 (0.2%)  <slab::Iter<T> as core::iter::traits::iterator::Iterator>::next
    109 (0.7%)    1 (0.2%)  tokio_reactor::sharded_rwlock::REGISTRATION::__init
    108 (0.7%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    106 (0.7%)    2 (0.3%)  alloc::alloc::box_free
    105 (0.7%)    2 (0.3%)  core::result::Result<T,E>::unwrap
    104 (0.7%)    1 (0.2%)  alloc::sync::Weak<T>::upgrade
    103 (0.7%)    1 (0.2%)  tokio_reactor::registration::Inner::register
    100 (0.7%)    4 (0.6%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     97 (0.6%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     96 (0.6%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     96 (0.6%)    1 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     95 (0.6%)    1 (0.2%)  mio::poll::Poll::deregister
     92 (0.6%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     91 (0.6%)    1 (0.2%)  parking_lot::raw_rwlock::RawRwLock::try_lock_shared_fast
     88 (0.6%)    4 (0.6%)  core::option::Option<T>::as_ref
     87 (0.6%)    3 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     87 (0.6%)    1 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     86 (0.6%)    1 (0.2%)  std::sync::poison::map_result
     86 (0.6%)    1 (0.2%)  tokio_reactor::registration::Registration::poll_read_ready
     86 (0.6%)    1 (0.2%)  tokio_reactor::registration::Registration::poll_write_ready
     77 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<[slab::Entry<tokio_reactor::ScheduledIo>]>
     76 (0.5%)    1 (0.2%)  alloc::sync::Arc<T>::new
     75 (0.5%)    1 (0.2%)  tokio_reactor::Inner::drop_source
     74 (0.5%)    1 (0.2%)  <tokio_reactor::Reactor as tokio_executor::park::Park>::park_timeout
     73 (0.5%)    1 (0.2%)  core::iter::traits::iterator::Iterator::fold
     72 (0.5%)    2 (0.3%)  core::option::Option<T>::ok_or
     70 (0.5%)    1 (0.2%)  alloc::sync::Arc<T>::downgrade
     70 (0.5%)    1 (0.2%)  tokio_reactor::sharded_rwlock::RwLock<T>::new
     68 (0.4%)    2 (0.3%)  std::thread::local::fast::destroy_value
