  Lines          Copies       Function name
  -----          ------       -------------
  107803 (100%)  3297 (100%)  (TOTAL)
    1762 (1.6%)    40 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1543 (1.4%)     2 (0.1%)  <toml::de::MapVisitor as serde::de::MapAccess>::next_key_seed
    1479 (1.4%)     3 (0.1%)  <<toml::value::Value as serde::de::Deserialize>::deserialize::ValueVisitor as serde::de::Visitor>::visit_map
    1467 (1.4%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1314 (1.2%)    23 (0.7%)  core::result::Result<T,E>::map_err
    1284 (1.2%)    10 (0.3%)  toml::ser::Serializer::display
    1233 (1.1%)     1 (0.0%)  <toml::datetime::Datetime as core::str::traits::FromStr>::from_str
    1130 (1.0%)    19 (0.6%)  core::result::Result<T,E>::map
    1060 (1.0%)     1 (0.0%)  <toml::de::Error as core::fmt::Display>::fmt
    1047 (1.0%)    20 (0.6%)  core::option::Option<T>::map
    1029 (1.0%)    14 (0.4%)  core::iter::traits::iterator::Iterator::fold
     908 (0.8%)     1 (0.0%)  alloc::str::join_generic_copy
     873 (0.8%)     9 (0.3%)  core::iter::traits::iterator::Iterator::try_fold
     859 (0.8%)     1 (0.0%)  toml::de::Deserializer::datetime
     804 (0.7%)    42 (1.3%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
     768 (0.7%)     8 (0.2%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
     726 (0.7%)     2 (0.1%)  <toml::de::ValueDeserializer as serde::de::Deserializer>::deserialize_any
     720 (0.7%)     2 (0.1%)  core::str::pattern::TwoWaySearcher::next
     711 (0.7%)     2 (0.1%)  <toml::de::MapVisitor as serde::de::MapAccess>::next_value_seed
     677 (0.6%)     1 (0.0%)  toml::de::Deserializer::float
     648 (0.6%)     9 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
     617 (0.6%)    13 (0.4%)  core::mem::replace
     569 (0.5%)     1 (0.0%)  toml::de::Deserializer::tables
     558 (0.5%)     1 (0.0%)  toml::de::Deserializer::inline_table
     528 (0.5%)     8 (0.2%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     522 (0.5%)    27 (0.8%)  core::ptr::read
     522 (0.5%)    18 (0.5%)  core::fmt::ArgumentV1::new
     510 (0.5%)     1 (0.0%)  toml::de::Deserializer::number
     504 (0.5%)     9 (0.3%)  core::alloc::layout::Layout::array
     498 (0.5%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,Type>>::find_key_index
     485 (0.4%)     1 (0.0%)  toml::de::Deserializer::value
     467 (0.4%)    12 (0.4%)  core::iter::traits::iterator::Iterator::for_each
     457 (0.4%)     1 (0.0%)  toml::tokens::Tokenizer::read_string
     454 (0.4%)     8 (0.2%)  core::iter::adapters::map::map_fold::{{closure}}
     442 (0.4%)     7 (0.2%)  alloc::vec::Vec<T,A>::push
     436 (0.4%)     5 (0.2%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     435 (0.4%)     3 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     430 (0.4%)     8 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
     421 (0.4%)     1 (0.0%)  <toml::value::Value as serde::ser::Serialize>::serialize
     415 (0.4%)     2 (0.1%)  serde::ser::Serializer::collect_seq
     409 (0.4%)     1 (0.0%)  toml::de::Deserializer::array
     408 (0.4%)     8 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
     406 (0.4%)     4 (0.1%)  alloc::collections::btree::search::<impl alloc::collections::btree::node::NodeRef<BorrowType,K,V,alloc::collections::btree::node::marker::LeafOrInternal>>::search_tree
     405 (0.4%)     1 (0.0%)  core::num::dec2flt::lemire::compute_float
     400 (0.4%)     1 (0.0%)  toml::tokens::Tokenizer::next
     393 (0.4%)     1 (0.0%)  toml::tokens::Tokenizer::table_key
     387 (0.4%)     1 (0.0%)  toml::ser::Serializer::emit_str
     383 (0.4%)    13 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     383 (0.4%)     8 (0.2%)  core::slice::iter::Iter<T>::new
     377 (0.3%)    13 (0.4%)  core::ptr::metadata::from_raw_parts_mut
     373 (0.3%)     1 (0.0%)  core::num::dec2flt::slow::parse_long_mantissa
     370 (0.3%)     3 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     365 (0.3%)     8 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     363 (0.3%)     1 (0.0%)  toml::tokens::Tokenizer::basic_string::{{closure}}
     352 (0.3%)     1 (0.0%)  <toml::tokens::Error as core::fmt::Debug>::fmt
     348 (0.3%)     1 (0.0%)  <toml::de::ErrorKind as core::fmt::Debug>::fmt
     342 (0.3%)     1 (0.0%)  toml::de::Deserializer::string_or_table
     335 (0.3%)    17 (0.5%)  core::ops::function::FnOnce::call_once
     335 (0.3%)     5 (0.2%)  core::fmt::builders::DebugList::entries
     335 (0.3%)     1 (0.0%)  <toml::de::MapVisitor as serde::de::SeqAccess>::next_element_seed
     333 (0.3%)     9 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     332 (0.3%)     2 (0.1%)  <toml::de::InlineTableDeserializer as serde::de::MapAccess>::next_key_seed
     328 (0.3%)     1 (0.0%)  toml::de::Deserializer::key_value
     323 (0.3%)     7 (0.2%)  core::option::Option<T>::ok_or
     320 (0.3%)     2 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::split_leaf_data
     318 (0.3%)     6 (0.2%)  alloc::alloc::box_free
     316 (0.3%)     1 (0.0%)  toml::de::Header::next
     313 (0.3%)    31 (0.9%)  <&T as core::fmt::Debug>::fmt
