  Lines          Copies       Function name
  -----          ------       -------------
  305006 (100%)  7865 (100%)  (TOTAL)
    4610 (1.5%)     2 (0.0%)  <tonic::transport::service::reconnect::Reconnect<M,Target> as tower_service::Service<Request>>::poll_ready
    3808 (1.2%)    70 (0.9%)  std::panicking::try
    2900 (1.0%)    72 (0.9%)  tokio::loom::std::unsafe_cell::UnsafeCell<T>::with_mut
    2900 (1.0%)     1 (0.0%)  h2::proto::connection::DynConnection<B>::recv_frame
    2742 (0.9%)    48 (0.6%)  alloc::alloc::box_free
    2677 (0.9%)    44 (0.6%)  core::result::Result<T,E>::map_err
    2576 (0.8%)     2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_write
    2568 (0.8%)   128 (1.6%)  core::ptr::read
    2414 (0.8%)     1 (0.0%)  h2::proto::streams::prioritize::Prioritize::pop_frame
    2388 (0.8%)     4 (0.1%)  hyper::proto::h1::io::WriteBuf<B>::buffer
    2344 (0.8%)     2 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::parse
    2310 (0.8%)    70 (0.9%)  std::panicking::try::do_catch
    2266 (0.7%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::require_empty_read
    2248 (0.7%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_read_body
    2114 (0.7%)    14 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::drop_join_handle_slow
    2114 (0.7%)    14 (0.2%)  tokio::runtime::task::list::OwnedTasks<S>::bind
    2077 (0.7%)     1 (0.0%)  <hyper::proto::h2::client::ClientTask<B> as core::future::future::Future>::poll
    2036 (0.7%)     1 (0.0%)  h2::codec::framed_write::Encoder<B>::buffer
    2003 (0.7%)    40 (0.5%)  core::mem::replace
    1984 (0.7%)     2 (0.0%)  h2::codec::framed_write::FramedWrite<T,B>::flush
    1982 (0.6%)    42 (0.5%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    1968 (0.6%)     2 (0.0%)  <h2::codec::framed_read::FramedRead<T> as futures_core::stream::Stream>::poll_next
    1820 (0.6%)    14 (0.2%)  tokio::runtime::basic_scheduler::Spawner::spawn
    1778 (0.6%)    14 (0.2%)  tokio::runtime::task::harness::poll_future
    1762 (0.6%)     2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_read_head
    1754 (0.6%)     2 (0.0%)  h2::proto::connection::Connection<T,P,B>::poll
    1750 (0.6%)    70 (0.9%)  std::panicking::try::do_call
    1727 (0.6%)     1 (0.0%)  <tower::buffer::worker::Worker<T,Request> as core::future::future::Future>::poll
    1724 (0.6%)     2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_read
    1720 (0.6%)   204 (2.6%)  core::pin::Pin<P>::new_unchecked
    1710 (0.6%)    35 (0.4%)  core::option::Option<T>::map
    1700 (0.6%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_read_head
    1670 (0.5%)    89 (1.1%)  core::ops::function::FnOnce::call_once
    1652 (0.5%)     2 (0.0%)  hyper::client::conn::Builder::handshake::{{closure}}
    1626 (0.5%)     2 (0.0%)  h2::proto::streams::prioritize::Prioritize::poll_complete
    1622 (0.5%)     2 (0.0%)  hyper::proto::h1::decode::Decoder::decode
    1576 (0.5%)     2 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::maybe_notify
    1554 (0.5%)    18 (0.2%)  core::task::poll::Poll<core::result::Result<T,E>>::map_err
