  Lines         Copies      Function name
  -----         ------      -------------
  24918 (100%)  568 (100%)  (TOTAL)
   2263 (9.1%)    1 (0.2%)  tonic_build::server::generate
   1301 (5.2%)    1 (0.2%)  tonic_build::client::generate
    845 (3.4%)    1 (0.2%)  tonic_build::server::generate_streaming
    841 (3.4%)    1 (0.2%)  tonic_build::server::generate_server_streaming
    806 (3.2%)    1 (0.2%)  tonic_build::server::generate_trait_methods
    758 (3.0%)    1 (0.2%)  tonic_build::server::generate_client_streaming
    754 (3.0%)    1 (0.2%)  tonic_build::server::generate_unary
    475 (1.9%)    1 (0.2%)  tonic_build::client::generate_streaming
    474 (1.9%)    1 (0.2%)  tonic_build::client::generate_server_streaming
    470 (1.9%)    1 (0.2%)  tonic_build::server::generate_methods
    469 (1.9%)    1 (0.2%)  tonic_build::client::generate_client_streaming
    468 (1.9%)    1 (0.2%)  tonic_build::client::generate_unary
    432 (1.7%)    2 (0.4%)  <F as syn::parse::Parser>::parse2
    379 (1.5%)    1 (0.2%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::size_hint
    302 (1.2%)    1 (0.2%)  tonic_build::fmt
    294 (1.2%)    7 (1.2%)  core::result::Result<T,E>::unwrap
    261 (1.0%)    1 (0.2%)  core::char::methods::encode_utf8_raw
    260 (1.0%)    1 (0.2%)  tonic_build::client::generate_connect
    239 (1.0%)    2 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    235 (0.9%)    1 (0.2%)  <tonic_build::prost::ServiceGenerator as prost_build::ServiceGenerator>::finalize
    225 (0.9%)    1 (0.2%)  tonic_build::client::generate_methods
    216 (0.9%)    3 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    204 (0.8%)    1 (0.2%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    189 (0.8%)    1 (0.2%)  tonic_build::prost::<impl tonic_build::Method for prost_build::ast::Method>::request_response_name::{{closure}}
    185 (0.7%)    2 (0.4%)  alloc::vec::Vec<T,A>::extend_desugared
    163 (0.7%)    1 (0.2%)  tonic_build::server::generate_trait
    160 (0.6%)    8 (1.4%)  core::ptr::read
    158 (0.6%)    2 (0.4%)  syn::parse::Parser::parse_str
    157 (0.6%)    1 (0.2%)  tonic_build::match_name
    155 (0.6%)    1 (0.2%)  <tonic_build::prost::Builder as core::fmt::Debug>::fmt
    154 (0.6%)    4 (0.7%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
    154 (0.6%)    1 (0.2%)  tonic_build::prost::configure
    145 (0.6%)    1 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    140 (0.6%)    2 (0.4%)  alloc::alloc::box_free
    134 (0.5%)    1 (0.2%)  tonic_build::generate_doc_comment
    132 (0.5%)    2 (0.4%)  tonic_build::generate_attributes::{{closure}}
    132 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<std::sys::unix::process::process_common::Command>
    132 (0.5%)    1 (0.2%)  core::ptr::drop_in_place<tonic_build::prost::Builder>
    124 (0.5%)    1 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    122 (0.5%)    1 (0.2%)  tonic_build::prost::<impl tonic_build::Method for prost_build::ast::Method>::request_response_name
    111 (0.4%)    3 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    106 (0.4%)    1 (0.2%)  tonic_build::server::generate_transport
    101 (0.4%)    1 (0.2%)  <proc_macro2::imp::TokenStream as core::iter::traits::collect::Extend<proc_macro2::TokenTree>>::extend
    101 (0.4%)    1 (0.2%)  alloc::collections::btree::navigate::<impl alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Dying,K,V,alloc::collections::btree::node::marker::Leaf>,alloc::collections::btree::node::marker::Edge>>::deallocating_next
    100 (0.4%)    2 (0.4%)  core::mem::replace
     98 (0.4%)    1 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
     97 (0.4%)    1 (0.2%)  alloc::alloc::Global::alloc_impl
     95 (0.4%)    9 (1.6%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     91 (0.4%)    2 (0.4%)  core::option::Option<T>::map
     88 (0.4%)    1 (0.2%)  <tonic_build::prost::ServiceGenerator as prost_build::ServiceGenerator>::generate
     87 (0.3%)    3 (0.5%)  core::fmt::ArgumentV1::new
     87 (0.3%)    3 (0.5%)  core::ptr::metadata::from_raw_parts_mut
     83 (0.3%)    1 (0.2%)  alloc::collections::btree::mem::replace
