  Lines        Copies      Function name
  -----        ------      -------------
  5894 (100%)  228 (100%)  (TOTAL)
   251 (4.3%)    1 (0.4%)  tower_retry::budget::Budget::new
   181 (3.1%)    1 (0.4%)  tower_retry::budget::Bucket::expire
   180 (3.1%)    1 (0.4%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
   163 (2.8%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
   145 (2.5%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   141 (2.4%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::shrink
   135 (2.3%)    1 (0.4%)  <std::sync::mutex::Mutex<T> as core::fmt::Debug>::fmt
   130 (2.2%)    2 (0.9%)  alloc::alloc::box_free
    97 (1.6%)    1 (0.4%)  alloc::alloc::Global::alloc_impl
    86 (1.5%)    1 (0.4%)  std::sync::poison::map_result
    84 (1.4%)    2 (0.9%)  alloc::boxed::Box<T,A>::from_raw_in
    78 (1.3%)    1 (0.4%)  core::iter::traits::iterator::Iterator::fold
    77 (1.3%)    1 (0.4%)  std::sync::mutex::Mutex<T>::try_lock
    76 (1.3%)    1 (0.4%)  alloc::vec::Vec<T,A>::into_boxed_slice
    72 (1.2%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::current_memory
    71 (1.2%)    1 (0.4%)  alloc::vec::Vec<T,A>::push
    69 (1.2%)    1 (0.4%)  alloc::boxed::Box<T,A>::into_unique
    67 (1.1%)    1 (0.4%)  core::fmt::builders::DebugList::entries
    66 (1.1%)    1 (0.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    66 (1.1%)    1 (0.4%)  <core::time::Duration as core::cmp::PartialOrd>::partial_cmp
    65 (1.1%)    1 (0.4%)  <tower_retry::budget::Bucket as core::fmt::Debug>::fmt
    65 (1.1%)    1 (0.4%)  core::result::Result<T,E>::expect
    63 (1.1%)    1 (0.4%)  alloc::raw_vec::RawVec<T,A>::into_box
    62 (1.1%)    1 (0.4%)  std::sync::mutex::Mutex<T>::new
    61 (1.0%)    1 (0.4%)  core::result::Result<T,E>::map_err
    59 (1.0%)    1 (0.4%)  core::fmt::Arguments::new_v1
    58 (1.0%)    2 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    58 (1.0%)    1 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    56 (1.0%)    1 (0.4%)  core::alloc::layout::Layout::array
    54 (0.9%)    1 (0.4%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
    54 (0.9%)    1 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    50 (0.8%)    5 (2.2%)  <&T as core::fmt::Debug>::fmt
    48 (0.8%)    1 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    48 (0.8%)    1 (0.4%)  core::slice::iter::Iter<T>::new
    47 (0.8%)    3 (1.3%)  core::mem::manually_drop::ManuallyDrop<T>::new
    46 (0.8%)    3 (1.3%)  core::ptr::unique::Unique<T>::new_unchecked
    46 (0.8%)    1 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    43 (0.7%)    1 (0.4%)  core::num::<impl isize>::checked_mul
