  Lines         Copies      Function name
  -----         ------      -------------
  20358 (100%)  916 (100%)  (TOTAL)
    381 (1.9%)    8 (0.9%)  core::mem::replace
    380 (1.9%)    9 (1.0%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    326 (1.6%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    273 (1.3%)    4 (0.4%)  tracing_core::dispatcher::get_default::{{closure}}
    239 (1.2%)    4 (0.4%)  core::result::Result<T,E>::map_err
    239 (1.2%)    3 (0.3%)  std::thread::local::LocalKey<T>::try_with
    237 (1.2%)    5 (0.5%)  core::slice::iter::Iter<T>::new
    237 (1.2%)    3 (0.3%)  core::iter::traits::iterator::Iterator::fold
    232 (1.1%)    8 (0.9%)  core::fmt::ArgumentV1::new
    222 (1.1%)   21 (2.3%)  <&T as core::fmt::Debug>::fmt
    216 (1.1%)    4 (0.4%)  core::slice::iter::Iter<T>::post_inc_start
    206 (1.0%)    1 (0.1%)  <tracing_core::metadata::Metadata as core::fmt::Debug>::fmt
    198 (1.0%)    2 (0.2%)  alloc::vec::Vec<T,A>::retain_mut::process_loop
    196 (1.0%)    9 (1.0%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    196 (1.0%)    5 (0.5%)  core::option::Option<T>::ok_or
    195 (1.0%)    2 (0.2%)  <tracing_core::metadata::LevelFilter as core::str::traits::FromStr>::from_str::{{closure}}
    194 (1.0%)    1 (0.1%)  core::sync::atomic::atomic_compare_exchange
    194 (1.0%)    1 (0.1%)  core::sync::atomic::atomic_compare_exchange_weak
    193 (0.9%)    1 (0.1%)  alloc::alloc::Global::grow_impl
    184 (0.9%)    4 (0.4%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    165 (0.8%)    3 (0.3%)  <tracing_core::metadata::Level as core::str::traits::FromStr>::from_str::{{closure}}
    158 (0.8%)    3 (0.3%)  core::option::Option<T>::map
    152 (0.7%)    1 (0.1%)  alloc::raw_vec::finish_grow
    144 (0.7%)    2 (0.2%)  alloc::raw_vec::RawVec<T,A>::current_memory
    143 (0.7%)    8 (0.9%)  core::ptr::read
    137 (0.7%)    4 (0.4%)  core::cell::Cell<T>::replace
    133 (0.7%)    2 (0.2%)  alloc::vec::Vec<T,A>::push
    122 (0.6%)    1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
    118 (0.6%)    1 (0.1%)  alloc::sync::Weak<T>::upgrade
    112 (0.6%)    2 (0.2%)  core::alloc::layout::Layout::array
    110 (0.5%)    2 (0.2%)  tracing_core::callsite::Registry::rebuild_interest::{{closure}}
    109 (0.5%)    3 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    106 (0.5%)    2 (0.2%)  alloc::alloc::box_free
    102 (0.5%)   10 (1.1%)  core::ptr::write
    102 (0.5%)    1 (0.1%)  tracing_core::dispatcher::Entered::current
     97 (0.5%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     97 (0.5%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
     95 (0.5%)    1 (0.1%)  tracing_core::dispatcher::set_global_default
     93 (0.5%)    2 (0.2%)  core::result::Result<T,E>::ok
