  Lines         Copies       Function name
  -----         ------       -------------
  26607 (100%)  1120 (100%)  (TOTAL)
    656 (2.5%)    13 (1.2%)  core::option::Option<T>::map
    464 (1.7%)    10 (0.9%)  core::mem::replace
    440 (1.7%)     6 (0.5%)  std::thread::local::LocalKey<T>::try_with
    373 (1.4%)     8 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    326 (1.2%)     2 (0.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    311 (1.2%)    17 (1.5%)  core::ops::function::FnOnce::call_once
    292 (1.1%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    279 (1.0%)    15 (1.3%)  core::ptr::read
    267 (1.0%)     4 (0.4%)  tracing_core::dispatcher::get_default::{{closure}}
    265 (1.0%)     5 (0.4%)  std::sync::once::Once::call_once
    261 (1.0%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    228 (0.9%)     1 (0.1%)  <tracing_log::trace_logger::TraceLogger as tracing_core::subscriber::Subscriber>::enter
    217 (0.8%)     1 (0.1%)  <tracing_log::trace_logger::TraceLogger as tracing_core::subscriber::Subscriber>::event
    216 (0.8%)     3 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    209 (0.8%)     1 (0.1%)  tracing_log::dispatch_record::{{closure}}
    200 (0.8%)     4 (0.4%)  core::result::Result<T,E>::expect
    195 (0.7%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::rehash_in_place
    192 (0.7%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    185 (0.7%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::new_uninitialized
    180 (0.7%)     1 (0.1%)  <alloc::alloc::Global as core::alloc::Allocator>::shrink
    173 (0.7%)     8 (0.7%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    172 (0.6%)     1 (0.1%)  core::hash::sip::u8to64_le
    166 (0.6%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::fallible_with_capacity
    165 (0.6%)     5 (0.4%)  lazy_static::lazy::Lazy<T>::get
    155 (0.6%)     9 (0.8%)  core::option::Option<T>::unwrap
    155 (0.6%)     1 (0.1%)  hashbrown::raw::RawTableInner<A>::resize_inner
    154 (0.6%)     1 (0.1%)  <tracing_log::trace_logger::TraceLogger as tracing_core::subscriber::Subscriber>::new_span
    150 (0.6%)    16 (1.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    145 (0.5%)     5 (0.4%)  core::fmt::ArgumentV1::new
    145 (0.5%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    141 (0.5%)     1 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
    138 (0.5%)     2 (0.2%)  std::thread::local::lazy::LazyKeyInner<T>::initialize
