  Lines         Copies       Function name
  -----         ------       -------------
  42780 (100%)  1444 (100%)  (TOTAL)
   1707 (4.0%)    35 (2.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    709 (1.7%)    32 (2.2%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    658 (1.5%)    13 (0.9%)  core::option::Option<T>::map
    657 (1.5%)     1 (0.1%)  tungstenite::handshake::machine::HandshakeMachine<Stream>::single_round
    522 (1.2%)    18 (1.2%)  core::fmt::ArgumentV1::new
    446 (1.0%)     1 (0.1%)  tungstenite::handshake::client::generate_request
    426 (1.0%)     2 (0.1%)  http::response::Builder::header::{{closure}}
    411 (1.0%)     1 (0.1%)  http::header::name::StandardHeader::as_str
    392 (0.9%)     7 (0.5%)  core::result::Result<T,E>::map_err
    361 (0.8%)     1 (0.1%)  tungstenite::client::connect_with_config::try_client_handshake
    349 (0.8%)     1 (0.1%)  tungstenite::handshake::client::ClientHandshake<S>::start
    348 (0.8%)     4 (0.3%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    330 (0.8%)    33 (2.3%)  <&T as core::fmt::Debug>::fmt
    326 (0.8%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    316 (0.7%)     5 (0.3%)  core::result::Result<T,E>::and_then
    312 (0.7%)     3 (0.2%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    304 (0.7%)     6 (0.4%)  <core::option::Option<T> as core::fmt::Debug>::fmt
    296 (0.7%)     1 (0.1%)  tungstenite::handshake::server::<impl tungstenite::handshake::headers::FromHttparse<httparse::Request> for http::request::Request<()>>::from_httparse
    292 (0.7%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds
    291 (0.7%)     1 (0.1%)  <tungstenite::error::ProtocolError as core::fmt::Display>::fmt
    290 (0.7%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    288 (0.7%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_exact
    279 (0.7%)     1 (0.1%)  tungstenite::handshake::server::create_parts
    268 (0.6%)     1 (0.1%)  http::header::map::HeaderMap<T>::append2
    261 (0.6%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    260 (0.6%)     2 (0.1%)  rand::distributions::other::<impl rand::distributions::distribution::Distribution<[T; _]> for rand::distributions::Standard>::sample
    256 (0.6%)     1 (0.1%)  tungstenite::handshake::MidHandshake<Role>::handshake
    254 (0.6%)     1 (0.1%)  std::net::each_addr
    234 (0.5%)     4 (0.3%)  alloc::alloc::box_free
    229 (0.5%)     1 (0.1%)  <tungstenite::handshake::client::ClientHandshake<S> as tungstenite::handshake::HandshakeRole>::stage_finished
    227 (0.5%)     1 (0.1%)  http::header::map::HeaderMap<T>::grow
    216 (0.5%)     4 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    215 (0.5%)     4 (0.3%)  core::mem::replace
    212 (0.5%)     4 (0.3%)  <http::header::name::Repr<T> as core::hash::Hash>::hash
    212 (0.5%)     2 (0.1%)  http::header::value::HeaderValue::try_from_generic
    211 (0.5%)     1 (0.1%)  <tungstenite::error::Error as core::fmt::Display>::fmt
    211 (0.5%)     1 (0.1%)  <tungstenite::error::ProtocolError as core::fmt::Debug>::fmt
    206 (0.5%)     1 (0.1%)  http::header::map::append_value
    204 (0.5%)     3 (0.2%)  core::iter::traits::iterator::Iterator::fold
    197 (0.5%)     2 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    195 (0.5%)     1 (0.1%)  tungstenite::handshake::client::<impl tungstenite::handshake::headers::FromHttparse<httparse::Response> for http::response::Response<()>>::from_httparse
    194 (0.5%)     2 (0.1%)  base64::encode::encode_config
    192 (0.4%)     4 (0.3%)  core::slice::iter::Iter<T>::new
    192 (0.4%)     1 (0.1%)  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write
    191 (0.4%)     1 (0.1%)  http::header::map::HeaderMap<T>::reserve_one
    190 (0.4%)     3 (0.2%)  core::result::Result<T,E>::map
    189 (0.4%)     1 (0.1%)  tungstenite::protocol::WebSocketContext::do_close
    188 (0.4%)     4 (0.3%)  core::option::Option<T>::ok_or
    187 (0.4%)     1 (0.1%)  <tungstenite::error::Error as core::fmt::Debug>::fmt
    186 (0.4%)     1 (0.1%)  <http::header::map::HeaderMap as tungstenite::handshake::headers::FromHttparse<&[httparse::Header]>>::from_httparse
    186 (0.4%)     1 (0.1%)  http::header::map::HeaderMap<T>::rebuild
    184 (0.4%)     4 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    180 (0.4%)     4 (0.3%)  core::option::Option<T>::and_then
    172 (0.4%)     1 (0.1%)  core::hash::sip::u8to64_le
    172 (0.4%)     1 (0.1%)  tungstenite::protocol::frame::frame::Frame::close
    165 (0.4%)     1 (0.1%)  <tungstenite::protocol::frame::coding::CloseCode as core::fmt::Debug>::fmt
    161 (0.4%)     1 (0.1%)  http::header::map::HeaderMap<T>::find
    161 (0.4%)     1 (0.1%)  tungstenite::handshake::client::VerifyData::verify_response
    159 (0.4%)     1 (0.1%)  <tungstenite::protocol::frame::coding::OpCode as core::convert::From<u8>>::from
    157 (0.4%)     1 (0.1%)  tungstenite::protocol::message::Message::into_text
    149 (0.3%)    17 (1.2%)  <T as core::convert::Into<U>>::into
    144 (0.3%)     2 (0.1%)  alloc::raw_vec::RawVec<T,A>::current_memory
    141 (0.3%)     1 (0.1%)  tungstenite::client::connect_to_some
    140 (0.3%)     1 (0.1%)  tungstenite::handshake::headers::<impl tungstenite::handshake::machine::TryParse for http::header::map::HeaderMap>::try_parse
    138 (0.3%)     1 (0.1%)  <tungstenite::protocol::frame::frame::Frame as core::fmt::Display>::fmt
    138 (0.3%)     1 (0.1%)  tungstenite::handshake::client::<impl tungstenite::handshake::machine::TryParse for http::response::Response<()>>::try_parse
    138 (0.3%)     1 (0.1%)  tungstenite::handshake::server::<impl tungstenite::handshake::machine::TryParse for http::request::Request<()>>::try_parse
    137 (0.3%)     1 (0.1%)  hashbrown::raw::TableLayout::calculate_layout_for
    135 (0.3%)     1 (0.1%)  alloc::collections::vec_deque::ring_slices::RingSlices::ring_slices
    134 (0.3%)     2 (0.1%)  <http::header::name::MaybeLower as core::hash::Hash>::hash
    133 (0.3%)     1 (0.1%)  tungstenite::client::connect_with_config::create_request
    132 (0.3%)     1 (0.1%)  tungstenite::protocol::message::Message::to_text
    130 (0.3%)     5 (0.3%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
    130 (0.3%)     1 (0.1%)  <tungstenite::protocol::message::Message as core::fmt::Debug>::fmt
    128 (0.3%)     2 (0.1%)  alloc::vec::Vec<T,A>::push
    128 (0.3%)     1 (0.1%)  tungstenite::client::client_with_config
    126 (0.3%)     1 (0.1%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    121 (0.3%)     1 (0.1%)  http::request::Builder::method::{{closure}}
    116 (0.3%)     4 (0.3%)  core::ptr::metadata::from_raw_parts_mut
    112 (0.3%)     2 (0.1%)  core::alloc::layout::Layout::array
    110 (0.3%)     5 (0.3%)  core::ptr::read
    110 (0.3%)     1 (0.1%)  http::header::map::HeaderMap<T>::reinsert_entry_in_order
    108 (0.3%)     3 (0.2%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
    108 (0.3%)     2 (0.1%)  core::slice::iter::IterMut<T>::post_inc_start
    107 (0.3%)     1 (0.1%)  <tungstenite::error::Error as std::error::Error>::source
    106 (0.2%)     1 (0.1%)  http::request::Builder::uri::{{closure}}
    106 (0.2%)     1 (0.1%)  tungstenite::protocol::message::IncompleteMessage::complete
    104 (0.2%)     1 (0.1%)  <tungstenite::error::ProtocolError as std::error::Error>::source
    101 (0.2%)     1 (0.1%)  <http::header::name::HeaderName as core::cmp::PartialEq<http::header::name::HdrName>>::eq
    101 (0.2%)     1 (0.1%)  <tungstenite::protocol::frame::coding::CloseCode as core::convert::From<u16>>::from
    100 (0.2%)    10 (0.7%)  <&T as core::fmt::Display>::fmt
    100 (0.2%)     2 (0.1%)  core::result::Result<T,E>::expect
    100 (0.2%)     1 (0.1%)  <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::c_rounds
     99 (0.2%)     1 (0.1%)  <http::header::name::Repr<T> as core::cmp::PartialEq>::eq
     97 (0.2%)     1 (0.1%)  <core::result::Result<T,E> as tungstenite::util::NonBlockingResult>::no_block
     97 (0.2%)     1 (0.1%)  <http::header::map::HeaderMap<T> as core::clone::Clone>::clone
     97 (0.2%)     1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.2%)     2 (0.1%)  core::slice::iter::IterMut<T>::new
     95 (0.2%)     1 (0.1%)  <http::method::Inner as core::cmp::PartialEq>::eq
     92 (0.2%)     2 (0.1%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
     91 (0.2%)     1 (0.1%)  <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
     91 (0.2%)     1 (0.1%)  std::io::Write::write_fmt
     90 (0.2%)     1 (0.1%)  alloc::vec::Vec<T,A>::drain
     90 (0.2%)     1 (0.1%)  http::header::map::HeaderMap<T>::insert_phase_two
     88 (0.2%)     1 (0.1%)  core::str::iter::SplitInternal<P>::get_end
     87 (0.2%)     3 (0.2%)  core::ptr::metadata::from_raw_parts
     87 (0.2%)     1 (0.1%)  <alloc::string::String as core::iter::traits::collect::FromIterator<alloc::string::String>>::from_iter
     87 (0.2%)     1 (0.1%)  tungstenite::handshake::server::create_response
     87 (0.2%)     1 (0.1%)  tungstenite::protocol::message::Message::into_data
     86 (0.2%)     2 (0.1%)  http::header::map::hash_elem_using
     86 (0.2%)     1 (0.1%)  core::str::iter::SplitInternal<P>::next
     85 (0.2%)     1 (0.1%)  <http::method::Inner as core::clone::Clone>::clone
     84 (0.2%)     7 (0.5%)  core::ptr::mut_ptr::<impl *mut T>::offset
     84 (0.2%)     1 (0.1%)  <tungstenite::error::Error as tungstenite::util::NonBlockingError>::into_non_blocking
     84 (0.2%)     1 (0.1%)  <tungstenite::protocol::message::Message as core::fmt::Display>::fmt
     83 (0.2%)     7 (0.5%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     83 (0.2%)     1 (0.1%)  <tungstenite::protocol::WebSocketContext as core::fmt::Debug>::fmt
     83 (0.2%)     1 (0.1%)  alloc::collections::vec_deque::VecDeque<T,A>::handle_capacity_increase
     83 (0.2%)     1 (0.1%)  http::header::name::HdrName::from_bytes
     82 (0.2%)     2 (0.1%)  core::option::Option<T>::unwrap_or_else
     82 (0.2%)     1 (0.1%)  <std::io::Write::write_fmt::Adapter<T> as core::fmt::Write>::write_str
     82 (0.2%)     1 (0.1%)  http::header::map::do_insert_phase_two
     82 (0.2%)     1 (0.1%)  http::response::Builder::status::{{closure}}
     80 (0.2%)     5 (0.3%)  core::slice::<impl [T]>::len
     80 (0.2%)     3 (0.2%)  core::option::Option<T>::expect
     80 (0.2%)     1 (0.1%)  tungstenite::protocol::WebSocketContext::new
     79 (0.2%)     1 (0.1%)  <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
     79 (0.2%)     1 (0.1%)  alloc::string::String::from_utf8
     78 (0.2%)     2 (0.1%)  <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     78 (0.2%)     2 (0.1%)  core::iter::traits::iterator::Iterator::for_each
     78 (0.2%)     1 (0.1%)  <generic_array::GenericArray<T,N> as generic_array::sequence::GenericSequence<T>>::generate
