  Lines         Copies       Function name
  -----         ------       -------------
  61997 (100%)  1827 (100%)  (TOTAL)
   1916 (3.1%)     1 (0.1%)  typed_builder::struct_info::StructInfo::field_impl
   1910 (3.1%)    13 (0.7%)  syn::error::Error::new_spanned
   1773 (2.9%)     1 (0.1%)  typed_builder::field_info::FieldBuilderAttr::apply_meta
   1293 (2.1%)     1 (0.1%)  typed_builder::struct_info::StructInfo::builder_creation_impl
   1144 (1.8%)    13 (0.7%)  core::option::Option<T>::map_or_else
   1118 (1.8%)    13 (0.7%)  core::option::Option<T>::map_or
   1080 (1.7%)     5 (0.3%)  <F as syn::parse::Parser>::parse2
    986 (1.6%)     1 (0.1%)  typed_builder::field_info::SetterSettings::apply_meta
    978 (1.6%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    870 (1.4%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    858 (1.4%)    26 (1.4%)  syn::error::Error::new_spanned::{{closure}}
    856 (1.4%)    11 (0.6%)  core::iter::traits::iterator::Iterator::fold
    798 (1.3%)     1 (0.1%)  typed_builder::struct_info::TypeBuilderAttr::apply_meta
    792 (1.3%)     7 (0.4%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
    776 (1.3%)    18 (1.0%)  core::option::Option<T>::map
    688 (1.1%)     1 (0.1%)  typed_builder::struct_info::StructInfo::required_field_impl
    673 (1.1%)     1 (0.1%)  typed_builder::struct_info::StructInfo::build_method_impl
    652 (1.1%)     1 (0.1%)  typed_builder::impl_my_derive
    609 (1.0%)    13 (0.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    570 (0.9%)     6 (0.3%)  alloc::vec::Vec<T,A>::extend_desugared
    544 (0.9%)    11 (0.6%)  core::option::Option<T>::ok_or_else
    526 (0.8%)    11 (0.6%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend
    503 (0.8%)     7 (0.4%)  alloc::alloc::box_free
    480 (0.8%)     4 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
    466 (0.8%)     1 (0.1%)  typed_builder::field_info::FieldBuilderAttr::with
    463 (0.7%)     7 (0.4%)  typed_builder::struct_info::StructInfo::field_impl::{{closure}}
    459 (0.7%)     5 (0.3%)  typed_builder::struct_info::StructInfo::build_method_impl::{{closure}}
    446 (0.7%)     4 (0.2%)  proc_macro::bridge::scoped_cell::ScopedCell<T>::replace
    433 (0.7%)     1 (0.1%)  typed_builder::struct_info::StructInfo::conversion_helper_impl
    433 (0.7%)     1 (0.1%)  typed_builder::struct_info::TypeBuilderAttr::new
    432 (0.7%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    427 (0.7%)     9 (0.5%)  core::mem::replace
    427 (0.7%)     1 (0.1%)  typed_builder::struct_info::StructInfo::new
    424 (0.7%)    22 (1.2%)  core::iter::adapters::map::Map<I,F>::new
    410 (0.7%)     7 (0.4%)  core::iter::adapters::map::map_fold::{{closure}}
    406 (0.7%)     7 (0.4%)  core::iter::traits::exact_size::ExactSizeIterator::len
    388 (0.6%)     5 (0.3%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
    374 (0.6%)     7 (0.4%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::fold
    360 (0.6%)     4 (0.2%)  core::iter::traits::iterator::Iterator::try_fold
    336 (0.5%)     6 (0.3%)  core::alloc::layout::Layout::array
    320 (0.5%)     3 (0.2%)  typed_builder::struct_info::StructInfo::required_field_impl::{{closure}}
    312 (0.5%)    12 (0.7%)  quote::to_tokens::ToTokens::to_token_stream
    304 (0.5%)    22 (1.2%)  core::iter::traits::iterator::Iterator::map
    295 (0.5%)     5 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
    286 (0.5%)     4 (0.2%)  core::iter::adapters::process_results
    286 (0.5%)     4 (0.2%)  std::thread::local::LocalKey<T>::try_with
    280 (0.5%)    12 (0.7%)  quote::to_tokens::ToTokens::into_token_stream
    261 (0.4%)    14 (0.8%)  core::ptr::read
    261 (0.4%)     1 (0.1%)  core::char::methods::encode_utf8_raw
    260 (0.4%)     2 (0.1%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    254 (0.4%)     1 (0.1%)  typed_builder::field_info::FieldInfo::new
    245 (0.4%)     5 (0.3%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
    245 (0.4%)     5 (0.3%)  syn::punctuated::Punctuated<T,P>::push
    239 (0.4%)     4 (0.2%)  core::iter::adapters::map::map_try_fold::{{closure}}
    235 (0.4%)     5 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
    234 (0.4%)     6 (0.3%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
    232 (0.4%)     8 (0.4%)  core::ptr::metadata::from_raw_parts_mut
    230 (0.4%)     6 (0.3%)  core::iter::traits::iterator::Iterator::for_each
    228 (0.4%)     4 (0.2%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
    228 (0.4%)     4 (0.2%)  core::result::Result<T,E>::map
    222 (0.4%)     6 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    220 (0.4%)     5 (0.3%)  <core::iter::adapters::filter::Filter<I,P> as core::iter::traits::iterator::Iterator>::count
    216 (0.3%)     4 (0.2%)  core::slice::iter::Iter<T>::post_inc_start
    216 (0.3%)     3 (0.2%)  alloc::vec::Vec<T,A>::insert
    216 (0.3%)     3 (0.2%)  core::iter::adapters::filter::filter_try_fold::{{closure}}
    216 (0.3%)     2 (0.1%)  alloc::vec::splice::<impl alloc::vec::drain::Drain<T,A>>::fill
    212 (0.3%)     3 (0.2%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::Extend<T>>::extend
    204 (0.3%)     2 (0.1%)  proc_macro::bridge::buffer::Buffer<T>::extend_from_array
    203 (0.3%)     1 (0.1%)  typed_builder::field_info::parse_transform_closure
    200 (0.3%)     4 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::size_hint
    198 (0.3%)    16 (0.9%)  core::mem::manually_drop::ManuallyDrop<T>::new
    198 (0.3%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::new_in
    195 (0.3%)     5 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
    192 (0.3%)     4 (0.2%)  <core::option::Item<A> as core::iter::traits::iterator::Iterator>::size_hint
    192 (0.3%)     4 (0.2%)  core::slice::iter::Iter<T>::new
    190 (0.3%)     2 (0.1%)  core::iter::traits::double_ended::DoubleEndedIterator::advance_back_by
    190 (0.3%)     2 (0.1%)  core::iter::traits::iterator::Iterator::advance_by
    188 (0.3%)    12 (0.7%)  core::ops::function::FnOnce::call_once
    185 (0.3%)     5 (0.3%)  <core::iter::adapters::filter::Filter<I,P> as core::iter::traits::iterator::Iterator>::count::to_usize::{{closure}}
    184 (0.3%)     4 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
    180 (0.3%)     4 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold
    176 (0.3%)    11 (0.6%)  alloc::raw_vec::RawVec<T,A>::capacity
    176 (0.3%)     4 (0.2%)  syn::parse::Parser::parse
    176 (0.3%)     4 (0.2%)  typed_builder::struct_info::StructInfo::modify_generics
    175 (0.3%)     5 (0.3%)  core::ptr::const_ptr::<impl *const T>::offset_from
    174 (0.3%)     2 (0.1%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
    170 (0.3%)     5 (0.3%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
    170 (0.3%)     2 (0.1%)  <syn::punctuated::Punctuated<T,P> as core::iter::traits::collect::IntoIterator>::into_iter
    168 (0.3%)     1 (0.1%)  proc_macro::bridge::client::run_client::{{closure}}::{{closure}}
    167 (0.3%)     4 (0.2%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
    165 (0.3%)     9 (0.5%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    164 (0.3%)     2 (0.1%)  syn::punctuated::Punctuated<T,P>::insert
    163 (0.3%)     4 (0.2%)  core::result::Result<T,E>::unwrap
    163 (0.3%)     2 (0.1%)  <core::result::Result<T,E> as proc_macro::bridge::rpc::Encode<S>>::encode
    161 (0.3%)     4 (0.2%)  typed_builder::struct_info::StructInfo::builder_creation_impl::{{closure}}
    159 (0.3%)     5 (0.3%)  typed_builder::field_info::FieldBuilderAttr::apply_meta::{{closure}}
    151 (0.2%)     1 (0.1%)  alloc::string::String::replace_range
    150 (0.2%)     2 (0.1%)  typed_builder::util::type_tuple
    148 (0.2%)     3 (0.2%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
    147 (0.2%)     7 (0.4%)  core::iter::adapters::filter::Filter<I,P>::new
    147 (0.2%)     1 (0.1%)  typed_builder::derive_typed_builder
    145 (0.2%)    15 (0.8%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    145 (0.2%)     1 (0.1%)  typed_builder::field_info::FieldBuilderAttr::inter_fields_conflicts
    144 (0.2%)     4 (0.2%)  core::option::Option<T>::or_else
    140 (0.2%)     3 (0.2%)  core::result::Result<T,E>::unwrap_or_else
    138 (0.2%)     6 (0.3%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
    138 (0.2%)     2 (0.1%)  typed_builder::util::modify_types_generics_hack::{{closure}}
    136 (0.2%)     2 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
    133 (0.2%)     5 (0.3%)  <alloc::vec::Vec<T,A> as alloc::vec::spec_extend::SpecExtend<T,I>>::spec_extend::{{closure}}
    132 (0.2%)    11 (0.6%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
    132 (0.2%)    11 (0.6%)  core::ptr::const_ptr::<impl *const T>::offset
    132 (0.2%)    11 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
    132 (0.2%)     3 (0.2%)  core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::from_try
    130 (0.2%)     2 (0.1%)  core::result::Result<T,E>::map_err
    129 (0.2%)     3 (0.2%)  core::result::Result<T,E>::expect
    128 (0.2%)     8 (0.4%)  alloc::raw_vec::RawVec<T,A>::reserve
    127 (0.2%)     1 (0.1%)  std::panicking::update_hook
    126 (0.2%)     1 (0.1%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    123 (0.2%)     1 (0.1%)  typed_builder::field_info::FieldInfo::type_from_inside_option
    122 (0.2%)     6 (0.3%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
    122 (0.2%)     1 (0.1%)  core::slice::index::range
    120 (0.2%)    12 (0.7%)  <&T as quote::to_tokens::ToTokens>::to_tokens
    120 (0.2%)    10 (0.5%)  core::ptr::unique::Unique<T>::cast
    120 (0.2%)     8 (0.4%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
    120 (0.2%)     8 (0.4%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
    120 (0.2%)     8 (0.4%)  core::ptr::slice_from_raw_parts_mut
    120 (0.2%)     8 (0.4%)  quote::__private::ext::RepIteratorExt::quote_into_iter
    120 (0.2%)     3 (0.2%)  <core::iter::adapters::filter::Filter<I,P> as core::iter::traits::iterator::Iterator>::try_fold
    120 (0.2%)     3 (0.2%)  core::option::Option<T>::ok_or
    119 (0.2%)     2 (0.1%)  proc_macro::bridge::client::<impl proc_macro::bridge::Bridge>::with::{{closure}}
    118 (0.2%)    19 (1.0%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
    117 (0.2%)     3 (0.2%)  core::ops::control_flow::ControlFlow<B,C>::break_value
    117 (0.2%)     3 (0.2%)  proc_macro::bridge::client::BridgeState::with::{{closure}}::{{closure}}
    116 (0.2%)     4 (0.2%)  <core::option::Option<T> as core::clone::Clone>::clone
    116 (0.2%)     4 (0.2%)  core::fmt::ArgumentV1::new
    116 (0.2%)     4 (0.2%)  core::ptr::metadata::from_raw_parts
    116 (0.2%)     2 (0.1%)  typed_builder::util::modify_types_generics_hack
    108 (0.2%)     2 (0.1%)  core::slice::iter::Iter<T>::pre_dec_end
    108 (0.2%)     1 (0.1%)  <alloc::vec::splice::Splice<I,A> as core::ops::drop::Drop>::drop
    107 (0.2%)    13 (0.7%)  core::iter::traits::iterator::Iterator::collect
