  Lines        Copies      Function name
  -----        ------      -------------
  2097 (100%)  110 (100%)  (TOTAL)
   145 (6.9%)    1 (0.9%)  alloc::raw_vec::RawVec<T,A>::allocate_in
   129 (6.2%)    1 (0.9%)  <uname::Info as core::convert::From<libc::unix::linux_like::utsname>>::from
    97 (4.6%)    1 (0.9%)  alloc::alloc::Global::alloc_impl
    80 (3.8%)    2 (1.8%)  core::option::Option<T>::ok_or
    74 (3.5%)    1 (0.9%)  <uname::Info as core::fmt::Debug>::fmt
    72 (3.4%)    1 (0.9%)  alloc::raw_vec::RawVec<T,A>::current_memory
    68 (3.2%)    2 (1.8%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    56 (2.7%)    1 (0.9%)  core::alloc::layout::Layout::array
    52 (2.5%)    1 (0.9%)  <T as alloc::slice::hack::ConvertVec>::to_vec
    43 (2.1%)    1 (0.9%)  core::num::<impl usize>::checked_mul
    43 (2.1%)    1 (0.9%)  core::num::<impl usize>::overflowing_mul
    43 (2.1%)    1 (0.9%)  uname::Info::new
    37 (1.8%)    1 (0.9%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
    36 (1.7%)    2 (1.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    33 (1.6%)    1 (0.9%)  alloc::borrow::Cow<B>::into_owned
    33 (1.6%)    1 (0.9%)  alloc::raw_vec::RawVec<T,A>::new_in
    29 (1.4%)    1 (0.9%)  core::ptr::metadata::from_raw_parts
    29 (1.4%)    1 (0.9%)  core::ptr::metadata::from_raw_parts_mut
    29 (1.4%)    1 (0.9%)  std::ffi::c_str::CStr::from_ptr
    28 (1.3%)    1 (0.9%)  alloc::raw_vec::alloc_guard
    27 (1.3%)    1 (0.9%)  <alloc::alloc::Global as core::alloc::Allocator>::deallocate
    27 (1.3%)    1 (0.9%)  core::ptr::drop_in_place<alloc::vec::Vec<u8>>
    26 (1.2%)    2 (1.8%)  core::ptr::non_null::NonNull<T>::new_unchecked
    20 (1.0%)    2 (1.8%)  <&T as core::fmt::Debug>::fmt
    20 (1.0%)    1 (0.9%)  core::alloc::layout::Layout::from_size_align_unchecked
    19 (0.9%)    2 (1.8%)  <T as core::convert::Into<U>>::into
    19 (0.9%)    1 (0.9%)  core::ptr::non_null::NonNull<[T]>::slice_from_raw_parts
    19 (0.9%)    1 (0.9%)  core::str::<impl str>::as_bytes
    19 (0.9%)    1 (0.9%)  core::str::converts::from_utf8_unchecked
    18 (0.9%)    1 (0.9%)  <alloc::collections::TryReserveError as core::convert::From<alloc::collections::TryReserveErrorKind>>::from
    17 (0.8%)    1 (0.9%)  alloc::vec::Vec<T,A>::with_capacity_in
    17 (0.8%)    1 (0.9%)  core::ptr::non_null::NonNull<T>::new
    17 (0.8%)    1 (0.9%)  std::io::error::Error::from_raw_os_error
    16 (0.8%)    2 (1.8%)  core::slice::<impl [T]>::as_ptr
    16 (0.8%)    1 (0.9%)  <alloc::alloc::Global as core::alloc::Allocator>::allocate
    16 (0.8%)    1 (0.9%)  <alloc::alloc::Global as core::alloc::Allocator>::allocate_zeroed
    16 (0.8%)    1 (0.9%)  alloc::alloc::dealloc
    16 (0.8%)    1 (0.9%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
    16 (0.8%)    1 (0.9%)  alloc::str::<impl alloc::borrow::ToOwned for str>::to_owned
    16 (0.8%)    1 (0.9%)  core::slice::<impl [T]>::len
    15 (0.7%)    1 (0.9%)  <alloc::string::String as core::ops::deref::Deref>::deref
    15 (0.7%)    1 (0.9%)  alloc::vec::Vec<T,A>::as_mut_ptr
    15 (0.7%)    1 (0.9%)  alloc::vec::Vec<T,A>::as_ptr
    15 (0.7%)    1 (0.9%)  core::ptr::slice_from_raw_parts
    15 (0.7%)    1 (0.9%)  core::ptr::slice_from_raw_parts_mut
    15 (0.7%)    1 (0.9%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
    15 (0.7%)    1 (0.9%)  core::slice::raw::from_raw_parts
    15 (0.7%)    1 (0.9%)  uname::to_cstr
    14 (0.7%)    2 (1.8%)  core::ptr::non_null::NonNull<T>::as_ptr
    14 (0.7%)    1 (0.9%)  <alloc::vec::Vec<T,A> as core::ops::deref::Deref>::deref
    14 (0.7%)    1 (0.9%)  core::intrinsics::write_bytes
