  Lines        Copies      Function name
  -----        ------      -------------
  5427 (100%)  170 (100%)  (TOTAL)
   401 (7.4%)    1 (0.6%)  wasi::lib_generated::Errno::message
   401 (7.4%)    1 (0.6%)  wasi::lib_generated::Errno::name
   171 (3.2%)    1 (0.6%)  wasi::lib_generated::Signal::message
   171 (3.2%)    1 (0.6%)  wasi::lib_generated::Signal::name
   140 (2.6%)    7 (4.1%)  core::ptr::read
   123 (2.3%)   12 (7.1%)  <&T as core::fmt::Debug>::fmt
    92 (1.7%)    1 (0.6%)  <wasi::lib_generated::Filestat as core::fmt::Debug>::fmt
    83 (1.5%)    1 (0.6%)  wasi::lib_generated::sock_recv
    74 (1.4%)    7 (4.1%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
    74 (1.4%)    1 (0.6%)  wasi::lib_generated::path_open
    66 (1.2%)    1 (0.6%)  wasi::lib_generated::args_sizes_get
    66 (1.2%)    1 (0.6%)  wasi::lib_generated::environ_sizes_get
    65 (1.2%)    1 (0.6%)  wasi::lib_generated::path_readlink
    61 (1.1%)    1 (0.6%)  wasi::lib_generated::path_link
    59 (1.1%)    1 (0.6%)  core::fmt::Arguments::new_v1
    59 (1.1%)    1 (0.6%)  wasi::lib_generated::path_filestat_get
    59 (1.1%)    1 (0.6%)  wasi::lib_generated::sock_send
    58 (1.1%)    2 (1.2%)  core::fmt::ArgumentV1::new
    58 (1.1%)    1 (0.6%)  wasi::lib_generated::fd_pread
    58 (1.1%)    1 (0.6%)  wasi::lib_generated::fd_pwrite
    58 (1.1%)    1 (0.6%)  wasi::lib_generated::path_rename
    56 (1.0%)    1 (0.6%)  <wasi::lib_generated::Dirent as core::fmt::Debug>::fmt
    56 (1.0%)    1 (0.6%)  <wasi::lib_generated::Event as core::fmt::Debug>::fmt
    56 (1.0%)    1 (0.6%)  <wasi::lib_generated::Fdstat as core::fmt::Debug>::fmt
    56 (1.0%)    1 (0.6%)  <wasi::lib_generated::SubscriptionClock as core::fmt::Debug>::fmt
    56 (1.0%)    1 (0.6%)  wasi::lib_generated::Filetype::message
    56 (1.0%)    1 (0.6%)  wasi::lib_generated::Filetype::name
    56 (1.0%)    1 (0.6%)  wasi::lib_generated::fd_readdir
    56 (1.0%)    1 (0.6%)  wasi::lib_generated::path_filestat_set_times
    55 (1.0%)    1 (0.6%)  wasi::lib_generated::fd_read
    55 (1.0%)    1 (0.6%)  wasi::lib_generated::fd_write
    55 (1.0%)    1 (0.6%)  wasi::lib_generated::path_symlink
    54 (1.0%)    1 (0.6%)  wasi::lib_generated::fd_prestat_get
    54 (1.0%)    1 (0.6%)  wasi::lib_generated::poll_oneoff
    52 (1.0%)    1 (0.6%)  wasi::lib_generated::fd_seek
    49 (0.9%)    1 (0.6%)  wasi::lib_generated::sock_accept
    48 (0.9%)    1 (0.6%)  wasi::lib_generated::clock_time_get
    46 (0.8%)    1 (0.6%)  wasi::lib_generated::Advice::message
    46 (0.8%)    1 (0.6%)  wasi::lib_generated::Advice::name
    45 (0.8%)    1 (0.6%)  wasi::lib_generated::clock_res_get
    45 (0.8%)    1 (0.6%)  wasi::lib_generated::fd_tell
    44 (0.8%)    1 (0.6%)  wasi::lib_generated::fd_fdstat_get
    44 (0.8%)    1 (0.6%)  wasi::lib_generated::fd_filestat_get
    43 (0.8%)    7 (4.1%)  core::mem::manually_drop::ManuallyDrop<T>::into_inner
    43 (0.8%)    1 (0.6%)  wasi::lib_generated::path_create_directory
    43 (0.8%)    1 (0.6%)  wasi::lib_generated::path_remove_directory
    43 (0.8%)    1 (0.6%)  wasi::lib_generated::path_unlink_file
    41 (0.8%)    1 (0.6%)  wasi::lib_generated::fd_advise
    41 (0.8%)    1 (0.6%)  wasi::lib_generated::fd_filestat_set_times
    39 (0.7%)    1 (0.6%)  wasi::lib_generated::fd_prestat_dir_name
    38 (0.7%)    1 (0.6%)  <wasi::lib_generated::Ciovec as core::fmt::Debug>::fmt
    38 (0.7%)    1 (0.6%)  <wasi::lib_generated::EventFdReadwrite as core::fmt::Debug>::fmt
    38 (0.7%)    1 (0.6%)  <wasi::lib_generated::Iovec as core::fmt::Debug>::fmt
    37 (0.7%)    1 (0.6%)  wasi::lib_generated::fd_allocate
    37 (0.7%)    1 (0.6%)  wasi::lib_generated::fd_fdstat_set_rights
    36 (0.7%)    1 (0.6%)  <wasi::lib_generated::Errno as core::fmt::Display>::fmt
    36 (0.7%)    1 (0.6%)  wasi::lib_generated::Clockid::message
    36 (0.7%)    1 (0.6%)  wasi::lib_generated::Clockid::name
    36 (0.7%)    1 (0.6%)  wasi::lib_generated::args_get
    36 (0.7%)    1 (0.6%)  wasi::lib_generated::environ_get
    36 (0.7%)    1 (0.6%)  wasi::lib_generated::random_get
    35 (0.6%)    1 (0.6%)  wasi::lib_generated::fd_fdstat_set_flags
    35 (0.6%)    1 (0.6%)  wasi::lib_generated::sock_shutdown
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Advice as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Clockid as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Errno as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Eventtype as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Filetype as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Preopentype as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Signal as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  <wasi::lib_generated::Whence as core::fmt::Debug>::fmt
    34 (0.6%)    1 (0.6%)  wasi::lib_generated::fd_filestat_set_size
    34 (0.6%)    1 (0.6%)  wasi::lib_generated::fd_renumber
    32 (0.6%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for u16>::fmt
    32 (0.6%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for u32>::fmt
    32 (0.6%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for u64>::fmt
    32 (0.6%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for u8>::fmt
    32 (0.6%)    1 (0.6%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
    32 (0.6%)    1 (0.6%)  wasi::lib_generated::proc_raise
    31 (0.6%)    7 (4.1%)  core::mem::maybe_uninit::MaybeUninit<T>::as_mut_ptr
    31 (0.6%)    1 (0.6%)  wasi::lib_generated::Eventtype::message
    31 (0.6%)    1 (0.6%)  wasi::lib_generated::Eventtype::name
    31 (0.6%)    1 (0.6%)  wasi::lib_generated::Whence::message
    31 (0.6%)    1 (0.6%)  wasi::lib_generated::Whence::name
    31 (0.6%)    1 (0.6%)  wasi::lib_generated::fd_close
    31 (0.6%)    1 (0.6%)  wasi::lib_generated::fd_datasync
    31 (0.6%)    1 (0.6%)  wasi::lib_generated::fd_sync
    29 (0.5%)    1 (0.6%)  <wasi::lib_generated::PrestatDir as core::fmt::Debug>::fmt
    29 (0.5%)    1 (0.6%)  <wasi::lib_generated::SubscriptionFdReadwrite as core::fmt::Debug>::fmt
    28 (0.5%)    1 (0.6%)  wasi::lib_generated::sched_yield
    25 (0.5%)    7 (4.1%)  core::mem::maybe_uninit::MaybeUninit<T>::uninit
    19 (0.4%)    1 (0.6%)  core::str::<impl str>::as_bytes
    16 (0.3%)    2 (1.2%)  core::slice::<impl [T]>::as_ptr
    13 (0.2%)    1 (0.6%)  <&T as core::fmt::Display>::fmt
    12 (0.2%)    1 (0.6%)  <*mut T as core::fmt::Pointer>::fmt
    11 (0.2%)    1 (0.6%)  <*const T as core::fmt::Pointer>::fmt
    11 (0.2%)    1 (0.6%)  core::str::<impl str>::len
     9 (0.2%)    1 (0.6%)  <*const T as core::fmt::Debug>::fmt
     9 (0.2%)    1 (0.6%)  <*mut T as core::fmt::Debug>::fmt
     9 (0.2%)    1 (0.6%)  wasi::lib_generated::Preopentype::message
     9 (0.2%)    1 (0.6%)  wasi::lib_generated::Preopentype::name
     8 (0.1%)    1 (0.6%)  core::str::<impl str>::as_ptr
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Advice::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Clockid::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Errno::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Eventtype::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Filetype::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Preopentype::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Signal::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::Whence::raw
     5 (0.1%)    1 (0.6%)  wasi::lib_generated::proc_exit
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&*const u8>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&*mut u8>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&str>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&u16>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&u32>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&u64>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&usize>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&wasi::lib_generated::Clockid>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&wasi::lib_generated::Errno>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&wasi::lib_generated::EventFdReadwrite>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&wasi::lib_generated::Eventtype>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<&wasi::lib_generated::Filetype>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<u16>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<u32>
     4 (0.1%)    1 (0.6%)  core::ptr::drop_in_place<u8>
     1 (0.0%)    1 (0.6%)  core::hint::unreachable_unchecked
