  Lines          Copies       Function name
  -----          ------       -------------
  170525 (100%)  3562 (100%)  (TOTAL)
   44978 (26.4%)    2 (0.1%)  wasmparser::operators_validator::OperatorValidator::process_operator
    6216 (3.6%)     1 (0.0%)  <wasmparser::primitives::Operator as core::fmt::Debug>::fmt
    4156 (2.4%)    96 (2.7%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    3108 (1.8%)     1 (0.0%)  wasmparser::binary_reader::BinaryReader::read_operator
    3028 (1.8%)    12 (0.3%)  wasmparser::validator::Validator::section
    2741 (1.6%)     1 (0.0%)  wasmparser::binary_reader::BinaryReader::read_0xfe_operator
    2737 (1.6%)     1 (0.0%)  wasmparser::binary_reader::BinaryReader::read_0xfd_operator
    2608 (1.5%)    16 (0.4%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    1745 (1.0%)   104 (2.9%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    1734 (1.0%)    32 (0.9%)  core::result::Result<T,E>::map_err
    1584 (0.9%)    12 (0.3%)  wasmparser::parser::section
    1224 (0.7%)    17 (0.5%)  alloc::raw_vec::RawVec<T,A>::current_memory
    1210 (0.7%)     1 (0.0%)  wasmparser::parser::Parser::parse_reader
    1015 (0.6%)     7 (0.2%)  alloc::raw_vec::RawVec<T,A>::allocate_in
     952 (0.6%)    17 (0.5%)  core::alloc::layout::Layout::array
     894 (0.5%)    14 (0.4%)  alloc::vec::Vec<T,A>::push
     815 (0.5%)     1 (0.0%)  wasmparser::validator::Validator::type_def
     805 (0.5%)     1 (0.0%)  wasmparser::binary_reader::BinaryReader::read_0xfc_operator
     764 (0.4%)    16 (0.4%)  core::mem::replace
     742 (0.4%)    12 (0.3%)  alloc::alloc::box_free
     706 (0.4%)     1 (0.0%)  wasmparser::validator::Validator::payload
     630 (0.4%)    18 (0.5%)  wasmparser::readers::section_reader::SectionIteratorLimited<R>::new
     629 (0.4%)    17 (0.5%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     609 (0.4%)    21 (0.6%)  core::ptr::metadata::from_raw_parts_mut
     602 (0.4%)     1 (0.0%)  wasmparser::readers::element_section::ElementSectionReader::read
     574 (0.3%)     2 (0.1%)  wasmparser::operators_validator::OperatorValidator::check_call_indirect
     574 (0.3%)     1 (0.0%)  wasmparser::validator::Validator::alias
     564 (0.3%)     4 (0.1%)  alloc::raw_vec::RawVec<T,A>::shrink
     528 (0.3%)     4 (0.1%)  wasmparser::parser::delimited
     516 (0.3%)     1 (0.0%)  wasmparser::validator::Validator::check_subtypes
     506 (0.3%)    50 (1.4%)  <&T as core::fmt::Debug>::fmt
     505 (0.3%)     1 (0.0%)  wasmparser::validator::Validator::check_external_kind
     466 (0.3%)     4 (0.1%)  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<T,I>>::from_iter
     465 (0.3%)    24 (0.7%)  core::ptr::read
     465 (0.3%)     1 (0.0%)  wasmparser::validator::NameSet::push
     436 (0.3%)     2 (0.1%)  wasmparser::operators_validator::OperatorValidator::check_call
     427 (0.3%)     1 (0.0%)  wasmparser::validator::Validator::import
     424 (0.2%)     9 (0.3%)  core::option::Option<T>::ok_or_else
     407 (0.2%)     1 (0.0%)  wasmparser::readers::alias_section::AliasSectionReader::read
     394 (0.2%)     1 (0.0%)  wasmparser::binary_reader::BinaryReader::read_import_desc
     389 (0.2%)     1 (0.0%)  wasmparser::readers::name_section::NameSectionReader::read
     387 (0.2%)     1 (0.0%)  wasmparser::readers::data_section::DataSectionReader::read
     386 (0.2%)     1 (0.0%)  wasmparser::binary_reader::BinaryReader::read_func_type
