  Lines         Copies      Function name
  -----         ------      -------------
  18744 (100%)  713 (100%)  (TOTAL)
    593 (3.2%)    1 (0.1%)  wayland_commons::wire::Message::write_to_buffers
    468 (2.5%)   10 (1.4%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    323 (1.7%)    5 (0.7%)  alloc::alloc::box_free
    297 (1.6%)    1 (0.1%)  smallvec::SmallVec<A>::try_grow
    246 (1.3%)    1 (0.1%)  wayland_commons::wire::Message::from_raw::{{closure}}
    219 (1.2%)   21 (2.9%)  <&T as core::fmt::Debug>::fmt
    219 (1.2%)    1 (0.1%)  wayland_commons::wire::Message::from_raw
    218 (1.2%)    1 (0.1%)  <core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next
    216 (1.2%)    1 (0.1%)  wayland_commons::socket::Socket::rcv_msg
    208 (1.1%)    2 (0.3%)  alloc::vec::Vec<T,A>::extend_with
    203 (1.1%)    7 (1.0%)  core::fmt::ArgumentV1::new
    200 (1.1%)    1 (0.1%)  <smallvec::SmallVec<A> as core::iter::traits::collect::Extend<<A as smallvec::Array>::Item>>::extend
    200 (1.1%)    1 (0.1%)  <wayland_commons::wire::Argument as core::fmt::Display>::fmt
    197 (1.1%)    1 (0.1%)  <wayland_commons::wire::Argument as core::fmt::Debug>::fmt
    174 (0.9%)    3 (0.4%)  core::result::Result<T,E>::map
    170 (0.9%)    2 (0.3%)  wayland_commons::wire::Message::write_to_buffers::write_buf
    163 (0.9%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    154 (0.8%)    2 (0.3%)  <T as alloc::vec::spec_from_elem::SpecFromElem>::from_elem
    154 (0.8%)    1 (0.1%)  wayland_commons::wire::dup_fd_cloexec
    145 (0.8%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::allocate_in
    144 (0.8%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::current_memory
    143 (0.8%)    1 (0.1%)  wayland_commons::socket::Socket::send_msg
    133 (0.7%)    2 (0.3%)  core::fmt::builders::DebugList::entries
    133 (0.7%)    1 (0.1%)  wayland_commons::socket::BufferedSocket::fill_incoming_buffers
    127 (0.7%)    2 (0.3%)  wayland_commons::wire::Message::from_raw::{{closure}}::{{closure}}
    126 (0.7%)    1 (0.1%)  <alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop
    123 (0.7%)    1 (0.1%)  core::slice::index::range
    123 (0.7%)    1 (0.1%)  wayland_commons::socket::BufferedSocket::write_message
    119 (0.6%)    2 (0.3%)  core::result::Result<T,E>::map_err
    119 (0.6%)    1 (0.1%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold::{{closure}}
    116 (0.6%)    6 (0.8%)  <core::result::Result<T,F> as core::ops::try_trait::FromResidual<core::result::Result<core::convert::Infallible,E>>>::from_residual
    114 (0.6%)    1 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
    113 (0.6%)    1 (0.1%)  wayland_commons::socket::BufferedSocket::flush
    108 (0.6%)    2 (0.3%)  core::result::Result<T,E>::and_then
    107 (0.6%)    1 (0.1%)  wayland_commons::wire::Message::write_to_buffers::write_array_to_payload
    104 (0.6%)    2 (0.3%)  core::slice::iter::Iter<T>::post_inc_start
    100 (0.5%)    2 (0.3%)  core::mem::replace
     97 (0.5%)    1 (0.1%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::adapters::zip::ZipImpl<A,B>>::next
     97 (0.5%)    1 (0.1%)  alloc::alloc::Global::alloc_impl
     96 (0.5%)    2 (0.3%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::Try>::branch
     96 (0.5%)    2 (0.3%)  core::option::Option<T>::map
     95 (0.5%)    1 (0.1%)  wayland_commons::debug::print_args
     95 (0.5%)    1 (0.1%)  wayland_commons::wire::Message::from_raw::read_array_from_payload
     94 (0.5%)    2 (0.3%)  <wayland_commons::socket::Buffer<T> as core::fmt::Debug>::fmt
     94 (0.5%)    1 (0.1%)  smallvec::SmallVec<A>::push
     93 (0.5%)    2 (0.3%)  core::slice::iter::Iter<T>::new
     91 (0.5%)    2 (0.3%)  core::option::Option<T>::ok_or
     90 (0.5%)    1 (0.1%)  wayland_commons::debug::print_send_message
     89 (0.5%)    2 (0.3%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     87 (0.5%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::nth
     86 (0.5%)    1 (0.1%)  alloc::vec::Vec<T,A>::drain
     84 (0.4%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::Index<I>>::index
     84 (0.4%)    1 (0.1%)  smallvec::SmallVec<A>::try_reserve
     82 (0.4%)    1 (0.1%)  <core::iter::adapters::fuse::Fuse<I> as core::iter::adapters::fuse::FuseImpl<I>>::next
     81 (0.4%)    3 (0.4%)  <core::option::Option<T> as core::ops::try_trait::Try>::branch
     81 (0.4%)    1 (0.1%)  wayland_commons::socket::BufferedSocket::attempt_write_message
     81 (0.4%)    1 (0.1%)  wayland_commons::socket::BufferedSocket::new
     78 (0.4%)    2 (0.3%)  <alloc::vec::Vec<T,A> as core::ops::index::IndexMut<I>>::index_mut
     78 (0.4%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::from_raw_parts_in
     78 (0.4%)    2 (0.3%)  core::slice::<impl [T]>::split_first
     78 (0.4%)    2 (0.3%)  core::slice::<impl [T]>::split_first_mut
     78 (0.4%)    1 (0.1%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
     77 (0.4%)    1 (0.1%)  core::ptr::drop_in_place<[wayland_commons::wire::Argument]>
     76 (0.4%)    1 (0.1%)  <wayland_commons::user_data::UserDataInner as core::fmt::Debug>::fmt
     74 (0.4%)    2 (0.3%)  <alloc::raw_vec::RawVec<T,A> as core::ops::drop::Drop>::drop
     73 (0.4%)    7 (1.0%)  core::ptr::unique::Unique<T>::cast
     72 (0.4%)    2 (0.3%)  core::option::Option<T>::unwrap_or_else
     71 (0.4%)    1 (0.1%)  <wayland_commons::user_data::UserData as core::ops::drop::Drop>::drop
     69 (0.4%)    4 (0.6%)  core::slice::index::<impl core::ops::index::Index<I> for [T]>::index
     67 (0.4%)    1 (0.1%)  <<alloc::vec::drain::Drain<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     67 (0.4%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     67 (0.4%)    1 (0.1%)  core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::from_try
     66 (0.4%)    1 (0.1%)  <core::option::Option<T> as core::cmp::PartialEq>::eq
     66 (0.4%)    1 (0.1%)  core::iter::adapters::process_results
     66 (0.4%)    1 (0.1%)  core::iter::traits::iterator::Iterator::find::check::{{closure}}
     65 (0.3%)    1 (0.1%)  <wayland_commons::socket::BufferedSocket as core::fmt::Debug>::fmt
     65 (0.3%)    1 (0.1%)  wayland_commons::debug::print_dispatched_message
     64 (0.3%)    1 (0.1%)  core::iter::adapters::map::map_try_fold::{{closure}}
     63 (0.3%)    1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::next
     63 (0.3%)    1 (0.1%)  wayland_commons::debug::print_timestamp
     62 (0.3%)    1 (0.1%)  smallvec::layout_array
     60 (0.3%)    2 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked
     60 (0.3%)    2 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
     60 (0.3%)    2 (0.3%)  alloc::boxed::Box<T>::new
     59 (0.3%)    1 (0.1%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::try_fold
     59 (0.3%)    1 (0.1%)  <core::iter::adapters::take::Take<I> as core::iter::traits::iterator::Iterator>::nth
     59 (0.3%)    1 (0.1%)  core::fmt::Arguments::new_v1
     59 (0.3%)    1 (0.1%)  wayland_commons::socket::Socket::rcv_msg::{{closure}}
     58 (0.3%)    3 (0.4%)  core::ptr::read
     58 (0.3%)    2 (0.3%)  core::ptr::metadata::from_raw_parts
     58 (0.3%)    2 (0.3%)  core::ptr::metadata::from_raw_parts_mut
     58 (0.3%)    1 (0.1%)  core::iter::traits::exact_size::ExactSizeIterator::len
     58 (0.3%)    1 (0.1%)  core::slice::iter::Iter<T>::make_slice
     56 (0.3%)    1 (0.1%)  <wayland_commons::wire::MessageDesc as core::fmt::Debug>::fmt
     56 (0.3%)    1 (0.1%)  core::alloc::layout::Layout::array
     54 (0.3%)    2 (0.3%)  <core::ops::range::Range<usize> as core::slice::index::SliceIndex<[T]>>::index
     54 (0.3%)    2 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::get_unchecked_mut
     54 (0.3%)    1 (0.1%)  <wayland_commons::wire::FdStore as core::ops::drop::Drop>::drop
     54 (0.3%)    1 (0.1%)  wayland_commons::socket::BufferedSocket::into_socket
     53 (0.3%)    1 (0.1%)  core::result::Result<T,E>::unwrap
     52 (0.3%)    8 (1.1%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
     52 (0.3%)    2 (0.3%)  <core::ops::control_flow::ControlFlow<B,C> as core::ops::try_trait::FromResidual>::from_residual
     52 (0.3%)    1 (0.1%)  core::slice::iter::IterMut<T>::post_inc_start
     51 (0.3%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_unique
     50 (0.3%)    1 (0.1%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::size_hint
     50 (0.3%)    1 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
     50 (0.3%)    1 (0.1%)  <wayland_commons::wire::ArgumentType as core::fmt::Debug>::fmt
     49 (0.3%)    5 (0.7%)  core::ptr::unique::Unique<T>::as_ref
     49 (0.3%)    2 (0.3%)  core::option::Option<T>::as_mut
     49 (0.3%)    1 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     49 (0.3%)    1 (0.1%)  <core::mem::manually_drop::ManuallyDrop<T> as core::fmt::Debug>::fmt
     49 (0.3%)    1 (0.1%)  core::alloc::layout::Layout::from_size_align
     48 (0.3%)    4 (0.6%)  core::ptr::const_ptr::<impl *const T>::offset
     48 (0.3%)    4 (0.6%)  core::ptr::mut_ptr::<impl *mut T>::offset
     48 (0.3%)    2 (0.3%)  wayland_commons::socket::Buffer<T>::get_contents
     48 (0.3%)    1 (0.1%)  <core::option::Option<T> as core::fmt::Debug>::fmt
     48 (0.3%)    1 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
     48 (0.3%)    1 (0.1%)  core::ops::control_flow::ControlFlow<B,C>::break_value
     47 (0.3%)    4 (0.6%)  core::ptr::write
     47 (0.3%)    3 (0.4%)  core::slice::index::<impl core::ops::index::IndexMut<I> for [T]>::index_mut
     47 (0.3%)    1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     47 (0.3%)    1 (0.1%)  <wayland_commons::wire::Message as core::fmt::Debug>::fmt
     47 (0.3%)    1 (0.1%)  core::slice::iter::IterMut<T>::new
     46 (0.2%)    7 (1.0%)  core::ptr::unique::Unique<T>::as_ptr
     46 (0.2%)    4 (0.6%)  <alloc::boxed::Box<T,A> as core::fmt::Debug>::fmt
     46 (0.2%)    1 (0.1%)  core::fmt::Arguments::new_v1_formatted
     45 (0.2%)    3 (0.4%)  core::slice::raw::from_raw_parts_mut
     45 (0.2%)    1 (0.1%)  core::option::Option<T>::and_then
     45 (0.2%)    1 (0.1%)  core::slice::<impl [T]>::split_at_mut_unchecked
     45 (0.2%)    1 (0.1%)  smallvec::SmallVec<A>::new
     44 (0.2%)    2 (0.3%)  core::iter::adapters::map::Map<I,F>::new
     43 (0.2%)    1 (0.1%)  <core::slice::iter::IterMut<T> as core::iter::traits::iterator::Iterator>::next
     43 (0.2%)    1 (0.1%)  <smallvec::SmallVec<A> as core::iter::traits::collect::FromIterator<<A as smallvec::Array>::Item>>::from_iter
     43 (0.2%)    1 (0.1%)  <wayland_commons::wire::MessageWriteError as core::fmt::Debug>::fmt
     43 (0.2%)    1 (0.1%)  core::num::<impl usize>::checked_add
     43 (0.2%)    1 (0.1%)  core::num::<impl usize>::checked_mul
     43 (0.2%)    1 (0.1%)  core::num::<impl usize>::overflowing_add
     43 (0.2%)    1 (0.1%)  core::num::<impl usize>::overflowing_mul
     42 (0.2%)    1 (0.1%)  alloc::alloc::exchange_malloc
     42 (0.2%)    1 (0.1%)  alloc::vec::Vec<T,A>::truncate
     42 (0.2%)    1 (0.1%)  core::iter::traits::iterator::Iterator::zip
     42 (0.2%)    1 (0.1%)  core::ptr::drop_in_place<alloc::boxed::Box<dyn core::any::Any+core::marker::Send+core::marker::Sync>>
     42 (0.2%)    1 (0.1%)  core::sync::atomic::atomic_load
     42 (0.2%)    1 (0.1%)  smallvec::SmallVec<A>::triple
     41 (0.2%)    1 (0.1%)  smallvec::SmallVec<A>::triple_mut
     40 (0.2%)    2 (0.3%)  <core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[T]>>::index_mut
     40 (0.2%)    1 (0.1%)  <once_cell::sync::OnceCell<T> as core::fmt::Debug>::fmt
     40 (0.2%)    1 (0.1%)  core::ops::control_flow::ControlFlow<R,<R as core::ops::try_trait::Try>::Output>::into_try
     38 (0.2%)    1 (0.1%)  <smallvec::SmallVec<A> as core::ops::index::IndexMut<I>>::index_mut
     38 (0.2%)    1 (0.1%)  alloc::raw_vec::handle_reserve
     38 (0.2%)    1 (0.1%)  core::num::<impl usize>::one_less_than_next_power_of_two
     37 (0.2%)    2 (0.3%)  wayland_commons::wire::dup_fd_cloexec::{{closure}}
     36 (0.2%)    4 (0.6%)  core::ptr::const_ptr::<impl *const T>::add
     36 (0.2%)    2 (0.3%)  wayland_commons::socket::Buffer<T>::advance
     36 (0.2%)    1 (0.1%)  alloc::boxed::Box<T,A>::into_raw_with_allocator
     35 (0.2%)    1 (0.1%)  core::ptr::const_ptr::<impl *const T>::offset_from
     34 (0.2%)    2 (0.3%)  wayland_commons::socket::Buffer<T>::new
     34 (0.2%)    1 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop
     34 (0.2%)    1 (0.1%)  core::slice::<impl [T]>::split_at_unchecked
     33 (0.2%)    1 (0.1%)  <core::iter::adapters::skip::Skip<I> as core::iter::traits::iterator::Iterator>::next
     33 (0.2%)    1 (0.1%)  alloc::raw_vec::RawVec<T,A>::new_in
     33 (0.2%)    1 (0.1%)  nix::fcntl::FdFlag::from_bits
     33 (0.2%)    1 (0.1%)  smallvec::infallible
     32 (0.2%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::capacity
     32 (0.2%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::reserve
     32 (0.2%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::with_capacity_zeroed_in
     32 (0.2%)    2 (0.3%)  core::ptr::metadata::metadata
     32 (0.2%)    2 (0.3%)  core::slice::<impl [T]>::get_unchecked
     32 (0.2%)    2 (0.3%)  core::slice::<impl [T]>::len
     32 (0.2%)    2 (0.3%)  wayland_commons::socket::Buffer<T>::get_writable_storage
     32 (0.2%)    1 (0.1%)  <smallvec::SmallVec<A> as core::ops::drop::Drop>::drop
     31 (0.2%)    3 (0.4%)  core::mem::maybe_uninit::MaybeUninit<T>::assume_init
     31 (0.2%)    1 (0.1%)  libc::unix::linux_like::CMSG_ALIGN
     31 (0.2%)    1 (0.1%)  once_cell::imp::OnceCell<T>::get_unchecked
     30 (0.2%)    3 (0.4%)  <&T as core::fmt::Display>::fmt
     30 (0.2%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::needs_to_grow
     30 (0.2%)    2 (0.3%)  alloc::raw_vec::RawVec<T,A>::reserve::do_reserve_and_handle
     30 (0.2%)    2 (0.3%)  alloc::vec::Vec<T,A>::as_mut_ptr
     30 (0.2%)    2 (0.3%)  core::iter::traits::iterator::Iterator::map
     30 (0.2%)    2 (0.3%)  core::ptr::slice_from_raw_parts
     30 (0.2%)    2 (0.3%)  core::ptr::slice_from_raw_parts_mut
